eng_Latn,kan_Knda
"""""""Yesterday my sister-in-law came to my home.""""""
","""""""ನಿನ್ನೆ, ನನ್ನ ತಂಗಿ ನನ್ನ ಮನೆಗೆ ಬಂದಿದ್ದಳು.""
"
"""""""Yesterday my sister-in-law came to the my home.""""""
","""""""ನಿನ್ನೆ, ನನ್ನ ತಂಗಿ ನನ್ನ ಮನೆಗೆ ಬಂದಿದ್ದಳು.""
"
"""1:15 So Naomi said, """"Look, your sister-in-law is returning to her people and to her god.""
","""1:15 ನವೋಮಿ ಆಕೆಗೆ, """"ನೋಡಿ, ನಿಮ್ಮ ರಕ್ತ ಸಂಬಂಧಿ ತನ್ನ ಜನರಿಗೆ ಹಿಂದಿರುಗಿಸುತ್ತದೆ, ಮತ್ತು ತನ್ನ ದೇವರುಗಳಿಗೆ.""
"
"""Jackie Joyner-Kersee, sister-in-law of Florence Griffith-Joyner, has been called the world""""s greatest woman athlete.""
","ಫ್ಲಾರಿಸ್ ಗ್ರಿಫಿತ್-ಜೊಯ್ನರ್ಳ ಸೋದರಿ ಜಾಕಿ ಜೊಯ್ನರ್-ಕೆರ್ಸಿಯನ್ನು ವಿಶ್ವದ ಅತ್ಯುತ್ತಮ ಮಹಿಳಾ ಕ್ರೀಡಾಪಟು ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.
"
"""March 20, 1693 (then 1692): Abigail Faulkner Sr., whose execution was only delayed because she was pregnant, and whose sister, sister-in-law, two daughters, two nieces and a nephew had been among those accused of witchcraft, gave birth to a son she named Ammi Ruhamah, meaning """"my people have obtained mercy.""""""
","""ಮಾರ್ಚ್ 20, 1693 (ನಂತರ 1692): ಅಬಿಗೈಲ್ ಫೌಲ್ಕ್ನರ್ ಸೀನಿಯರ್ , ಅವರು ಗರ್ಭಿಣಿಯಾಗಿದ್ದರಿಂದ ಮಾತ್ರ ನಿಧನರಾದರು, ಮತ್ತು ಅವರ ಸಹೋದರಿ, ಸೋದರಿ, ಇಬ್ಬರು ಹೆಣ್ಣುಮಕ್ಕಳು, ಇಬ್ಬರು ಸೋದರ ಸಂಬಂಧಿ ಮತ್ತು ಸೋದರಳಿಯು ಮಾಟಗಾತಿಗಳ ಆರೋಪದಲ್ಲಿದ್ದರು, """"ನನ್ನ ಜನರಿಗೆ ಕರುಣೆ ಸಿಕ್ಕಿದೆ"""" ಎಂಬ ಅರ್ಥವನ್ನು ನೀಡುವ ಅಮ್ಮ ರುಮಾಮಾ ಎಂಬ ಹೆಸರಿನ ಮಗನಿಗೆ ಜನ್ಮ ನೀಡಿದರು.""
"
"""March 20, 1693 (then 1692): Abigail Faulkner Sr., whose execution was only delayed because she was pregnant, and whose sister, sister-in-law, two daughters, two nieces, and a nephew had been among those accused of witchcraft, gave birth to a son she named Ammi Ruhamah, meaning """"my people have obtained mercy.""""""
","""ಮಾರ್ಚ್ 20, 1693 (ನಂತರ 1692): ಅಬಿಗೈಲ್ ಫೌಲ್ಕ್ನರ್ ಸೀನಿಯರ್ , ಅವರು ಗರ್ಭಿಣಿಯಾಗಿದ್ದರಿಂದ ಮಾತ್ರ ನಿಧನರಾದರು, ಮತ್ತು ಅವರ ಸಹೋದರಿ, ಸೋದರಿ, ಇಬ್ಬರು ಹೆಣ್ಣುಮಕ್ಕಳು, ಇಬ್ಬರು ಸೋದರ ಸಂಬಂಧಿ ಮತ್ತು ಸೋದರಳಿಯು ಮಾಟಗಾತಿಗಳ ಆರೋಪದಲ್ಲಿದ್ದರು, """"ನನ್ನ ಜನರಿಗೆ ಕರುಣೆ ಸಿಕ್ಕಿದೆ"""" ಎಂಬ ಅರ್ಥವನ್ನು ನೀಡುವ ಅಮ್ಮ ರುಮಾಮಾ ಎಂಬ ಹೆಸರಿನ ಮಗನಿಗೆ ಜನ್ಮ ನೀಡಿದರು.""
"
"""Ruth 1:15 Look,"""" said Naomi, """"your sister-in-law is going back to her people and her gods.""
","""1:15 ನವೋಮಿ ಆಕೆಗೆ, """"ನೋಡಿ, ನಿಮ್ಮ ರಕ್ತ ಸಂಬಂಧಿ ತನ್ನ ಜನರಿಗೆ ಹಿಂದಿರುಗಿಸುತ್ತದೆ, ಮತ್ತು ತನ್ನ ದೇವರುಗಳಿಗೆ.""
"
"""You will find, too, in English that your brother's wife's father (BrWiFa) cannot be referred to directly; brother's wife's father (or sister-in-law's father) is a circumlocution rather than the kind of term that is of interest in kinship terminology.""""""
","ನಿಮ್ಮ ಸಹೋದರನ ಹೆಂಡತಿಯ ತಂದೆ (ಬ್ರವಫಾ) ನೇರವಾಗಿ ಉಲ್ಲೇಖಿಸಬಾರದು ಎಂದು ಇಂಗ್ಲಿಷ್ನಲ್ಲಿ ಸಹ ನೀವು ಕಾಣಬಹುದು; ಸಹೋದರನ ಪತ್ನಿ ತಂದೆಯ (ಅಥವಾ ಸೋದರಳಿಯ ತಂದೆಯ ತಂದೆ) ಸಂಬಂಧದ ಪರಿಭಾಷೆಯಲ್ಲಿ ಆಸಕ್ತಿ ಹೊಂದಿರುವ ಪದದ ರೀತಿಯ ಬದಲಿಗೆ ಸುತ್ತುವ ಆಗಿದೆ.
"
"According to API Priyatama Mote of Navghar police station under Bhayander, accused Kamlesh Jain (40) sexually abused his sister-in-law (37) after he kept harassing her to return the money lent to her in June 2012 for an operation.
","ಠಾಣೆಯ ಭಯದ್ನರ್ನಲ್ಲಿ ನವಘರ್ ಪೋಲಿಸ್ ಠಾಣೆಯ ಸಹಾಯಕ ಪೋಲಿಸ್ ನಿರೀಕ್ಷಕ ಪ್ರಿಯತಮಾ ಮೊಟೆ ಪ್ರಕಾರ, ಆರೋಪಿ ಕಮಲೇಶ್ ಜೈನ್ (40) ತನ್ನ 37 ವರ್ಷದ ಮಹಿಳಾ ಸಂಬಂಧಿಯೊಬ್ಬರು ಹಣ ಮರಳಿ ನೀಡದ ಕಾರಣ ತೊಂದರೆ ನೀಡಿದ ನಂತರ ಅತ್ಯಾಚಾರವೆಸಗಿದ್ದಾನೆ. . . ಮಹಿಳೆ ಕಮಲೇಶ್ನಿಂದ ಜೂನ್ 2012ರಲ್ಲಿ ತನ್ನ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಗಾಗಿ ಹಣವನ್ನು ಪಡೆದಿದ್ದಳು.
"
"According to Kaskar, his sister-in-law had come to meet her father Salim Kashmiri.
","ಅವರ ತಂದೆ ಸಲೀಂ ಕಾಶ್ಮೀರಿ ಅವರನ್ನು ಭೇಟಿಯಾಗಿದ್ದರು ಎಂದು ಕಸ್ಕರ್ ಹೇಳಿದ್ದಾನೆ.
"
