eng_Latn,ory_Orya
"""""""Some of them though have passed on the work to their next generation, to their daughters, nieces or granddaughters - and still live in the house,"""" says Rahul.""
","""ରାହୁଲ କୁହନ୍ତି,""""ସେମାନଙ୍କ ମଧ୍ୟରୁ କିଛି ଏହି କାମକୁ ନିଜର ପରବର୍ତ୍ତୀ ପିଢିର ଝିଅ, ଝିଆରି ବା ନାତୁଣୀମାନଙ୍କୁ ହସ୍ତାନ୍ତର କରିଦିଅନ୍ତି ଏବଂ ଏହି ଘରେ ମଧ୍ୟ ରୁହନ୍ତି""""।""
"
"""She said, """"My niece is 19.""
","""ସେ କହିଲେ, """"ମୋ ଝିଅକୁ ୧୯ ବର୍ଷ।""
"
"Damyanti Modi is the niece of Prime Minister Narendra Modi.
","ଦମୟନ୍ତୀ ବେନ୍ ମୋଦୀ ହେଉଛନ୍ତି ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦୀଙ୍କ ଭାଇଙ୍କ ଝିଅ।
"
"Esther was Mordecai's niece.
","ଏଷ୍ଟର ମର୍ଦ୍ଦଖୟଙ୍କ ପାଳିତ କନ୍ୟା ଥିଲା।
"
"Has a daughter or a niece.
","ତାଙ୍କର ଗୋଟିଏ ଝିଅ ଅବା ନାୟଲା ଅଛନ୍ତି ।
"
"He also has a sister and a baby niece.
","ପିଲାଟି ସହ ନିଜ ମା' ଓ କୁନି ଭଉଣୀ ମଧ୍ୟ ଅଛନ୍ତି।
"
"He first stayed for some months at a house that the Tagore family owned near Brighton and Hove, in Medina Villas; in 1877, his nephew and niece - Suren and Indira, the children of Tagore's brother Satyendranath - were sent together with their mother (Tagore's sister-in-law) to live with him.
","ସେ ସେଠାରେ କିଛି ମାସ ଧରି ରହିଥିଲେ, ଟାଗୋରଙ୍କ ପରିବାର ବ୍ରିଟେନ ଓ ହୋବର ମେଡ଼ିଆନ ଭିଲାରେ ନିଜେ ଘର କିଣି ଥିଲେଃ ୧୮୭୭ ମସିହାରେ ସେଠାରେ ତାଙ୍କ ଝିଅରୀ ଓ ପୁତୁରା (ସୁରେନ୍ଦ୍ର ଓ ଇନ୍ଦିରା ଦେବୀଙ୍କ ପିଲାମାନେ), ଟାଗୋରଙ୍କ ଭାଇ ସତ୍ୟନ୍ଦ୍ରନାଥ ତାଙ୍କ ମା'ଙ୍କ ଏବଂ ତାଙ୍କ ଭାଉଜଙ୍କ ସହ ରହୁଥିଲେ ।
"
"He stayed for several months at a house that the Tagore family owned near Brighton and Hove, in Medina Villas; in 1877 his nephew and niece - Suren and Indira Devi, the children of Tagore's brother Satyendranath - were sent together with their mother, Tagore's sister-in-law, to live with him.
","ସେ ସେଠାରେ କିଛି ମାସ ଧରି ରହିଥିଲେ, ଟାଗୋରଙ୍କ ପରିବାର ବ୍ରିଟେନ ଓ ହୋବର ମେଡ଼ିଆନ ଭିଲାରେ ନିଜେ ଘର କିଣି ଥିଲେଃ ୧୮୭୭ ମସିହାରେ ସେଠାରେ ତାଙ୍କ ଝିଅରୀ ଓ ପୁତୁରା (ସୁରେନ୍ଦ୍ର ଓ ଇନ୍ଦିରା ଦେବୀଙ୍କ ପିଲାମାନେ), ଟାଗୋରଙ୍କ ଭାଇ ସତ୍ୟନ୍ଦ୍ରନାଥ ତାଙ୍କ ମା'ଙ୍କ ଏବଂ ତାଙ୍କ ଭାଉଜଙ୍କ ସହ ରହୁଥିଲେ ।
"
"Her niece Seema Tomar was the first Indian woman to win a medal at the Rifle and Pistol World Cup in 2010.
","୨୦୧୦ରେ ଚାନ୍ଦ୍ରୋଙ୍କ ଝିଅ ସୀମା ପ୍ରଥମ ଭାରତୀୟ ମହିଳା ଭାବେ ରାଇଫଲ ଓ ପିସ୍ତଲ ବିଶ୍ବକପ ରେ ମେଡାଲ ଜିତିଥିଲେ।
"
"His wife, daughter and niece joined him as well.
","ଏଥିରେ ତାଙ୍କ ସହିତ ପତ୍ନୀ, ଝିଅ ଓ ଜ୍ୱାଇଁ ମଧ୍ୟ ନଜର ଆସିଛନ୍ତି ।
"
