eng_Latn,pan_Guru
"""""""Hitler's niece is""
","""""""ਹਿਟਲਰ ਦੀ ਧੀ ਨੇ""
"
"""Kaur started her filming career in 2014 with Pradeep Sarkar's Mardaani in which she played the role of Rani Mukerji's niece """"Meera.""""""
","ਕੌਰ ਨੇ 2014 ਵਿੱਚ ਪ੍ਰਦੀਪ ਸਰਕਾਰ ਦੀ ਹਿੰਦੀ ਫਿਲਮ 'ਮਰਦਾਨੀ' ਨਾਲ ਆਪਣੀ ਫਿਲਮਾਂ ਦੀ ਸ਼ੁਰੂਆਤ ਕੀਤੀ, ਜਿਸ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੂੰ ਰਾਣੀ ਮੁਖਰਜੀ ਦੇ ਕਿਰਦਾਰ ਦੀ ਭਾਣਜੀ ਵਜੋਂ ਭੂਮਿਕਾ ਦਿਤੀ ਗਈ।
"
"+All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily).
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"387.On 3 August, he married Menen Asfaw of Ambassel, niece of the heir to the throne Lij Iyasu.
","3 ਅਗਸਤ ਨੂੰ, ਉਸਨੇ ਅੰਬੈਸਲ ਦੇ ਮੇਨਨ ਅਸਫੌ ਨਾਲ ਵਿਆਹ ਕਰਵਾ ਲਿਆ, ਜੋ ਗੱਦੀ ਦੀ ਵਾਰਸ ਦੀ ਭਾਣਜੀ, ਲੀਜ ਇਯਾਸੂ ਸੀ .
"
"After watching my nieces monitor NORAD for Santa's progress across the globe, I thought it might be worth reflecting on marketing's positive contributions to the Holiday season.
","ਮੇਰੇ ਭਤੀਜਿਆਂ ਨੂੰ ਨੌਰਟ ਦੇ ਨੌਰਟਰ ਨੂੰ ਦੁਨੀਆ ਭਰ ਵਿਚ ਸਾਂਤਾ ਦੀ ਤਰੱਕੀ ਲਈ ਵੇਖਣ ਤੋਂ ਬਾਅਦ, ਮੈਂ ਸੋਚਿਆ ਕਿ ਹੋਲੀਡੇ ਸੀਜ਼ਨ ਵਿਚ ਮਾਰਕੀਟਿੰਗ ਦੇ ਸਕਾਰਾਤਮਕ ਯੋਗਦਾਨਾਂ ਨੂੰ ਪ੍ਰਦਰਸ਼ਿਤ ਕਰਨਾ ਮਹੱਤਵਪੂਰਣ ਹੋ ਸਕਦਾ ਹੈ.
"
"All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily)
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily).
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"Anupam Kher's mother, brother, sister-in-law and niece test positive for Corona virus
","ਅਨੁਪਮ ਖੇਰ ਦੀ ਮਾਂ, ਭਰਾ ਤੇ ਭਾਬੀ ਵੀ ਆਈ ਕੋਰੋਨਾ ਪਾਜ਼ੀਟਿਵ
"
"Bollywood actor, Salman Khan loves his niece and nephews a lot.
","ਬਾਲੀਵੁੱਡ ਦੇ ਸੁਲਤਾਨ ਸਲਮਾਨ ਖ਼ਾਨ ਆਪਣੀਆਂ ਭੈਣਾਂ ਨੂੰ ਬੇਹੱਦ ਪਿਆਰ ਕਰਦੇ ਹਨ।
"
"Her niece was killed a few months ago.
","ਕੁੱਝ ਮਹੀਨੇ ਪਹਿਲਾਂ ਉਸ ਸੱਜਣ ਦੀ ਪਤਨੀ ਦੀ ਮੌਤ ਹੋ ਗਈ।
"
