eng_Latn,mal_Mlym
"""""""I told you he wasn't here... I never said he was my brother-in-law.""""""
","""""""ഞാൻ പറഞ്ഞല്ലോ തന്റെ ആരുമിവിടെയില്ല. . . ഇവിടെയുള്ളത് എന്റെ ചേച്ചിയാണ്.""
"
"""""""That was my brother-in-law.""
","""""""അത് എന്റെ കെട്ടിയവൻ കുണ്ടൻ ആയിരുന്നു.""
"
"""""""What a lovely tree"""" I said to my brother-in-law.""
","""""""എന്ത് ഭംഗി നിന്റെ പൂറിന്"""" ഞാൻ ആർത്തിയോടെ പറഞ്ഞു.""
"
"""8 Then Judah said to Onan, """"Go in to your brother's wife and perform the duty of a brother-in-law to her, and raise up offspring for your brother.""""""
","8: അപ്പോൾ യൂദാ ഓനാനെ വിളിച്ചു പറഞ്ഞുഃ നിന്റെ സഹോദരന്റെ ഭാര്യയെ വിവാഹം ചെയ്ത് സഹോദരനുവേണ്ടി സന്താനങ്ങളെ ജനിപ്പിക്കുക.
"
"""8 Then Judah said to Onan, """"Go in to your brother's wife and perform the duty of a brother-in-law to her; raise up offspring for your brother.""""""
","8: അപ്പോൾ യൂദാ ഓനാനെ വിളിച്ചു പറഞ്ഞുഃ നിന്റെ സഹോദരന്റെ ഭാര്യയെ വിവാഹം ചെയ്ത് സഹോദരനുവേണ്ടി സന്താനങ്ങളെ ജനിപ്പിക്കുക.
"
"""8 Then Judah said to Onan, Go in to your brother's wife, and perform your duty as a brother-in-law to her, and raise up offspring for your brother.""""""
","8 അപ്പോൾ യെഹൂദാ ഔനാനോടുഃ നിന്റെ ജ്യേഷ്ഠന്റെ ഭാര്യയുടെ അടുക്കൽ ചെന്നു അവളോടു ദേവരധർമ്മം അനുഷ്ഠിച്ചു, ജ്യേഷ്ഠന്റെ പേർക്കും സന്തതിയെ ഉളവാക്കുക എന്നു പറഞ്ഞു.
"
"""Christie often stayed at Abney Hall , Cheshire, owned by her brother-in-law, James Watts, basing at least two stories there: a short story """" The Adventure of the Christmas Pudding """" in the story collection of the same name, and the novel After the Funeral.""
","""ക്രിസ്റ്റി ഇടയ്ക്കിടെ ചെഷയറിലെ അബ്നി ഹാളിൽ താമസിച്ചു , അത് അവളുടെ സഹോദരൻ ജെയിംസ് വാട്ട്സിന്റെ ഉടമസ്ഥതയിലായിരുന്നു, അവിടെ കുറഞ്ഞത് രണ്ട് കഥകളെങ്കിലും അടിസ്ഥാനമാക്കിഃ a ചെറുകഥ """" ദി അഡ്വഞ്ചർ ഓഫ് ദി ക്രിസ്മസ് പുഡ്ഡിംഗ് """" അതേ പേരിലുള്ള കഥാ സമാഹാരത്തിലും ശവസംസ്കാരാനന്തര നോവലിലും .""
"
"""Christie often stayed at Abney Hall in Cheshire, owned by her brother-in-law, James Watts, basing at least two stories there: short story """"The Adventure of the Christmas Pudding,"""" in the story collection of the same name, and the novel After the Funeral.""
","""ക്രിസ്റ്റി ഇടയ്ക്കിടെ ചെഷയറിലെ അബ്നി ഹാളിൽ താമസിച്ചു , അത് അവളുടെ സഹോദരൻ ജെയിംസ് വാട്ട്സിന്റെ ഉടമസ്ഥതയിലായിരുന്നു, അവിടെ കുറഞ്ഞത് രണ്ട് കഥകളെങ്കിലും അടിസ്ഥാനമാക്കിഃ a ചെറുകഥ """" ദി അഡ്വഞ്ചർ ഓഫ് ദി ക്രിസ്മസ് പുഡ്ഡിംഗ് """" അതേ പേരിലുള്ള കഥാ സമാഹാരത്തിലും ശവസംസ്കാരാനന്തര നോവലിലും .""
"
"""Christie often stayed at Abney Hall, Cheshire, owned by her brother-in-law, James Watts, basing at least two stories there: a short story """"The Adventure of the Christmas Pudding"""" in the story collection of the same name, and the novel After the Funeral.""
","""ക്രിസ്റ്റി ഇടയ്ക്കിടെ ചെഷയറിലെ അബ്നി ഹാളിൽ താമസിച്ചു , അത് അവളുടെ സഹോദരൻ ജെയിംസ് വാട്ട്സിന്റെ ഉടമസ്ഥതയിലായിരുന്നു, അവിടെ കുറഞ്ഞത് രണ്ട് കഥകളെങ്കിലും അടിസ്ഥാനമാക്കിഃ a ചെറുകഥ """" ദി അഡ്വഞ്ചർ ഓഫ് ദി ക്രിസ്മസ് പുഡ്ഡിംഗ് """" അതേ പേരിലുള്ള കഥാ സമാഹാരത്തിലും ശവസംസ്കാരാനന്തര നോവലിലും .""
"
"""Christie often stayed at Abney Hall, Cheshire, owned by her brother-in-law, James Watts, basing at least two stories there: a short story """"The Adventure of the Christmas Pudding,"""" in the story collection of the same name, and the novel After the Funeral.""
","""ക്രിസ്റ്റി ഇടയ്ക്കിടെ ചെഷയറിലെ അബ്നി ഹാളിൽ താമസിച്ചു , അത് അവളുടെ സഹോദരൻ ജെയിംസ് വാട്ട്സിന്റെ ഉടമസ്ഥതയിലായിരുന്നു, അവിടെ കുറഞ്ഞത് രണ്ട് കഥകളെങ്കിലും അടിസ്ഥാനമാക്കിഃ a ചെറുകഥ """" ദി അഡ്വഞ്ചർ ഓഫ് ദി ക്രിസ്മസ് പുഡ്ഡിംഗ് """" അതേ പേരിലുള്ള കഥാ സമാഹാരത്തിലും ശവസംസ്കാരാനന്തര നോവലിലും .""
"
