eng_Latn,tam_Taml
"""""""And what did you give your grandmother?""""""
","""""""நீ அந்த தாத்தாவுக்கு என்ன கொடுத்தாய்?""
"
"""""""Did you know my grandmother?""
","""""""உங்களுக்கு என் பெரியம்மாவைத் தெரியுமா?""
"
"""""""Did you know my grandmother?""""""
","""""""உங்களுக்கு என் பெரியம்மாவைத் தெரியுமா?""
"
"""""""Did you know your grandmother did this?""""""
","""""""இது உன் தாத்தா செய்ததுதான் என்று எப்படித் தெரியும்?""
"
"""""""Did you see your grandmother?""""""
","""""""உங்க மாமாவ பார்த்தியா?""
"
"""""""Did you want to see your grandmother?""
","""""""உனக்கு உன் தாத்தாவை பார்க்க வேண்டுமா?""
"
"""""""Fear not, grandmother!""""""
","""""""பயப்படாதீங்க, தாத்தா !""
"
"""""""Good morning, dear grandmother,"""" she said.""
","""""""குட் மார்னிங் தாத்தா"""" என்றாள்.""
"
"""""""Good morning, grandmother,"""" he said.""
","""""""குட் மார்னிங் தாத்தா"""" என்றாள்.""
"
"""""""Good morning, grandmother,"""" he says.""
","""""""குட் மார்னிங் தாத்தா"""" என்றாள்.""
"
"""""""Good morning, grandmother,"""" she said.""
","""""""குட் மார்னிங் தாத்தா"""" என்றாள்.""
"
"""""""Good-morning, grandmother,"""" he said.""
","""""""குட் மார்னிங் தாத்தா"""" என்றாள்.""
"
"""""""Her grandmother didn't like it.""
",""""""" அண்ணா அதை ரசிக்கவில்லை.""
"
"""""""How is my grandmother's condition, Doctor?""
","""""""இப்போ அண்ணாவுக்கு உடம்பு எப்படி இருக்கு டாக்டர்?""
"
"""""""I cannot tell, grandmother.""
","""""""சொல்ல முடியாது தாத்தா.""
"
"""""""I murdered my grandmother this morning.""""""
","""அவர் சொன்னதுஃ """" நான் இன்று காலை என் மாமியாரைக் கொன்று விட்டேன்"""" (I murdered my grandmother this morning)""
"
"""""""I want to see your grandmother.""
","""""""நான் உனது தாத்தாவைப் பார்க்க விரும்புகின்றேன்.""
"
"""""""I was with grandmother.""
","""""""இங்க தாத்தாவோட இருந்தேன்.""
"
"""""""I woke up at 5.30 am I was so excited,"""" said Maria Antonietta Galluzzo, a grandmother taking her three-year-old grandson for a walk in Rome's Villa Borghese park, the first time they had seen each other in eight weeks.""
","""""""நான் அதிகாலை 5:30 மணிக்கு எழுந்தேன், மிகவும் உற்சாகமாக இருந்தேன்,"""" என்று மரியா அன்டோனியெட்டா கல்லுஸோ, தனது மூன்று வயது பேரனை ரோமின் வில்லா போர்கீஸ் பூங்காவில் நடைப்பயணத்திற்கு அழைத்துச் செல்கிறார், எட்டு வாரங்களில் அவர்கள் ஒருவரை ஒருவர் பார்த்த முதல் முறையாகும்.""
"
"""""""I woke up at 5.30am - I was so excited,"""" said Maria Antonietta Galluzzo, a grandmother taking her three-year-old grandson for a walk in Rome's Villa Borghese park, the first time they had seen each other in eight weeks.""
","""""""நான் அதிகாலை 5:30 மணிக்கு எழுந்தேன், மிகவும் உற்சாகமாக இருந்தேன்,"""" என்று மரியா அன்டோனியெட்டா கல்லுஸோ, தனது மூன்று வயது பேரனை ரோமின் வில்லா போர்கீஸ் பூங்காவில் நடைப்பயணத்திற்கு அழைத்துச் செல்கிறார், எட்டு வாரங்களில் அவர்கள் ஒருவரை ஒருவர் பார்த்த முதல் முறையாகும்.""
"
"""""""I woke up at 5:30 a.m., I was so excited,"""" said Maria Antonietta Galluzzo, a grandmother taking her three-year-old grandson for a walk in Rome's Villa Borghese park, the first time they had seen each other in eight weeks.""
","""""""நான் அதிகாலை 5:30 மணிக்கு எழுந்தேன், மிகவும் உற்சாகமாக இருந்தேன்,"""" என்று மரியா அன்டோனியெட்டா கல்லுஸோ, தனது மூன்று வயது பேரனை ரோமின் வில்லா போர்கீஸ் பூங்காவில் நடைப்பயணத்திற்கு அழைத்துச் செல்கிறார், எட்டு வாரங்களில் அவர்கள் ஒருவரை ஒருவர் பார்த்த முதல் முறையாகும்.""
"
"""""""I woke up at 5:30am, I was so excited,"""" said Maria Antonietta Galluzzo, a grandmother taking her three-year-old grandson for a walk in Rome's Villa Borghese park, the first time they had seen each other in eight weeks.""
","""""""நான் அதிகாலை 5:30 மணிக்கு எழுந்தேன், மிகவும் உற்சாகமாக இருந்தேன்,"""" என்று மரியா அன்டோனியெட்டா கல்லுஸோ, தனது மூன்று வயது பேரனை ரோமின் வில்லா போர்கீஸ் பூங்காவில் நடைப்பயணத்திற்கு அழைத்துச் செல்கிறார், எட்டு வாரங்களில் அவர்கள் ஒருவரை ஒருவர் பார்த்த முதல் முறையாகும்.""
"
"""""""Is my grandmother asleep?""""""
","""""""தாத்தா தாத்தா தூங்கிட்டியா ?""
"
"""""""Is my grandmother here?""""""
",""""""" இங்கேயா அண்ணா?""
"
"""""""Is this your grandmother's house?""""""
","""""""இந்த வீடு உன்னுதா அண்ணா?""
"
"""""""It wasn't just grandmother.""
","""""""அது மட்டுமில்ல அண்ணா.""
"
"""""""It's not... grandmother, it's not like that.""
",""" """"தாத்தா. . . அது கொஞ்சம் அப்படியிப்படி இருந்துச்சில்ல.""
"
"""""""My grandmother didn't like it.""
",""""""" அண்ணா அதை ரசிக்கவில்லை.""
"
"""""""My grandmother died this morning.""""""
","""""""அம்மா இன்று அதிகாலையில் காலமானார்.""
"
"""""""My grandmother is going to throw me out the house!""""""
",""" """" வயதான என்னை வீட்டைவிட்டு துரத்துகிறார்!""
"
"""""""My grandmother is gone?""""""
","""""""அண்ணா போய்விட்டாயா?""
"
"""""""My grandmother left that to me.""
","""""""இதெல்லாம் அம்மா எனக்காக விட்டுட்டு போனது.""
"
"""""""My grandmother passed away in 2010.""
","""""""என்னோட அம்மா அன்னக்கொடி 2010இல் காணாமப் போயிட்டாங்க.""
"
"""""""My grandmother scolded me!""
",""""""" அண்ணா என்னை அறைஞ்சிது. . !""
"
"""""""My grandmother was very healthy.""
","""""""எங்க தாத்தா ரொம்ப ஆரோக்கியமாக இருந்தார்.""
"
"""""""My grandmother would tell.""
",""""""" உன் அண்ணா சொல்லுவார்.""
"
"""""""My grandmother's 90,"""" she said.""
","""""""90"""" என்றார் மூதாட்டி.""
"
"""""""My grandmother's house has collapsed.""
","""""""அம்மா கட்டிய வீடு இடிந்து விட்டது.""
"
"""""""My grandmother, again.""
",""""""" மறுபடியும் தாத்தா.""
"
"""""""Now you see, grandmother!""
","""""""இதோ பார், தாத்தா!""
"
"""""""Of course you can, dear,"""" his grandmother said with a nod.""
","""""""நிச்சயமாக உன்னால் முடியும், முட்டாளே"""" என்றார் அவனது தாத்தா.""
"
"""""""Oh"""" said my grandmother.""
","""""""ஓ""""என்றார் அச்சுதன் அண்ணா.""
"
"""""""Should I say, grandmother?""
","""""""நீ சொல்லணுமா, தாயி?""
"
"""""""Sorry your grandmother died yesterday.""
",""""""" உங்கள் அப்பா நேற்று இறந்ததற்காக மிகுந்த வருத்தமடைகிறேன்.""
"
"""""""That's what the grandmother wants.""
","""""""அதுதான் அண்ணா வேண்டும்.""
"
"""""""The house belonged to my grandmother.""
","""""""இந்த வீடு எங்கள் தாத்தாவுக்கு சொந்தமானது.""
"
"""""""This house belongs to my grandmother.""
","""""""இந்த வீடு எங்கள் தாத்தாவுக்கு சொந்தமானது.""
"
"""""""This is my grandmother's recipe that my mom taught me.""
","""""""என் அம்மா கற்றுக்கொடுத்த ரெசிபி இது.""
"
"""""""To my grandmother, she's over 80""
","""""""என்ன மாமி, அவளுக்கு வயசு 80க்குமேல.""
"
"""""""What did my grandmother sing?""
","""""""என்ன பாட்டு பாடறது தாத்தா?""
"
"""""""What do you want me to say grandmother?""""""
","""""""என்ன பண்ண வேண்டும் அண்ணா நீதான் சொல்லேன்?""
"
"""""""What does your grandmother think?""
",""""""" என்ன அண்ணா யோசிக்கறீங்க ?""
"
"""""""What does your grandmother think?""""""
",""""""" என்ன அண்ணா யோசிக்கறீங்க ?""
"
"""""""What else did your grandmother say?""""""
","""""""வேறு என்னவெல்லாம் சொன்னாங்க அண்ணா?""
"
"""""""When am I to go, grandmother?""""""
","""""""எப்போது புறப்படவேண்டும், தாத்தா?""
"
"""""""When will we leave, grandmother?""""""
","""""""எப்போது புறப்படவேண்டும், தாத்தா?""
"
"""""""Why did you kill your grandmother?""""""
","""""""நம்ம தாத்தாவை ஏன் கொன்றாய்?""
"
"""""""Why didn't you kill my grandmother?""
","""""""நம்ம தாத்தாவை ஏன் கொன்றாய்?""
"
"""""""Why not, grandmother, why not?""
","""""""இல்ல மாமா, ஏன்?""
"
"""""""Why would you kill my grandmother?""""""
","""""""நம்ம தாத்தாவை ஏன் கொன்றாய்?""
"
"""""""You know my grandmother?""""""
","""""""உங்களுக்கு என் பெரியம்மாவைத் தெரியுமா?""
"
"""""""You want to see my grandmother?""
","""""""உனக்கு உன் தாத்தாவை பார்க்க வேண்டுமா?""
"
"""""""Your grandmother coming?""""""
",""""""" உன் அண்ணா வந்துட்டா. . ?""
"
"""""""Your grandmother died this morning.""
","""""""அம்மா இன்று அதிகாலையில் காலமானார்.""
"
"""""""Your grandmother is missing?""""""
","""""""உன் அப்பாவ ரொம்ப மிஸ் பண்றியா?""
"
"""""""Your grandmother's coming here?""
",""""""" உன் அண்ணா வந்துட்டா. . ?""
"
"""""""Your grandmother's worried about you.""""""
","""உனது அத்தை உன்னைக் குறித்து கவலைப்படுகிறாள்.""""""
"
"""A told B, """"Yesterday I met the only brother of the daughter of my grandmother.""""""
","""A,B யிடம் கூறியது,""""நான் நேற்று சந்தித்த பெண் எனது நண்பனின் அம்மாவின் சகோதரரின் இளைய மகள்,எப்படி இப்பெண்""
"
"""Are you going to be thinking of your grandmother?""""""
","""எப்பவாவது உன் தாத்தா ஊரை நினைத்து பார்ப்பதுண்டா"""" ?""
"
"""I'm your grandmother, your mother's mother.""""""
","""தேவ் அண்ணா அம்மா, உங்க மாமியார் தான்.""""""
"
"""Memories of my grandmother.""""""
","""என் அம்மாவின் நினைவுகளிற்கு. . """"""
"
"""My grandmother is dead.""""""
","""தாத்தா இறந்துவிட்டாராம்"""" என்று""
"
"""My grandmother said, """" Things were very different in those days.""
","""அவள் சொன்னாள்ஃ """"என் காலத்தில், விஷயங்கள் மிகவும் வித்தியாசமாக இருந்தன!""
"
"""The baby's name is Lilibet """"Lili"""" Diana Mountbatten-Windsor after Harry's grandmother and mother.""
","""அக்குழந்தைக்கு லிலிபெட் லிலி டயானா மவுன்ட்பேட்டன் வின்ட்சர் (Lilibet """"Lili"""" Diana Mountbatten-Windsor) என்று பெயர் சூட்டியுள்ளனர்.""
"
"""The newborn has been named Lilibet """"Lili"""" Diana Mountbatten-Windsor, after both her grandmother and great-grandmother.""
","""அக்குழந்தைக்கு லிலிபெட் லிலி டயானா மவுன்ட்பேட்டன் வின்ட்சர் (Lilibet """"Lili"""" Diana Mountbatten-Windsor) என்று பெயர் சூட்டியுள்ளனர்.""
"
"""This is your grandmother's house?""""""
","""""""இந்த வீடு உன்னுதா அண்ணா?""
"
"""Why did you kill my grandmother?""""""
","""""""நம்ம தாத்தாவை ஏன் கொன்றாய்?""
"
"'Where to so early in the morning, grandmother?
","'என்ன மூத்தாப்பா, காலையிலேயே?
"
"(My grandmother also died of cancer.
","(அப்புறம், என் அம்மாவும் cancer-ல் தான் இறந்தார்.
"
"(My grandmother still doesn't know.
","(அண்ணாவுக்கு தெரியாமல் தான்.
"
"(She was my grandmother's mother.
","(இவர் எனக்குத் தாய் மாமா ஆவார் .
"
"(This was my grandmother's birthday too!)
","* (இன்று என் மகளின் பிறந்த நாளும்கூட!
"
"(Your grandmother's
","(தன்னுடைய தாயான
"
"(a) His aunt. (b) His mother. (c) His father. (d) His grandmother.
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"(a) His mother. (b) His grandmother. (c) Paris. (d) His uncle.
","A) மாமா (அ) சித்தப்பா B) தந்தை C) மாமா (அ) பெரியப்பா D) அவரே
"
"4 year old saves his grandmother's life!
","தாயின் உயிரை காப்பாற்றிய 4 வயது சிறுவன்!
"
"70 year old grandmother gives birth to twins...
","70 வயது மூதாட்டி இரட்டை குழந்தைகளை பெற்றடுத்த அதிச. . .
"
"A 5-year-old boy went to visit his grandmother one
","தாயை சந்திக்க தனியாக பயணித்த 5 வயது சிறுவன் 1
"
"A 62-year-old grandmother is selling her £200,000 house so she can travel the world on her Harley Davidson motorbike.
","62 வயதுடைய பெண்மணியொருவர் தன்னுடைய மோட்டார் சைக்கிளின் மூலம் உலகைச் சுற்றிப்பார்க்க வேண்டும் என்பதற்காக 200,000 ஸ்ரேலிங் பவுண் பெறுமதியான தனது வீட்டை விற்பனை செய்திருக்கிறார்.
"
"A 65-year-old grandmother has married her 24-year-old adopted son in Indonesia.
","இந்தோனேசியாவில் தனது வளர்ப்பு மகளை 65 வயதான பெண் திருமணம் செய்து கொண்டுள்ளார்.
"
"A 70-year-old grandmother was dragged by several policemen.
","70 வயது தாய் ஒருவர் பொலிஸாரால் தாக்கப்பட்டு பலர் கைது செய்யப்பட்டனர்.
"
"A card is sweet and all, but personalized bracelet is the best way to let your grandmother keep your sentiments with her at all times.
","ஒரு அட்டை இனிமையானது மற்றும் அனைத்துமே, ஆனால் இந்த வளையல் உங்கள் அம்மாவை எப்போதும் உங்கள் உணர்வுகளை அவளுடன் வைத்திருக்க அனுமதிக்க சிறந்த வழியாகும்.
"
"A friend's grandmother died.
","ஒரு தோழரின் தாத்தா இறந்து விட்டார்.
"
"A grandmother of four girls.
","நாலு பெண் குட்டிகளின் தாயானாய்.
"
"A grandmother's story.
","வயதான தாதாவை பற்றிய கதை.
"
"A wonderful story that reminded me of my grandmother.
","என் அம்மாவை நினைவூட்டிய அருமையான சிறந்த கதை.
"
"Abhijith star (12 hours of day) will be satisfied with her grandmother and she will have money to pay for her hand.
","அபிஜித் நட்சத்திரத்தில் (பகல் 12 மணி) அரவாணிக்குதிருப்தியாக உணவளித்து அவள் கையால் பணம் பெறபணம் நிலைத்திருக்கும்.
"
"Afterward, he came home and told his grandmother.
","இதனையடுத்து, வீட்டிற்கு வந்து தனது தாயாரிடம் எல்லாவற்றையும் அவர் கூறியுள்ளார்.
"
"An 82-year-old grandmother died on Saturday.
","82 வயது மூதாட்டி ஒருவர் சனிக்கிழமை அன்று உயிரிழந்தார்.
"
"And then, my mother and my grandmother sat down.
","பிறகு என் அம்மாவும் மாமியும் கதைபேச உட்கார்ந்துவிட்டார்கள்.
"
"Another time, a man arrived and called his son to inform him that his grandmother had died some days ago.
","மற்றொரு சமயம், ஒரு ஆண் வந்து தனது மகனை தொலைபேசியில் அழைத்து, அவனுடைய தாத்தா சில நாட்களுக்கு முன் இறந்துவிட்டதாக தகவல் தெரிவித்தார்.
"
