eng_Latn,ory_Orya
"After this, Ranveer takes his cellphone in his hand and says, 'Your sister-in-law is on stay, everyone seems to be watching what is going on.
","ଏହାପରେ ରଣବୀର ନିଜର ଫୋନକୁ ହାତରେ ଧରି କହୁଛନ୍ତି, 'ତୁମ ଭାବି ଲାଇଭରେ ଅଛି ସବୁ ଦେଖୁଛି କି କଣ ହେଉଛି।
"
"At least 11 of Dickinson's poems were dedicated to sister-in-law Susan Huntington Gilbert Dickinson, though all the dedications.
","ଅତି କମ୍ରେ ତାଙ୍କର ସମ୍ପର୍କୀୟ ସୁସାନ ହଣ୍ଡିଙ୍ଗଟନ ଗିଲବର୍ଟ ଡିକିନସନଙ୍କୁ (Susan Huntington Gilbert Dickinson) ସମର୍ପିତ ଏଗାରଟି କବିତାର ସୁସାନ ନାମ ଟଡଙ୍କଦ୍ୱାରା ବାଦ ଦିଆଯାଇଥିଲେ ।
"
"But today we will talk about her sister-in-law.
","କିନ୍ତୁ ଆଜି ଆମେ ଆପଣଙ୍କ ଜୁଡବା ପତି ପତ୍ନୀ ବିଷୟରେ କହିବୁ ।
"
"Ira Basu, sister-in-law of former West Bengal Chief Minister Buddhadeb Bhattacharjee, had been on the footpath for the last two years.
","କୋଲକାତାଃ ପଶ୍ଚିମବଙ୍ଗର ପୂର୍ବତନ ମୁଖ୍ୟମନ୍ତ୍ରୀ ବୁଦ୍ଧଦେବ ଭଟ୍ଟାଚାର୍ଯ୍ୟଙ୍କ ବୋହୂ ଇରା ବସୁ ଗତ ଦୁଇ ବର୍ଷ ଧରି ଫୁଟପାଥରେ ରହୁଥିବା ନେଇ ଜଣାପଡିଛି।
"
"Is my sister-in-law really pregnant?
","ଓ ମାଇଁ ଗଡ଼ କରୀନା କ'ଣ ସତରେ ଗର୍ଭବତୀ?
"
"Last year my sister-in-law generously b...
","ଗତବର୍ଷ ନିଜ ଭଉଣୀକୁ କୁମ୍ଭୀର ...
"
"Nick's brother and sister-in-law, Joe Jonas and Sophie Turner have purchased a house just three miles away from his and Priyanka's, for $14 million.
","ସୂଚନା ଅନୁଯାୟୀ, ନିକ୍ଙ୍କ ଭାଇ ଜୋ ଜୋନସ୍ ଓ ତାଙ୍କ ପତ୍ନୀ ସୋଫି ଟର୍ନର ମଧ୍ୟ ପ୍ରିୟଙ୍କା ଓ ନିକ୍ଙ୍କ ଘରଠୁ ମାତ୍ର ୩ ମାଇଲ୍ ଦୂରରେ ୧୪ ମିଲିୟନ ଡଲାର୍ର ଏକ ଘର କିଣିଛନ୍ତି।
"
"Rishi Kapoor's wife Neetu Kapoor took to her social media handle to mourn the death of her sister-in-law.
","ଋଷି କପୁରଙ୍କ ପତ୍ନୀ ନୀତୁ କପୁର ସୋସିଆଲ ମିଡିଆ ଆକାଉଣ୍ଟରେ ଫଟୋ ସେୟାର କରି ତାଙ୍କ ମୃତ୍ୟୁ ଖବରକୁ ନିଶ୍ଚିତ କରିଛନ୍ତି ।
"
"She shares her plot of land - with her sister-in-law Hisimuni, Sufal Tudu's widow, who lives in a mud hut.
","ସେ ତାଙ୍କର ପ୍ଲଟ୍କୁ ଅନ୍ୟ ଜଣଙ୍କ ସହିତ ବାଣ୍ଟିଛନ୍ତି - ତାଙ୍କର ଜା' ହିସିମୁଣି, ସୁଫଳ ଟୁଡୁଙ୍କର ବିଧବା, ଯିଏ ଏକ ମାଟି କୁଡିଆରେ ରୁହନ୍ତି ।
"
"She's your sister-in-law!
","ସେ ଉଦଣ୍ଡୀ ତୋ ଭଉଣୀ ଇସ୍ !
"
"Was this woman really her sister-in-law?
","ସତରେ ଏ ଝିଅଟି ତା'ର କ୍ଳାସମେଟ?
"
"Who are these sister-in-laws?
","କିଏ ଏହିସବୁ ହତଭାଗିନୀ ନାରୀ?
"
