eng_Latn,pan_Guru
"""""""My cousin's a girl.""
","""""""ਮੇਰੇ ਇੱਕ ਕੁੜੀ ਐ।""
"
"""Both are distant cousins of the English words """"right"""" and """"direct,"""" and that is the source of the confusion: Depending on the context and usage, these words can carry meanings such as """"right"""" (the opposite of left), """"right"""" (entitlement), """"straight,"""" """"upright"""" and """"directly.""""""
","""ਦੋਨੋ, """"ਸਹੀ"""" ਅਤੇ """"ਸਿੱਧੇ"""" ਅੰਗਰੇਜ਼ੀ ਦੇ ਦੂਰ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਹਨ ਅਤੇ ਇਹ ਉਲਝਣ ਦਾ ਸਰੋਤ ਹੈਃ ਪ੍ਰਸੰਗ ਅਤੇ ਵਰਤੋਂ ਦੇ ਆਧਾਰ ਤੇ, ਇਹ ਸ਼ਬਦ ਅਰਥਾਂ ਨੂੰ """"ਸੱਜੇ"""" (ਖੱਬੇ ਪਾਸੇ ਦੇ ਉਲਟ) ਜਿਵੇਂ ਕਿ """" ਹੱਕ """" (ਇੰਟਾਇਟਲਮੈਂਟ),"""" ਸਿੱਧੀ, """""""" ਈਮਾਨਦਾਰ """"ਅਤੇ"""" ਸਿੱਧੇ.""
"
"""I'm going to kill my cousin!""""""
","""""""ਮੇਰੇ ਸਾਲੇ ਨੂੰ ਮਾਰ ਦੇਆਂਗੇ !""
"
"""Two easily confused Spanish words are derecho and derecha.Both are distant cousins of the English words """"right"""" and """"direct,"""" and that is the source of the confusion: Depending on the context and usage, these words can carry meanings such as """"right"""" (the opposite of left), """"right"""" (entitlement), """"straight,"""" """"upright"""" and """"directly.""""""
","""ਦੋਨੋ, """"ਸਹੀ"""" ਅਤੇ """"ਸਿੱਧੇ"""" ਅੰਗਰੇਜ਼ੀ ਦੇ ਦੂਰ ਦੇ ਰਿਸ਼ਤੇਦਾਰ ਹਨ ਅਤੇ ਇਹ ਉਲਝਣ ਦਾ ਸਰੋਤ ਹੈਃ ਪ੍ਰਸੰਗ ਅਤੇ ਵਰਤੋਂ ਦੇ ਆਧਾਰ ਤੇ, ਇਹ ਸ਼ਬਦ ਅਰਥਾਂ ਨੂੰ """"ਸੱਜੇ"""" (ਖੱਬੇ ਪਾਸੇ ਦੇ ਉਲਟ) ਜਿਵੇਂ ਕਿ """" ਹੱਕ """" (ਇੰਟਾਇਟਲਮੈਂਟ),"""" ਸਿੱਧੀ, """""""" ਈਮਾਨਦਾਰ """"ਅਤੇ"""" ਸਿੱਧੇ.""
"
"""Under the Act of Settlement 1701, which excluded all Catholics, she was succeeded by her second cousin George I of the House of Hanover, whose maternal grandmother, Elizabeth Stuart, Queen of Bohemia, was a daughter of James VI/I.""""""
","ਬੰਦੋਬਸਤ ਐਕਟ 1701 ਦੇ ਤਹਿਤ ਜਦੋਂ ਸਾਰੇ ਕੈਥੋਲਿਕ ਬਾਹਰ ਕਰ ਦਿੱਤੇ ਗਏ, ਉਸ ਦਾ ਵਾਰਸ ਹੈਨੋਵਰ ਘਰਾਣੇ ਤੋਂ ਉਸਦਾ ਦੂਜਾ ਕਜ਼ਨ ਜਾਰਜ ਪਹਿਲਾ ਬਣਿਆ, ਜਿਸ ਨਾਨੀ ਬੋਹੀਮਿਆ ਦੀ ਰਾਣੀ, ਏਲਿਜ਼ਬੇਤ ਸਟੂਅਰਟ, ਜੇਮਜ ਛੇਵੇਂ ਅਤੇ ਪਹਿਲੇ ਦੀ ਧੀ ਸੀ।
"
"(c) daughter-in-law (d) cousin
","c) ਸਖੀ d) ਮਾਂ
"
"10 Aristarchus my fellow prisoner greets you, as does Mark the cousin of Barnabas, concerning whom you have received instructions - if he comes to you, welcome him.
","10 ਅਰਿਸਤਰਖੁਸ ਜੋ ਮੇਰੇ ਨਾਲ ਕੈਦ ਹੈ, ਨਾਲੇ ਮਰਕੁਸ ਜਿਹੜਾ ਬਰਨਬਾਸ ਦਾ ਸਾਕ ਹੈ ਜਿਹ ਦੇ ਵਿਖੇ ਤੁਹਾਨੂੰ ਹੁਕਮ ਮਿਲਿਆ ਸੀ- ਜੇ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਆਵੇ ਤਾਂ ਉਹ ਦਾ ਆਦਰ ਭਾਉ ਕਰਨਾ।
"
"10 Aristarchus my fellow-prisoner greets you, as does Mark the cousin of Barnabas, concerning whom you have received instructions - if he comes to you, welcome him.
","10 ਅਰਿਸਤਰਖੁਸ ਜੋ ਮੇਰੇ ਨਾਲ ਕੈਦ ਹੈ, ਨਾਲੇ ਮਰਕੁਸ ਜਿਹੜਾ ਬਰਨਬਾਸ ਦਾ ਸਾਕ ਹੈ ਜਿਹ ਦੇ ਵਿਖੇ ਤੁਹਾਨੂੰ ਹੁਕਮ ਮਿਲਿਆ ਸੀ- ਜੇ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਆਵੇ ਤਾਂ ਉਹ ਦਾ ਆਦਰ ਭਾਉ ਕਰਨਾ।
"
"1461 - Wars of the Roses in England: Lancastrian King Henry VI is deposed by his House of York cousin, who then becomes King Edward IV.
","1461 - ਇੰਗਲੈਂਡ ਵਿਚ ਗੁਲਾਬ ਦੀਆਂ ਲੜਾਈਆਂਃ ਲੈਨਕਾਸਟ੍ਰੀਅਨ ਕਿੰਗ ਹੈਨਰੀ VI ਨੂੰ ਉਸ ਦੇ ਹਾ Houseਸ Yorkਫ ਯਾਰਕ ਦੇ ਚਚੇਰਾ ਭਰਾ ਦੁਆਰਾ ਕੱosed ਦਿੱਤਾ ਗਿਆ, ਜੋ ਫਿਰ ਕਿੰਗ ਐਡਵਰਡ IV ਬਣ ਜਾਂਦਾ ਹੈ.
"
"1461 Wars of the Roses in England: Lancastrian King Henry VI is deposed by his Yorkist cousin, who then becomes King Edward IV.
","1461 - ਇੰਗਲੈਂਡ ਵਿਚ ਗੁਲਾਬ ਦੀਆਂ ਲੜਾਈਆਂਃ ਲੈਨਕਾਸਟ੍ਰੀਅਨ ਕਿੰਗ ਹੈਨਰੀ VI ਨੂੰ ਉਸ ਦੇ ਹਾ Houseਸ Yorkਫ ਯਾਰਕ ਦੇ ਚਚੇਰਾ ਭਰਾ ਦੁਆਰਾ ਕੱosed ਦਿੱਤਾ ਗਿਆ, ਜੋ ਫਿਰ ਕਿੰਗ ਐਡਵਰਡ IV ਬਣ ਜਾਂਦਾ ਹੈ.
"
