eng_Latn,ben_Beng
""""""" To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.""
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"""""""All of my nieces love this app.""
","""""""আমার nieces সমস্ত এই app টি ভালবাসেন.""
"
"""""""I think it would be a tragedy if Donald and everybody who's enabled him and committed crimes with him is not held accountable,"""" the President's niece suggested.""
","""মেরি ট্রাম্প বলেছেন, """"আমি মনে করি যে ডোনাল্ড এবং যারা তাকে সক্ষম করেছে এবং তার সাথে অপরাধ করেছে তাদের প্রত্যেককে যদি জবাবদিহি না করা হয় তবে এটি একটি বিয়োগান্তক ঘটনা হবে।""
"
"""""""I'm calling regarding your niece, Alicia Berenson.""
","""""""আপনার ভাগ্নি, অ্যালিসিয়া বেরেনসনের ব্যাপারে কথা বলার জন্যে ফোন দিয়েছিলাম।""
"
"""""""They have been raking through details of Bruno's life,"""" Andreia Araujo, Cande's niece, told Al Jazeera.""
","""""""তারা ব্রুনোর জীবনের বিবরণ দিয়েছিল,"""" ক্যান্ডির ভাতিজি আন্দ্রেয়া আরাউজো আল জাজিরাকে বলেছেন।""
"
"""""""Three years ago, when my four-year-old niece had a severe stomach ache and was vomiting, we didn't know what to do.""
","""""""তিন বছর আগে যখন আমার চার বছরের ভাগ্নীর প্রচণ্ড পেট ব্যাথা আর বমি শুরু হল, তখন কী করব আমরা বুঝতে পারছিলাম না।""
"
"""""""To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.""
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"""""""We have 40 relatives, including cousins, nephews and nieces, in Saudi Arabia,"""" he added.""
","তিনি বলেন, 'ফুপাত-মামাত ভাইবোন, ভাগনে, ভাস্তে ধরলে আমাদের আত্মীয়-স্বজনের ৪০ জনই রয়েছে সৌদি আরবে'।
"
"""""""When I saw him walking towards me, with Clarissa's niece Haelee, I could not hold it.""
","'যখন আমি তাকে আমার দিকে হাঁটতে দেখলাম, ক্লারিশার ভাগ্নী হেলি নিয়ে, আমি ধরে রাখতে পারিনিএটা।
"
"""(f) """"family member"""" means spouse, child, grandchild of any degree, parent, mother-in-law, father-in-law, grandparent of any degree, brother, brother-in-law, sister, sister-in-law, half-brother, half-sister, uncle, aunt, nephew or niece, whether biological, step or adoptive;""
","(ট) 'বর্ধিত পরিবার' বলিতে চাচা- চাচী, ফুফা-ফুফু, মামা-মামী, খালা-খালু, ভাই-ভাবী, ভগ্নি-ভগ্নিপতি, শ্যালক-শ্যালিকা বা এইরূপ রক্তসম্পর্কীয় অথবা আত্মীয়তার বন্ধনে আবদ্ধ কোনো আত্মীয়ের পরিবারকে বুঝাইবে;
"
"""AP - US President Donald Trump's niece said her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""Abubakar Shehu, whose niece is among those missing from Dapchi, told AFP: """"Our girls have been missing for two days and we don't know their whereabouts.""
","গত বুধবার আবুবকর সেহো নামের এক ব্যক্তি বার্তা সংস্থা এএফপিকে বলেন, 'আমাদের মেয়েরা দুদিন ধরে নিখোঁজ এবং আমরা তাদের অবস্থান সম্পর্কে কিছুই জানি না।
"
"""Abubakar Shehu, whose niece is among those missing from Dapchi, told AFP: """"Our girls have been missing for two days and we don't know their whereabouts.""""""
","গত বুধবার আবুবকর সেহো নামের এক ব্যক্তি বার্তা সংস্থা এএফপিকে বলেন, 'আমাদের মেয়েরা দুদিন ধরে নিখোঁজ এবং আমরা তাদের অবস্থান সম্পর্কে কিছুই জানি না।
"
"""An appeals court judge in New York has lifted a temporary ban on the publication of a potentially explosive """"tell-all"""" book by President Donald Trump's niece.""
","প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের ভাতিজির 'টেল অল' বইয়ের প্রকাশের ওপর দেয়া নিষেধাজ্ঞা প্রত্যাহার করেছেন নিউইয়র্কের একটি আপিল আদালতের বিচারক।
"
"""An appeals courtroom judge in New York has lifted a temporary ban on the publication of a potentially explosive """"tell-all"""" book by President Donald Trump's niece.""
","প্রেসিডেন্ট ডোনাল্ড ট্রাম্পের ভাতিজির 'টেল অল' বইয়ের প্রকাশের ওপর দেয়া নিষেধাজ্ঞা প্রত্যাহার করেছেন নিউইয়র্কের একটি আপিল আদালতের বিচারক।
"
"""Her case gained international attention on February 6 when Meena Harris, niece of US Vice-President Kamala Harris, tweeted saying, """"23-year-old labour rights activist Nodeep Kaur was arrested, tortured and sexually assaulted in police custody.""""""
","""৬ ফেব্রুয়ারিতে আমেরিকার ভাইস-প্রেসিডেন্ট কমলা হ্যারিসের ভাইঝি মীনা হ্যারিস টুইট করে বলেছিলেন, """"২৩ বছর বয়সী শ্রমকর্মী নদীপ কৌরকে গ্রেফতার করা হয়েছিল এবং তাঁকে পুলিশি হেফাজতে রেখে যৌন নির্যাতন করা হয়ে।""
"
"""I promised Mrs. Miller that you would play with her niece.""""""
","আমি মিসেস মিলারকে ওয়াদা করেছি যে তুমি তার ভাগ্নির সাথে খেলা করবে।
"
"""If you are not prepared to miss your favourite niece's birthday party, journalism is not the right choice for you.""""""
","""""""যদি তুমি তোমার প্রিয় ভাগ্নির জন্মদিনের পার্টি মিস করতে রাজি না হও, তাহলে সাংবাদিকতা তোমার জন্য সঠিক পছন্দ নয়,"""" শিক্ষার্থীদের বলেন তিনি।""
"
"""My 3-year-old niece once asked me """"what the fuck?""""""
","""আমার বাসার সর্ব কনিষ্ঠ তিন বছরের শিশুটি যখন আমাকে প্রশ্ন করলো, """"ওটা কি?""
"
"""On February 6, when Meena Harris, niece of U.S. Vice President Kamala Harris, tweeted saying, """"23-year-old labour rights activist Nodeep Kaur was kidnapped, tortured, and sexually assaulted in police custody,"""" her case gained international attention.""
","""৬ ফেব্রুয়ারিতে আমেরিকার ভাইস-প্রেসিডেন্ট কমলা হ্যারিসের ভাইঝি মীনা হ্যারিস টুইট করে বলেছিলেন, """"২৩ বছর বয়সী শ্রমকর্মী নদীপ কৌরকে গ্রেফতার করা হয়েছিল এবং তাঁকে পুলিশি হেফাজতে রেখে যৌন নির্যাতন করা হয়ে।""
"
"""President Donald Trump's niece (Mary Trump) says her uncle is 'criminal, cruel and traitorous' and belongs in prison after he leaves the White House...""""""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House. [...]""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""US President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""US President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White...""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"""Washington DC, Dec 4, 2020 - President Donald Trump's niece says her uncle is """"criminal, cruel and traitorous"""" and belongs in prison after he leaves the White House.""
","""রাষ্ট্রপতি ডোনাল্ড ট্রাম্পের ভাতিজি বলেছেন যে তার চাচা """"অপরাধী, নিষ্ঠুর এবং বিশ্বাসঘাতক"""" এবং হোয়াইট হাউস ছেড়ে যাওয়ার পরে কারাগারে রয়েছেন।""
"
"&0183;&32;Mary Trump, President Donald Trump's niece, filed a lawsuit Thursday accusing the President and his siblings of committing fraud in order to deprive her.
","ডোনাল্ড ট্রাম্পের ভাগ্নী মেরি ট্রাম্প বৃহস্পতিবার মার্কিন প্রেসিডেন্টের বিরুদ্ধে তাঁর এবং পরিবারের অন্যান্য সদস্যদের বিরুদ্ধে প্রতারণার অভিযোগ এনে মামলা করেছেন . . .
"
"- Great gifts for your children, grandchildren, nieces and nephews.
","তারা আপনার সন্তানদের জন্য, grandchildren, nieces এবং nephews জন্য মহান উপহার।
"
"- To be on television and have my nieces and nephews see me, and seeing them wear my shirt to the games and be proud, it's so sweet.
","টেলিভিশনে থাকতে এবং আমার ভাগ্নি এবং ভাগ্নীরা আমাকে দেখতে, এবং তাদের গেমগুলিতে আমার শার্ট পরে এবং গর্বিত হতে দেখে, এটি খুব মধুর।
"
"9 details from the new book by Donald Trump's niece
","নতুন বইয়ে ডোনাল্ড ট্রাম্পের বিষয়ে নতুন ১০ বিস্ফোরক তথ্য
"
