eng_Latn,pan_Guru
"""Riyaz Ahmed writes, """"Will the brother-in-laws not marry without a wedding?""""""
","""ਰਿਆਜ਼ ਅਹਿਮਦ ਲਿਖਦੇ ਹਨ,""""ਬਿਨਾਂ ਵਿਆਹ ਦੇ ਸਸੁਰਾਲ, ਸਵਾਗਤ ਨਹੀਂ ਕਰੋਗੇ?""
"
"(somewhat dated) brother-in-law (husband of wife's sister)
","ਭੈਣ ਦੀ ਨੂੰਹ (ਭੈਣ ਦੇ ਮੁੰਡੇ ਦੀ ਪਤਨੀ)
"
"Enzo Kori-Odan, the prince of Zama is a victim of a coup d'etat orchestrated by his brother-in-law on the day of his coronation and wedding with Erine Evou.
","ਐਂਜ਼ੋ ਕੋਰੀ-ਓਦਨ, ਜ਼ਾਮਾ ਦੇ ਰਾਜਕੁਮਾਰ, ਏਰਾਈਨ ਈਵੌ ਨਾਲ ਆਪਣੇ ਤਾਜਪੋਸ਼ੀ ਅਤੇ ਵਿਆਹ ਦੇ ਦਿਨ ਉਸ ਦੇ ਭਰਾ ਜੀ ਦੁਆਰਾ ਤੈਨਾਤ ਇਕ ਘੁਸਪੈਠ ਦਾ ਸ਼ਿਕਾਰ ਹਨ.
"
"He and his brother-in-law (he is also a cricketer) had dinner at my house and when he was going to put the plate, I said- 'I will keep the guest keep God.'
","ਉਸ ਨੇ ਅਤੇ ਉਸ ਦੇ ਭਰਾ (ਉਹ ਵੀ ਕ੍ਰਿਕਟਰ ਹੈ) ਦੇ ਸਾਲੇ ਨੇ ਮੇਰੇ ਘਰ ਡਿਨਰ ਕੀਤਾ ਅਤੇ ਉਹ ਪਲੇਟ ਰੱਖਣ ਜਾ ਰਹੇ ਸਨ ਤਾਂ ਮੈਂ ਕਿਹਾ - 'ਮੈਂ ਰੱਖ ਦਵਾਂਗੀ ਮਹਿਮਾਨ ਭਗਵਾਨ ਹੁੰਦਾ ਹੈ।
"
"He formulated with his brother-in-law Peter Waage the chemical law of mass action as a function of the speed and concentration of reagents, determining whether this reaction would be reversible in terms of reagent concentrations.
","ਉਸਨੇ ਆਪਣੇ ਭਾਣਜਾ ਪੀਟਰ ਵੇਜ ਨਾਲ ਸਮੂਹਕ ਕਾਰਵਾਈ ਦੇ ਰਸਾਇਣਕ ਕਾਨੂੰਨ ਨੂੰ ਗਤੀ ਅਤੇ ਰਿਐਜੈਂਟਸ ਦੀ ਇਕਾਗਰਤਾ ਦੇ ਕਾਰਜ ਵਜੋਂ ਤਿਆਰ ਕੀਤਾ, ਇਹ ਨਿਰਧਾਰਤ ਕਰਦਿਆਂ ਕਿ ਕੀ ਇਹ ਪ੍ਰਤੀਕਰਮ ਰਿਐਜੈਂਟ ਗਾੜ੍ਹਾਪਣ ਦੇ ਸੰਦਰਭ ਵਿੱਚ ਬਦਲਾਵ ਯੋਗ ਹੋਏਗੀ ਜਾਂ ਨਹੀਂ।
"
"He is also the brother-in-law of actress Jyothika.
","ਉਹ ਅਭਿਨੇਤਰੀ ਜਯੋਤਿਕਾ ਦੀ ਛੋਟੀ ਭੈਣ ਹੈ।
"
"Her photograph of Bibi Aisha, a woman from Afghanistan whose ears and nose were severed by her husband and brother-in-law, was selected as the World Press Photo of the Year in 2010.
","ਉਸਦੀ ਖਿੱਚੀ ਅਫ਼ਗਾਨਿਸਤਾਨ ਤੋਂ ਬੀਬੀ ਆਇਸ਼ਾ ਦੀ ਫੋਟੋ ਜਿਸ ਦੇ ਕੰਨ ਅਤੇ ਨੱਕ ਨੂੰ ਉਸਦੇ ਪਤੀ ਅਤੇ ਦਿਓਰ ਦੁਆਰਾ ਕੱਟਿਆ ਗਿਆ ਸੀ, ਨੂੰ ਸਾਲ 2010 ਵਿੱਚ ਵਰਲਡ ਪ੍ਰੈਸ ਫੋਟੋ ਆਫ ਦ ਈਅਰ ਚੁਣਿਆ ਗਿਆ ਸੀ।
"
"His brother-in-law and sister-in-law were seriously injured in the incident.
","ਇਸ ਹਾਦਸੇ 'ਚ ਕੁੜੀ ਦੀ ਭਰਜਾਈ ਅਤੇ ਭਰਾ ਗੰਭੀਰ ਰੂਪ 'ਚ ਜ਼ਖ਼ਮੀ ਹੋ ਗਏ।
"
"His widow, Johanna van Gogh-Bonger (1862 - 1925), returned to Holland with the collection, and dedicated herself to getting her brother-in-law the recognition he deserved.
","ਉਸਦੀ ਵਿਧਵਾ, ਜੋਹਾਨਾ ਵੈਨ ਗੌਗ-ਬੋਂਗਰ (1862-1925), ਸੰਗ੍ਰਹਿ ਦੇ ਨਾਲ ਹਾਲੈਂਡ ਵਾਪਸ ਆਈ, ਅਤੇ ਆਪਣੇ ਭਾਣਜੇ ਨੂੰ ਉਹ ਮਾਨਤਾ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਆਪਣੇ ਆਪ ਨੂੰ ਸਮਰਪਿਤ ਕਰ ਦਿੱਤਾ ਜਿਸਦਾ ਉਹ ਹੱਕਦਾਰ ਸੀ. 1914 ਵਿੱਚ, ਉਸਦੀ ਪ੍ਰਸਿੱਧੀ ਦੇ ਭਰੋਸੇ ਨਾਲ, ਉਸਨੇ ਦੋ ਭਰਾਵਾਂ ਦੇ ਵਿੱਚ ਵਿਨਸੈਂਟ ਵੈਨ ਗੌਗ ਦੇ ਪੱਤਰ ਪ੍ਰਕਾਸ਼ਤ ਕੀਤੇ.
"
"Mother and mother-in-law and brother-in-law sex to watch online for free
","ਮੰਮੀ ਅਤੇ ਮੰਮੀ ਅਤੇ ਪੁੱਤਰ ਦੇ ਲਿੰਗ ਹੋਣ ਵਾਚ ਆਨਲਾਈਨ ਮੁਫ਼ਤ ਲਈ
"
"My brother-in-law does good work!
","ਇਹ ਸੁਹਾਵਣਾ ਮੇਰੇ ਭਰਾ ਚੰਗਾ ਕੰਮ ਕਰਦੇ ਹਨ!
"
"My brother-in-law was in the Army.
","ਮੇਰੀ ਜਮਾਤਣ ਦਾ ਭਰਾ ਫੌਜ ਵਿਚ ਸੀ।
"
"Official sources have reported that nearly 300 militants have been killed in this major action of the IAF and in which Yasuf Azhar, brother-in-law of Masood Azhar, has been killed, who was driving this camp.
","ਸਰਕਾਰੀ ਸੂਤਰਾਂ ਅਨੁਸਾਰ ਹਵਾਈ ਫੌਜ (Indian Air Force) ਦੀ ਵੱਡੀ ਕਾਰਵਾਈ ਵਿਚ ਕਰੀਬ 300 ਅਤਿਵਾਦੀ ਮਾਰੇ ਗਏ ਹਨ ਅਤੇ ਇਸ ਵਿੱਚ ਜੈਸ਼-ਏ-ਮੁਹੰਮਦ ਦੇ ਸਰਗਨੇ ਮਸੂਦ ਅਜਹਰ ਦਾ ਭਣੌਈਆ ਯੂਸੁਫ ਅਜਹਰ ਵੀ ਮਾਰਿਆ ਗਿਆ ਹੈ ਜੋ ਇਹ ਕੈਂਪ ਚਲਾ ਰਿਹਾ ਸੀ
"
"Police has arrested the brother-in-law of the deceased in this connection.
","ਪੁਲਸ ਨੇ ਇਸ ਮਾਮਲੇ 'ਚ ਮ੍ਰਿਤਕ ਦੀ ਪ੍ਰੇਮਿਕਾ ਨੂੰ ਗ੍ਰਿਫਤਾਰ ਕਰ ਲਿਆ ਹੈ।
"
"The most prominent name in the list is name of Madhya Pradesh Chief Minister Shivraj Singh's brother-in-law Sanjay Singh, who has recently joined Congress.
","ਇਸ ਸੂਚੀ ਵਿਚ ਸਭ ਤੋਂ ਪ੍ਰਮੁੱਖ ਨਾਮ ਮੱਧ ਪ੍ਰਦੇਸ਼ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਸ਼ਿਵਰਾਜ ਸਿੰਘ ਦੇ ਸਾਲੇ ਸੰਜੇ ਸਿੰਘ ਦਾ ਨਾਂ ਹੈ, ਜੋ ਹਾਲ ਹੀ ਵਿਚ ਕਾਂਗਰਸ 'ਚ ਸ਼ਾਮਿਲ ਹੋਏ ਹਨ।
"
"The most prominent name in the list is the name of Madhya Pradesh Chief Minister Shivraj Singh's brother-in-law Sanjay Singh, who has recently joined Congress.
","ਇਸ ਸੂਚੀ ਵਿਚ ਸਭ ਤੋਂ ਪ੍ਰਮੁੱਖ ਨਾਮ ਮੱਧ ਪ੍ਰਦੇਸ਼ ਦੇ ਮੁੱਖ ਮੰਤਰੀ ਸ਼ਿਵਰਾਜ ਸਿੰਘ ਦੇ ਸਾਲੇ ਸੰਜੇ ਸਿੰਘ ਦਾ ਨਾਂ ਹੈ, ਜੋ ਹਾਲ ਹੀ ਵਿਚ ਕਾਂਗਰਸ 'ਚ ਸ਼ਾਮਿਲ ਹੋਏ ਹਨ।
"
"The whore gets seduced by her brother-in-law, who convinces her to suck his big cock and then fucks her intensely in her ass.
","ਵੇਸ਼ਵਾ ਉਸਦੀ ਭਰਜਾਈ ਦੁਆਰਾ ਭਰਮਾਉਂਦੀ ਹੈ, ਜੋ ਉਸ ਨੂੰ ਉਸ ਦੇ ਵੱਡੇ ਮੁੰਡੇ ਨੂੰ ਚੂਸਣ ਲਈ ਕਾਇਲ ਕਰਦੀ ਹੈ ਅਤੇ ਫਿਰ ਉਸ ਨੂੰ ਆਪਣੀ ਖੋਤੇ ਵਿਚ ਤੀਬਰਤਾ ਨਾਲ ਚੁੰਮਦੀ ਹੈ.
"
"Together with his brother-in-law Peter Waage, he formulated the chemical law of mass action as a function of the speed and concentration of the reagents, determining whether this reaction would be reversible in terms of reagent concentrations.
","ਉਸਨੇ ਆਪਣੇ ਭਾਣਜਾ ਪੀਟਰ ਵੇਜ ਨਾਲ ਸਮੂਹਕ ਕਾਰਵਾਈ ਦੇ ਰਸਾਇਣਕ ਕਾਨੂੰਨ ਨੂੰ ਗਤੀ ਅਤੇ ਰਿਐਜੈਂਟਸ ਦੀ ਇਕਾਗਰਤਾ ਦੇ ਕਾਰਜ ਵਜੋਂ ਤਿਆਰ ਕੀਤਾ, ਇਹ ਨਿਰਧਾਰਤ ਕਰਦਿਆਂ ਕਿ ਕੀ ਇਹ ਪ੍ਰਤੀਕਰਮ ਰਿਐਜੈਂਟ ਗਾੜ੍ਹਾਪਣ ਦੇ ਸੰਦਰਭ ਵਿੱਚ ਬਦਲਾਵ ਯੋਗ ਹੋਏਗੀ ਜਾਂ ਨਹੀਂ।
"
"brother-in-law (brother of one's wife) - брат жены
","ਭਰਾ ਦੀ ਨੂੰਹ (ਭਰਾ ਦੇ ਮੁੰਡੇ ਦੀ ਪਤਨੀ)
"
"that this is your brother-in-laws?
","ਕੀ ਇਹ ਤੁਹਾਡੇ ਚਚੇਰੇ ਭਰਾ ਹਨ?
"
