eng_Latn,hin_Deva
"""""""I am glad that the makers retained the voice of the original singer, the late legend Nusrat Fateh Ali Khan, while his equally talented nephew Rahat Fateh Ali Khan supplements his uncle in his inimitable style.""""""
","""""""मुझे खुशी है कि निर्माताओं ने मूल गायक, दिवंगत किंवदंती नुसरत फतेह अली खान की आवाज को बरकरार रखा, जबकि उनके समान रूप से प्रतिभाशाली भतीजे राहत फतेह अली खान ने अपने चाचा को अपने असामयिक शैली में पूरक किया।""
"
"""""""I read the report about my nephew (Krushna Abhishek) not performing on a TV show as I was invited as a guest.""
","""""""मैंने अपने भतीजे (कृष्ण अभिषेक) के बारे में रिपोर्ट पढ़ी कि मैं एक टीवी शो में प्रदर्शन नहीं कर रहा था क्योंकि मुझे एक अतिथि के रूप में आमंत्रित किया गया था।""
"
"""""""I think among the people who know me best I'll go back to being James or Uncle Jamie to my nephews and nieces, but I think there will always be a segment of the population who doesn't forget about this,"""" he said.""
","""""""मुझे लगता है कि जो लोग मुझे सबसे अच्छी तरह से जानते हैं, मैं अपने भतीजों और भतीजों के साथ जेम्स या अंकल जेमी होने के लिए वापस जाऊंगा, लेकिन मुझे लगता है कि हमेशा आबादी का एक वर्ग होगा जो इस बारे में नहीं भूलता है, """" उन्होंने कहा।""
"
"""""""No, he's my brother's son, my nephew.""""""
","""""""नहीं, मेरा सगा भाई नहीं, मामा का लड़का है _""""""
"
"""""""This is your nephew, right?""
",""""""" ये आपके बड़े भाई साहब है ना?""
"
"""A brilliant Russian diplomats, at the same time experienced courtiers, considering the """"opinion"""" of the king that Britain and France, nephew of Napoleon I - implacable enemies, was his report in the same spirit, thereby hiding the real facts of the formation of the Union of these two countries against Russia.br>""
","""और शानदार रूसी राजनयिकों, एक ही समय में अनुभवी दरबारियों ने, tsar के """"राय"""" को देखते हुए कि इंग्लैंड और फ्रांस, नेपोलियन I के भतीजे के दुश्मन थे, उन्हें उसी भावना में रिपोर्ट किया, जिससे रूस के खिलाफ इन दो देशों के संघ के गठन के वास्तविक तथ्यों को छिपाया गया।""
"
"""According to a man whose three nephews were working at the factory, """"At least 12-15 machines were installed in the unit.""
","""एक अज्ञात बुजुर्ग व्यक्ति के अनुसार जिनके तीन भतीजे कारखाने में काम कर रहे थे, """"यूनिट में कम से कम 12-15 मशीनें थीं।""
"
"""According to a man whose three nephews were working at the factory, """"At least 12-15 machines were installed in the unit.""""""
","""एक अज्ञात बुजुर्ग व्यक्ति के अनुसार जिनके तीन भतीजे कारखाने में काम कर रहे थे, """"यूनिट में कम से कम 12-15 मशीनें थीं।""
"
"""According to an unidentified elderly man whose three nephews were working in the factory, """"At least 12-15 machines were installed in the unit.""
","""एक अज्ञात बुजुर्ग व्यक्ति के अनुसार जिनके तीन भतीजे कारखाने में काम कर रहे थे, """"यूनिट में कम से कम 12-15 मशीनें थीं।""
"
"""According to an unidentified elderly man whose three nephews worked in the factory, """"At least 12-15 machines were installed in the unit.""
","""एक अज्ञात बुजुर्ग व्यक्ति के अनुसार जिनके तीन भतीजे कारखाने में काम कर रहे थे, """"यूनिट में कम से कम 12-15 मशीनें थीं।""
"
