eng_Latn,mal_Mlym
"""""""He was in tears when he found out how much his treatment was costing,"""" says his nephew, 23-year-old Ravi Morale.""
","""""""ചികിത്സയ്ക്ക് എത്രയാണ് ചിലവാകുന്നത് എന്നറിഞ്ഞു കഴിഞ്ഞതിനുശേഷം അദ്ദേഹം കരയുകയായിരുന്നു,"""" 23-കാരനായ ബന്ധു രവി മൊറാലെ പറഞ്ഞു.""
"
"""""""I didn't ask about your nephew.""
",""" . . """" """"ഞാൻ നിന്റെ സാറിനെ കുറിച്ചല്ല ചോദിച്ചേ.""
"
"""""""If the Army knew they would be charged, and will have to go to court and be prosecuted, they will think ten times before they pull their triggers on an innocent...The AFSPA is a like a blank cheque from the government of India to kill innocents like my nephew.""
","'കുറ്റം ചുമത്തപ്പെടുമെന്നും, കോടതിയിൽ ഹാജറായി വിചാരണ നേടിടേണ്ടി വരുമെന്നും ഇന്ത്യൻ സൈന്യം അറിഞ്ഞിരുന്നെങ്കിൽ, ഒരു നിരപരാധിക്ക് നേരെ തോക്ക് ചൂണ്ടി കാഞ്ചി വലിക്കുന്നതിന് മുമ്പ് അവർ പത്ത് പ്രാവശ്യം ചിന്തിക്കുമെന്ന് ഉറപ്പാണ്. . . എന്റെ അനന്തരവനെ പോലെയുള്ള നിരപരാധികളെ കൊല്ലാൻ ഇന്ത്യൻ സർക്കാർ നൽകിയ ബ്ലാങ്ക് ചെക്ക് പോലെയാണ് അഫ്സ്പ.
"
"""""""If the army knew that they would be charged and will have to go to court and be prosecuted, they would think ten times before they pull their triggers on an innocent... The AFSPA is like a bank cheque from the government of India to kill innocents like my nephew.""""""
","'കുറ്റം ചുമത്തപ്പെടുമെന്നും, കോടതിയിൽ ഹാജറായി വിചാരണ നേടിടേണ്ടി വരുമെന്നും ഇന്ത്യൻ സൈന്യം അറിഞ്ഞിരുന്നെങ്കിൽ, ഒരു നിരപരാധിക്ക് നേരെ തോക്ക് ചൂണ്ടി കാഞ്ചി വലിക്കുന്നതിന് മുമ്പ് അവർ പത്ത് പ്രാവശ്യം ചിന്തിക്കുമെന്ന് ഉറപ്പാണ്. . . എന്റെ അനന്തരവനെ പോലെയുള്ള നിരപരാധികളെ കൊല്ലാൻ ഇന്ത്യൻ സർക്കാർ നൽകിയ ബ്ലാങ്ക് ചെക്ക് പോലെയാണ് അഫ്സ്പ.
"
"""""""My nephew Mahipal's 7-year-old daughter was seriously ill and needed urgent treatment.""
","ഗുരുതര 'രോഗബാധിതയായിരുന്ന മഹിപാലിന്റെ ഏഴു വയസു പ്രായമായ മകൾക്ക് അടിയന്തര ചികിത്സ ആവശ്യമായിരുന്നു.
"
"""""""My nephew Mahipal's seven-year-old daughter was seriously ill and needed urgent treatment.""
","ഗുരുതര 'രോഗബാധിതയായിരുന്ന മഹിപാലിന്റെ ഏഴു വയസു പ്രായമായ മകൾക്ക് അടിയന്തര ചികിത്സ ആവശ്യമായിരുന്നു.
"
"""""""My nephew is a fool.""
","""""""കൊച്ചച്ഛൻ ഒരു മണ്ടൻ തന്നെ.""
"
"""""""No problem, my nephew told me.""
","""""""സാരമില്ല, എന്റെ ഉണ്ണിക്കുട്ടൻ പറഞ്ഞിട്ടാ ഞാൻ ചെയ്തത്.""
"
"""""""The girl, whose husband died in 2007, met MLA Ravindranath Tripathi's nephew in 2014.""
","2007ൽ ഭർത്താവ് മരിച്ച യുവതി 2014ൽ എംഎൽഎ രവീന്ദ്രനാഥ് ത്രിപാഠിയുടെ അനന്തരവനെ കണ്ടുമുട്ടി.
"
"""""""The woman, whose husband died in 2007, met MLA Ravindranath Tripathi's nephew in 2014.""
","2007ൽ ഭർത്താവ് മരിച്ച യുവതി 2014ൽ എംഎൽഎ രവീന്ദ്രനാഥ് ത്രിപാഠിയുടെ അനന്തരവനെ കണ്ടുമുട്ടി.
"
"""""""Your nephew,"""" she said.""
","""""""നിന്റെ നൂപുരധ്വനി,"""" അയാൾ പറഞ്ഞു.""
"
"""Aisha's (RA) nephew Urwah bin Az-Zubair said, """"I have not seen anyone with greater knowledge of the Quran, its obligations, the lawful and unlawful (halal and haram), poetry, sayings of Arabs, or genealogy than Aisha (RA).""""""
","""ഉർവത്തിബ്നു സുബൈർ (റ) പറഞ്ഞുഃ """"ഖുർആൻ, അനന്തരാവകാശ നിയമങ്ങൾ, ഹറാം ഹലാലുകൾ (അഥവാ കർമ്മശാസ്ത്രം), കവിത, അറബികളുടെ നാട്ടറിവുകൾ, കുടുംബപരമ്പരകൾ എന്ന് തുടങ്ങി ഒരു വിഷയത്തിലും ആഈശയേക്കാൾ അറിവുള്ള ഒരാളെയും ജനങ്ങളിൽ ഞാൻ കണ്ടിട്ടില്ല.""
"
"""During the rebellion of the Jordan River cities against Elam, (Genesis 14:1-9) Abram """" s nephew, Lot, was taken prisoner along with his entire household by the invading Elamite forces.""
","ജോർദാൻ നദിയിലെ നഗരങ്ങളായ സോഡോമും ഗൊമോറയും എലാമിനെതിരേ കലാപം നടത്തിയപ്പോൾ, (Genesis 14:1-9) എബ്രാമിന്റെ അനന്തരവനായ ലോട്ടിനെയും അദ്ദേഹത്തിന്റെ കുടുംബത്തെ മുഴുവനും തടവുകാരായി എലാമൈറ്റ് സൈന്യം പിടികൂടി.
"
"""I'm his wife and this is his nephew.""""""
","""ഞാനിവളുടെ ഏട്ടനാണ്, പിന്നെ ഇത് ഇവളുടെ ഭർത്താവാണ്""""""
"
"""In the photo album on Instagram, in the """"personal"""" section, there are photos of Isabella only with her nephew.""
","""ഇൻസ്റ്റാഗ്രാമിലെ ഫോട്ടോ ആൽബത്തിൽ, """"പേഴ്സണൽ"""" വിഭാഗത്തിൽ, ഇസബെല്ലയുടെ അനന്തരവന്റെ ഫോട്ടോകൾ മാത്രമേയുള്ളൂ.""
"
"(I went to school with her nephew.)
","(ഞാൻ അവളുടെ അനുജത്തി സ്കൂളിൽ പോകുന്ന കൂടെ ഞാൻ).
"
"16 Paul's nephew (his sister's son) heard of the plot.
","16: പൌലോസിന്റെ സഹോദരീപുത്രൻ ഈ ചതിയെപ്പറ്റി കേട്ടു.
"
"5 He took his wife Sarai and his nephew Lot.
","5 അബ്രാം ഭാര്യ സാറായിയെയും സഹോദരപുത്രൻ ലോത്തിനെയും കൂടെക്കൊണ്ടുപോയി.
"
"A friend's nephew died due to cancer last year.
","മർദ്ദനമേറ്റ യുവാവിന്റെ ചേട്ടൻ കാൻസർ രോഗം മൂലം ഒരു വർഷം മുമ്പ് മരിച്ചിരുന്നു.
"
"Aamir Khan launched his nephew Imraan Khan in 2008 in the film Jaane Tu Ya Jaane Na.
","2008 ൽ പുറത്തിറങ്ങിയ ജാനേ തൂ യാ ജാനേ നാ എന്ന ചിത്രത്തിലൂടെയാണ് ആമിർ ഖാന്റെ അനന്തിരവനായ ഇമ്രാൻ ഖാൻ ബോളിവുഡിൽ അരങ്ങേറ്റം കുറിക്കുന്നത്.
"
"Aamir Khan's nephew, Imran Khan also cannot cast his vote in India as he holds an American passport.
","നടൻ ഇമ്രാൻ ഖാനും അമേരിക്കൻ പാസ്പോർട്ടാണ് ഉള്ളതെന്നതിനാൽ ഇന്ത്യയിൽ വോട്ടവകാശമില്ല.
"
