eng_Latn,guj_Gujr
"""""""A message came through from a cousin relating to an argument they'd had and she noticed that her daughter started to panic.""
","""""""એક કઝિન તરફથી એક વાતો આવ્યો જેની તેઓની દલીલ સાથે સંબંધિત છે અને તેણે જોયું કે તેની પુત્રી ગભરાઈ ગઈ છે.""
"
"""""""And why isn't your cousin here?""""""
","""""""તમારું રાચરચીલું અહીં કેમ નથી?""
"
"""""""Fletcheri"""" likes to spread out, but it will not get anywhere near as tall as its non-dwarf cousins.""
","""""""ફ્લેટેરી"""" ફેલાવવાનું પસંદ કરે છે, પરંતુ તે તેના નોન-દ્વાર્ફ પિતરાઈ જેટલા ઊંચા જેટલા નજીક નહી મળે.""
"
"""""""Having a voice, expressing yourself, dressing differently, wanting more from life, not wanting to marry your cousin.""
","""""""અવાજ આવે છે, પોતાને વ્યક્ત કરે છે, જુદા જુદા વસ્ત્રો પહેરે છે, જીવનમાંથી વધુ ઇચ્છે છે, તમારા કઝીન સાથે લગ્ન કરવા નથી માંગતો.""
"
"""""""However, less widely known is a pride of lions, a murder of crows (as well as their cousins the rooks and ravens), an exaltation of doves and, presumably because they look so wise, a parliament of owls.""
","""""""જો કે, ઓછી જાણીતી સિંહની ગૌરવ છે, કાગાની હત્યા (તેમ જ તેમના પિતરાઈ ભાઈઓ અને કાપેલા કાગડાઓ), કબૂતરનું ઉષ્ણમથન અને સંભવતઃ કારણ કે તેઓ ઘુવડની સંસદ, તેથી મુજબની દેખાય છે.""
"
"""""""I am grateful I got an education because a lot of my cousins got sent to Pakistan to get married, but I wish I got the chance to make fun memories at university.""""""
","""""""હું આભારી છું કે મેં શિક્ષણ મેળવ્યું કારણ કે મારા ઘણા પિતરાઈ ભાઈઓને લગ્ન માટે પાકિસ્તાન મોકલવામાં આવ્યા હતા, પરંતુ હું ઈચ્છું છું કે મને યુનિવર્સિટીમાં મનોરંજક યાદો બનાવવાની તક મળે.""
"
"""""""I have cousins who are younger, they're on social media and sometimes I worry about them.""
","""""""મારા પિતરાઈ ભાઈઓ છે જે નાના છે, તેઓ સોશિયલ મીડિયા પર છે અને કેટલીકવાર હું તેમની ચિંતા કરું છું.""
"
"""""""I knew of a few older cousins who had married people who had converted to Islam but most of the time it was frowned upon to marry someone who wasn't Muslim.""""""
","""""""હું એવા કેટલાક મોટા પિતરાઇ ભાઇઓ વિશે જાણું છું જેમણે એવા લોકો સાથે લગ્ન કર્યા હતા જેમણે ઇસ્લામ ધર્મ સ્વીકાર્યો હતો, પરંતુ મોટાભાગે મુસ્લિમ ન હોય તેવા કોઈ સાથે લગ્ન કરવા ઉડાડવામાં આવતા હતા.""
"
"""""""I know of a cousin who had a child without marriage and lived with her partner.""
","""""""હું એક પિતરાઇ ભાઇને જાણું છું જેનું લગ્ન વિના સંતાન હતું અને તે તેના જીવનસાથી સાથે રહેતો હતો.""
"
"""""""I learned about Little Remedies from experience...my cousin's.""""""
","""""""હું અનુભવ પરથી લિટલ રેમેડિઝ વિશે શીખી . . . મારા પિતરાઇ ભાઇ.""
"
