eng_Latn,tel_Telu
"""""""Alice, where's my cousin Harry?""""""
","'ఆలిస్, నా కజిన్ హ్యారీ ఎక్కడ?
"
"""""""Amy, you're more like my sister than my cousin.""""""
","""""""అమ్మా అమ్మా నువ్వు నా గరల్ ఫ్రెండ్ కన్నా చాలా క్యుట్ గా ఉన్నావమ్మా.""
"
"""""""Daisy was my second cousin once removed, and I'd known in college.""
","""""""డైసీ నా రెండవ బంధువు ఒకసారి తొలగించబడ్డాడు, నేను టామ్ లో కళాశాలలో ఉన్నాను.""
"
"""""""However, less widely known is a pride of lions, a murder of crows (as well as their cousins the rooks and ravens), an exaltation of doves and, presumably because they look so wise, a parliament of owls.""
","""""""అయినప్పటికీ, సింహాల యొక్క గర్వం, తక్కువ కాకులు (అలాగే వారి బంధువులను రూక్స్ మరియు రావెన్స్), పావురాలు యొక్క ఘనత మరియు, వారు చాలా తెలివైనవారు, గుడ్లగూబల పార్లమెంటు ఎందుకంటే బహుశా చాలా ప్రసిద్ది చెందారు.""
"
"""""""In the mid-1970s, bin Laden was married to his first cousin (a normal convention among traditional Muslims), a Syrian woman from his mother's family.""
","1970 ల మధ్య కాలంలో, బిన్ లాడెన్ తన మొదటి బంధువు (సాంప్రదాయ ముస్లింలలో సాధారణ సంప్రదాయ) ను వివాహం చేసుకున్నాడు, అతని తల్లి కుటుంబంలోని సిరియన్ మహిళ.
"
"""""""It's inspiring that we still live in a time where we can find out that a fabulously odd-looking fish which [was] presumed to be just one species actually has a fabulously odd-looking cousin that's also in our waters.""""""
","""""""అద్భుతంగా విచిత్రంగా కనిపించే చేప అని మనం కనుగొనగలిగే కాలంలో మనం ఇంకా జీవిస్తున్నాం [was] బహుశా ఒక జాతికి మాత్రమే అద్భుతంగా వింతగా కనిపించే కజిన్ ఉంది, అతను మన జలాల్లో కూడా ఉన్నాడు.""
"
"""""""Married her cousin!""
",""""""" యని భర్త కూత లేసె!""
"
"""""""My cousin Bill had lung cancer and he died.""""""
",""""""" """"నా బంధువు బిల్ ఊపిరితిత్తుల క్యాన్సర్ కలిగి మరియు అతను మరణించాడు.""
"
"""""""My cousin Marie.""
",""""""" ఆంటీ మేరీ.""
"
"""""""My two cousins and myself.""
","""""""రెండుః నేను మరియు నా నీడ.""
"
"""""""My uncle and dad found my cousin's hair extensions, and sent the whole family glamour shots.""""""
","""""""నా తండ్రి నా బంధువు యొక్క జుట్టు పొడిగింపులు దొరకలేదు మరియు నా మొత్తం కుటుంబం గ్లామర్ షాట్స్ పంపారు.""
"
"""""""Oh yeah, she's your cousin right?""
","""""""అవును, ఈ 'ఆంటీ' మీకు బంధువా?""
"
"""""""Some of my cousins who wanted to pursue acting were always taking pictures and meeting people.""
","""""""నటనను కొనసాగించాలనుకునే నా సోదరులు కొందరు ఎప్పుడూ సినిమాలు తీస్తూ ప్రజలను కలుస్తూ ఉండేవారు.""
"
"""""""The currents of this great creative force or """"serpent power"""" - whose cousins we may see as the serpent in the garden, the ouroboros of alchemy, and the plumed serpent of the Aztecs - may be released in other ways, but these belong to the sphere of the occultist and the magician, and the average individual knows only one - physical sex.""
","""""""ఈ గొప్ప సృజనాత్మక శక్తి లేదా"""" పాము శక్తి """"యొక్క ప్రవాహాలు, తోటలో ఉన్న సర్పం, రసవాదం యొక్క ouborboros, మరియు అజ్టెక్ల యొక్క ప్లండ్ పాము వంటివి చూడవచ్చు-కాని ఇతర మార్గాల్లో ఇది విడుదల కావచ్చు క్షుద్రవాది మరియు ఇంద్రజాలికుడు యొక్క గోళం, మరియు సగటు వ్యక్తి మాత్రమే ఒక భౌతిక సెక్స్ తెలుసు.""
"
"""""""There are a plethora of characters and each of those characters has cousins, uncles, and dogs, and I think people enjoy exploring all of those depths and nooks and crannies.""""""
","'అక్షరాలు చాలా ఉన్నాయి మరియు ఆ పాత్రలలో ప్రతి ఒక్కరికి దాయాదులు, మేనమామలు మరియు కుక్కలు ఉన్నారు, మరియు ప్రజలు ఆ లోతులన్నింటినీ, ముక్కులను మరియు క్రేనీలను అన్వేషించడాన్ని ఆనందిస్తారని నేను భావిస్తున్నాను.
"
"""""""There's a plethora of characters and each of those characters has cousins, uncles, and dogs, and I think people enjoy exploring all of those depths and nooks and crannies.""""""
","'అక్షరాలు చాలా ఉన్నాయి మరియు ఆ పాత్రలలో ప్రతి ఒక్కరికి దాయాదులు, మేనమామలు మరియు కుక్కలు ఉన్నారు, మరియు ప్రజలు ఆ లోతులన్నింటినీ, ముక్కులను మరియు క్రేనీలను అన్వేషించడాన్ని ఆనందిస్తారని నేను భావిస్తున్నాను.
"
"""""""They are cousins?""""""
","""""""వాళ్ళ బంధువు లబ్బాయి?""
"
"""""""Tony is my cousin.""
","""""""టోనీ నా అప్పోనెంట్.""
"
"""""""Why the cousin?""""""
","""""""ఎందుకని బ్రదర్?""
"
"""""""Your cousin was in the garden.""
","""""""పార్కులో మీ బాబయ్య కనబడ్డాడు.""
"
