eng_Latn,kan_Knda
"""""""Fly"""" is the English adaptation of Dion's song """"Vole,"""" which was written in memory of her niece who died of cystic fibrosis.""
","""""""ಫ್ಲೈ"""" ಎಂಬುದು ಡಿಯಾನ್ನ ಹಾಡು """"ವೋಲ್"""" ಯ ಇಂಗ್ಲಿಷ್ ರೂಪಾಂತರವಾಗಿದೆ, ಇದು ಸಿಸ್ಟಿಕ್ ಫೈಬ್ರೋಸಿಸ್ನಿಂದ ಮರಣಿಸಿದ ತನ್ನ ಸೋದರ ಸೊಸೆಯ ನೆನಪಿಗಾಗಿ ಬರೆಯಲ್ಪಟ್ಟಿದೆ.""
"
"""""""I have young actors and actresses that I mentor, I have nieces and nephews that I am very close to.""""""
","""ನಾನು ಯುವ ನಟರು ಮತ್ತು ನಟಿಯರನ್ನು ಹೊಂದಿದ್ದೇನೆ, ಅವರ ಮಾರ್ಗದರ್ಶಿ ನಾನು ಮತ್ತು ನಾನು ನಿಕಟ ವ್ಯಕ್ತಿಯಾಗಿರುವ ಸೋದರಳಿಯರು """"""
"
"""""""I have young actors and actresses that I mentor, and I have nieces and nephews that I am very close to.""""""
","""ನಾನು ಯುವ ನಟರು ಮತ್ತು ನಟಿಯರನ್ನು ಹೊಂದಿದ್ದೇನೆ, ಅವರ ಮಾರ್ಗದರ್ಶಿ ನಾನು ಮತ್ತು ನಾನು ನಿಕಟ ವ್ಯಕ್ತಿಯಾಗಿರುವ ಸೋದರಳಿಯರು """"""
"
"""""""My niece, who works as a teacher in remote areas of Kashmir, has stopped going to work.""
","""""""ಕಾಶ್ಮೀರದ ದೂರದ ಪ್ರದೇಶಗಳಲ್ಲಿ ಶಿಕ್ಷಕರಾಗಿ ಕೆಲಸ ಮಾಡುವ ನನ್ನ ಸೊಸೆಯರು ಕೆಲಸಕ್ಕೆ ಹೋಗುವುದನ್ನು ನಿಲ್ಲಿಸಿದ್ದಾರೆ.""
"
"""""""My nieces, who work as teachers in far-flung areas of Kashmir, have stopped going to work.""
","""""""ಕಾಶ್ಮೀರದ ದೂರದ ಪ್ರದೇಶಗಳಲ್ಲಿ ಶಿಕ್ಷಕರಾಗಿ ಕೆಲಸ ಮಾಡುವ ನನ್ನ ಸೊಸೆಯರು ಕೆಲಸಕ್ಕೆ ಹೋಗುವುದನ್ನು ನಿಲ್ಲಿಸಿದ್ದಾರೆ.""
"
"""""""Now you be 'the case that we know this woman, who is the niece of a stone cutter, Tony Abou Jammal, who works at the monastery.""
",""""""" """"ಈಗ ನೀವು ಒಂದು ಕಲ್ಲಿನ ಕಟರ್, ಸನ್ಯಾಸಿಗಳ ಕೆಲಸ ಟೋನಿ Abou Jammal, ಅವರ ಮೊಮ್ಮಗಳು ಯಾರು ನಾವು ಆ ಸಂದರ್ಭದಲ್ಲಿ ಈ ಮಹಿಳೆ,.""
"
"""""""Some of them though have passed on the work to their next generation, to their daughters, nieces or granddaughters - and still live in the house,"""" says Rahul.""
","""""""ಅವರಲ್ಲಿ ಕೆಲವರು ತಮ್ಮ ಮುಂದಿನ ಪೀಳಿಗೆಗೆ, ಅವರ ಹೆಣ್ಣುಮಕ್ಕಳಿಗೆ, ಸೊಸೆಯರಿಗೆ ಅಥವಾ ಮೊಮ್ಮಕ್ಕಳಿಗೆ ಕೆಲಸವನ್ನು ವರ್ಗಾಯಿಸಿ ಅದೇ ಮನೆಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಾರೆ"""" ಎಂದು ರಾಹುಲ್ ಹೇಳುತ್ತಾರೆ.""
"
"""""""That's my niece's only son down there.""
","""""""ಈ ಚಾಳನಲ್ಲಿ ನನ್ನ ಏಕ್ಯೆಕ ಮಗಳ ಒಬ್ಬ ತಮ್ಮ ಅಲ್ಲಿದ್ದಾನೆ.""
"
"""""""The complainant had claimed that the said cash was for purchasing clothes and gold ornaments for the marriage of his niece.""
","ತನ್ನ ಸೊಸೆಯ ಮದುವೆಗೆ ಬಟ್ಟೆ ಮತ್ತು ಚಿನ್ನದ ಆಭರಣಗಳನ್ನು ಖರೀದಿಸುವುದಕ್ಕಾಗಿ ಈ ನಗದನ್ನು ಕೊಂಡೊಯ್ಯುತ್ತಿದ್ದುದ್ದಾಗಿ ದೂರುದಾರ ಹೇಳಿಕೊಂಡಿದ್ದ.
"
"""""""The manager is married to the niece of the owner.""
","""""""ನಮ್ ಯಜಮಾನರ ಮ್ಯಾನೇಜರ್ ಮಗಳ ಮದುವೆ.""
"
