eng_text,tgt_lang,tgt_lang_text,eng_reln,gemma_3_12b
"""An official told the daily, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
",hin_Deva,"""हालांकि, एक पुलिस अधिकारी ने दैनिक को बताया, """"हमारे पास इस बात के पर्याप्त सबूत हैं कि वह (राज कुंद्रा) हर चीज से निपट रहे थे, उनके साले को सिर्फ नाम के लिए लंदन स्थित कंपनी का मालिक बनाया गया था।""
",brother-in-law,B
"""And when my large brother-in-law asked her """"how"""" she recruited him to move the furniture!""
",hin_Deva,""""""" और जब मेरे बड़े भाभी ने पूछा कि """"उसने कैसे"""" फर्नीचर पर जाने के लिए उसे भर्ती कराया!""
",brother-in-law,B
"""Daniela Ruah once paid a visit to Queen Latifa on The Queen Latifah Show and discussed the """"awkward"""" fact that she has to kiss her brother-in-law on the show.""
",hin_Deva,"डेनिएला रुआह ने एक बार रानी लतीफा की यात्रा की रानी लतीफा शो और 'अजीब' तथ्य यह है कि वह इस शो पर उसके भाई जी को चूमने के लिए है पर चर्चा की।
",brother-in-law,B
"""Genesis 38:8: """"Then Judah said to Onan, """"Lie with your brother's wife and fulfill your duty to her as a brother-in-law to produce offspring for your brother.""""""""""
",hin_Deva,"""38:8 इसलिये, यहूदा अपने बेटे ओनान से कहाः """"अपने भाई की पत्नी दर्ज, और उसके साथ सहयोगी, ताकि आप अपने भाई को वंश बढ़ा सकता है।""
",brother-in-law,B
"""However, the police quoted as saying, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
",hin_Deva,"""हालांकि, एक पुलिस अधिकारी ने दैनिक को बताया, """"हमारे पास इस बात के पर्याप्त सबूत हैं कि वह (राज कुंद्रा) हर चीज से निपट रहे थे, उनके साले को सिर्फ नाम के लिए लंदन स्थित कंपनी का मालिक बनाया गया था।""
",brother-in-law,B
"(4) Either husband or brother-in-law
",hin_Deva,"(4) या तो पति या ब्रदर-इन-लॉ
",brother-in-law,B
"A&B- A is brother-in-law of B
",hin_Deva,"A&B- A ,B का ब्रदर-इन-लॉ है
",brother-in-law,B
"Eid is a festival of mutual union and brother-in-law.
",hin_Deva,"ईद आपसी मिलन और भाईचारे का त्योहार है।
",brother-in-law,B
"G Janardhana Reddy and his brother-in-law B V Srinivas Reddy, managing director of the Obalapuram Mining Company (OMC), were arrested by CBI on September 5, 2011 from Ballari and brought to Hyderabad.
",hin_Deva,"जी जनार्दन रेड्डी और ओबलापुरम माइनिंग कंपनी (ओएमसी) के प्रबंध निदेशक उनके संबंधी बी वी श्रीनिवास रेड्डी को सीबीआई ने पांच सितंबर 2011 को बेल्लारी से गिरफ्तार किया था।
",brother-in-law,B
"G Janardhana Reddy and his brother-in-law B V Srinivas Reddy, managing director of the Obalapuram Mining Company (OMC), were arrested by CBI on September 5, 2011, from Ballari and brought to Hyderabad.
",hin_Deva,"जी जनार्दन रेड्डी और ओबलापुरम माइनिंग कंपनी (ओएमसी) के प्रबंध निदेशक उनके संबंधी बी वी श्रीनिवास रेड्डी को सीबीआई ने पांच सितंबर 2011 को बेल्लारी से गिरफ्तार किया था।
",brother-in-law,B
"Gopal Lal allegedly purchased the lady to marry his brother-in-law in Sikar.
",hin_Deva,"गोपाल लाल ने कथित तौर पर सीकर में अपने साले से शादी करने के लिए लड़की को खरीदा था।
",brother-in-law,B
"Gopal Lal had reportedly bought the girl to marry her to his brother-in-law in Sikar.
",hin_Deva,"गोपाल लाल ने कथित तौर पर सीकर में अपने साले से शादी करने के लिए लड़की को खरीदा था।
",brother-in-law,B
"He had earlier applied for NCA batting consultant and U-19 batting coach's position but his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of the U-19 selection committee.
",hin_Deva,"उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
",brother-in-law,B
"He had earlier applied for National Cricket Academy's batting consultant and Under-19 batting coach's position but his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of U-19 selection committee.
",hin_Deva,"उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
",brother-in-law,B
"He had earlier applied for being NCA batting consultant and U-19 batting coach, but his application was put on hold as his brother-in-law, Ashish Kapoor, is the chairman of the U-19 selection committee.
",hin_Deva,"उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
",brother-in-law,B
"Her sister and brother-in-law were also present there.
",hin_Deva,"उनके साथ उनके भाई, भाभी भी थे।
",brother-in-law,B
"Chanda Kochhar’s brother-in-law and Deepak’s brother, Rajiv Kochhar, has also been grilled by the ED multiple times in the case.
",hin_Deva,"दीपक कोचर के भाई राजीव कोचर से भी ईडी कई बार पूछताछ कर चुका है।
",brother-in-law,B
"Harsh Singh is brother-in-law of Congress’ Jharia MLA Purnima Niraj Singh.
",hin_Deva,"नीरज सिंह की पत्नी पूर्णिमा सिंह झरिया से कांग्रेस विधायक हैं.
",brother-in-law,B
"His sister Priyanka Gandhi and brother-in-law Robert Vadra were also present on the occasion.
",hin_Deva,"इस मौके पर राहुल गांधी की बहन प्रियंका गांधी और उनके पति रॉबर्ट वाड्रा भी मौजूद थे।
",brother-in-law,B
