eng_Latn,kan_Knda
"""""""Gandhiji used to stay at my grandfather Sarat Chandra Bose's house at 1, Woodburn Park, in Kolkata.""
","ಗಾಂಧೀಜಿ ಅವರು ಕೊಲ್ಕತ್ತಾದ ವುಡ್ಬರ್ನ್ ಪಾರ್ಕ್ ನಲ್ಲಿರುವ ನನ್ನ ತಾತ ಸರತ್ ಚಂದ್ರ ಬೋಸ್ ಅವರ ಮನೆಯಲ್ಲಿ ವಾಸವಾಗಿದ್ದರು.
"
"""""""He is my grandfather.""
","""""""ಅವ್ನು ನನ್ನ ಮೊಮ್ಮಗ.""
"
"""""""He is... my great grandfather.""""""
",""" """"ಅವನೇ. . . ಅವನ್ಯಾರೋ ಬೊಮ್ಮ.""
"
"""""""He must ask his grandfather (Jawaharlal Nehru) about who has given India's territory to China, he will get the answer..""
","""ಜವಾಹರ್ ಲಾಲ್ ನೆಹರು ಅವರೊಂದಿಗೆ ಕೇಳಿದರೆ ಭಾರತದ ಭೂಪ್ರದೇಶವನ್ನು ಚೀನಾಕ್ಕೆ ಕೊಟ್ಟವರು ಯಾರು ಎನ್ನುವ ಉತ್ತರ ರಾಹುಲ್ ಗಾಂಧಿ ಅವರಿಗೆ ಸಿಗಲಿದೆ"""" ಎಂದಿದ್ದಾರೆ.""
"
"""""""My grandfather is here?""
","""""""ನಮ್ಮಜ್ಜಿ ಬಂದಿದ್ದಾರ?""
"
"""""""My grandfather was there.""
","""""""ನನ್ನ ತಾತ ಇಲ್ಲಿದ್ದರು.""
"
"""""""My grandfather's wife was a nurse.""
","""""""ನನ್ನ ದೊಡ್ಡಮ್ಮನ ಮಗಳು ತಮ್ಮ ನರ್ಸ್.""
"
"""""""What is it grandfather?""
","""""""ಏನು, ಏನ೦ದಿರಿ ದೊಡ್ಡಮ್ಮ?""
"
"""""""You're like my grandfather.""
","""""""ನೀವು ನನ್ನ ಮೊಮ್ಮಗಳಿದ್ದಂತೆ.""
"
"""""""Your grandfather's waiting for me.""
","""""""ದೊಡ್ಡಮ್ಮ, ದೊಡ್ಡಪ್ಪ ನನ್ನ ಕಾಯುತ್ತಿದ್ದಾರೆ.""
"
"""Approximately, they should bear the following meaning: """"We have always been proud of our father and grandfather.""
","""ಸುಮಾರು ಅವರು ಕೆಳಗಿನ ಅರ್ಥಗಳನ್ನು ಭರಿಸಬೇಕಾಗುತ್ತದೆಃ """"ನಾವು ಯಾವಾಗಲೂ ನಮ್ಮ ತಂದೆ ಮತ್ತು ತಾತನ ಹೆಮ್ಮೆ ಎಂದು.""
"
