eng_Latn,mar_Deva
"""""""In such a situation, how can Fadnavis's nephew who is less than 45 years of age get vaccinated?""""""
","""""""देवेंद्र फडणवीसांच्या 45 वर्षांपेक्षा कमी वयाच्या पुतण्याला लस मिळतेच कशी?""
"
"""""""Why should I believe you, nephew?""
","""""""मी तुझ्यावर का विश्वास ठेवावा पॅपिलॉन ?""
"
"""Narayan's nephew Kawadu Shelke, said, """"He [Narayan] was not being able to repay loans of Rs 50,000 (US$ 706) taken from [both Yavatmal] DCC Bank and Central Bank of India.""
","""नारायण यांचा पुतण्या कवडू शेळके यांनी सांगितले की, """"ते [नारायण] दोन्ही बँक डीसीसी बँक आणि सेन्ट्रल बँक ऑफ इंडिया येथून [दोन्ही यवतमाळ येथील] घेतलेले ५०००० (युएस डॉलर्स ७०६) च्या कर्जाची परतफेड करू शकत नव्हते.""
"
"(my father's nephew)
","(दादाची गर्लफ्रेंड)
"
"A few years later his nephew
","काही वर्षा नंतर त्यांचा भाच्चा
"
"A man helps his two nephews, prepares them for sailors.
","एक माणूस खलाशी त्यांना तयार, त्याच्या दोन नातवंडे मदत करते.
"
"A son or nephew
","मुलगा किंवा पुतण्या
"
"Among these is the nephew of former president Fakhruddin Ali Ahmed.
","त्यामध्ये माजी राष्ट्रपती फक्रुद्दीन अली अहमद यांच्या कुटुंबियांचे नाव असल्याचे समोर आले आहे.
"
"As a parent, you most likely want to help children that you know, such as foster children, grandchildren, nieces, nephews, as well as your own children love nature.
","पालक म्हणून, बहुधा आपल्या ओळखीच्या मुलांना मदत करायची आहे, जसे की पालक, मुले, नातवंडे, भाची, पुतण्या तसेच आपल्या स्वतःच्या मुलांनाही निसर्गाची आवड आहे.
"
"Bansal claimed he had no business links with his nephew.
","आपला आणि भाच्याचा कोणताही व्यावसायिक संबंध नसल्याचं बन्सल यांचं म्हणणं आहे.
"
"Bollywood actor Salman Khan's nephew Abdullah Khan has unfortunately passed away on Monday, 30 March 2020 at the age of 38.
","बॉलिवूड अभिनेता सलमान खानचा पुतण्या अब्दुल्ला खान यांचे दुर्दैवाने सोमवार, 30 मार्च 2020 रोजी वयाच्या 38 व्या वर्षी निधन झाले.
"
"Eliza currently lives with her husband, father and nephew.
","आयेशा आता त्यांचे वडील, पती आणि एक मुलगा, यांच्यासह जळगावात राहतात.
"
"For example, in the summer of 1819, Emperor Alexander I honored them with his visit, and in 1856 his nephew Alexander II.
","उदाहरणार्थ, 1819 च्या उन्हाळ्यात, ते सम्राट अलेक्झांडर मी भेट द्या सन्मानित करण्यात आले, आणि 1856 मध्ये - पुतण्या अलेक्झांडर दुसरा.
"
"For example, in the summer of 1819, they were honored by their visit to the Emperor Alexander I, and in 1856 - his nephew Alexander II.
","उदाहरणार्थ, 1819 च्या उन्हाळ्यात, ते सम्राट अलेक्झांडर मी भेट द्या सन्मानित करण्यात आले, आणि 1856 मध्ये - पुतण्या अलेक्झांडर दुसरा.
"
"Freud's nephew Edward Bernays is considered the father of public relations.
","एडवर्ड बरनेज हे जनसंपर्काचे पितामह मानले जातात.
"
"He is Mahesh Bhatt's nephew.
","मुकेश भट्ट महेश भट्ट यांचे भाऊ आहेत.
"
"He is also the nephew of music maestro A. R.Rahman.
","ते संगीतकार ए. आर. रहमान यांचे वडिल होत.
"
"He is the nephew of Sharad Pawar, president of the Nationalist Congress Party.
","ते राष्ट्रवादी कॉंग्रेसचे अध्यक्ष शरद पवार यांचे पुतणे आहेत.
"
"He is the nephew of West Bengal chief minister Mamata Banerjee.
","ते पश्चिम बंगालच्या मुख्यमंत्री ममता बॅनर्जी यांचे लहान बंधू होते.
"
"He is the nephew of well-known music director Rajesh Roshan.
","प्रसिद्ध निर्माते दिग्दर्शक राकेश रोशन यांचा तो मुलगा आहे.
"
"He was the nephew of the first Israeli president, Chaim Weizmann.
","तो इस्रायलचे प्रथम राष्ट्राध्यक्ष चईम वाइझमन यांचा पुतण्या होता.
"
"He's the nephew of George W. Bush.
","जॉर्ज डब्लू बुश यांचे ते वडील होते.
"
"Her nephew, R. Mahalingam accompanied her to the Thirumangalam police station and lodged a complaint.
","तिच्या पुतण्याने, आर महालिंगमने तिच्यासोबत जाऊन तिरुमंगलम पोलीस स्टेशनवर तक्रार नोंदवली.
"
"His brother and nephew also accompanied him.
","त्यांचा मुलगा आणि नातू हेदेखील त्यांच्यासोबत होते.
"
"His nephew Arun Lal played Test cricket for India.
","त्यांचे वडील लाला अमरनाथ यांनी भारताकडून कसोटी क्रिकेट खेळले होते.
"
"His nephew Mahmood Farooqui said that while living in Delhi, he insisted on going to his home in Allahabad.
","त्यांचे पुतणे महमूद फारुकी यांनी सांगितले की, दिल्लीमध्ये राहत असताना त्यांनी आपल्या घरी इलाहाबादला जाण्याचा हट्ट केला.
"
"His nephew Sudhakarrao Naik later became Chief Minister of Maharashtra.
","नंतर त्यांचे पुतणे सुधाकरराव नाईकही महाराष्ट्राचे मुख्यमंत्री झाले.
"
"His son and nephew were with them, too.
","त्यांचा मुलगा आणि नातू हेदेखील त्यांच्यासोबत होते.
"
"How can a nephew of Fadnavis who is less than 45 years of age get vaccinated
","फडणवीसांच्या ४५ वर्षांपेक्षा कमी वय असलेल्या पुतण्याला लस मिळतेच कशी?
"
"I bought two more for my nephew and his wife.
","मी माझी मुलगी आणि नव husband्यासाठी आणखी दोन खरेदी करतो.
"
"I lost my nephew last night.
","काल रात्री मी माझ्या भावाला गमावले.
"
"I'm lucky to have nephews like them.
","मला त्यांच्यासारखी सासू मिळाली हे माझं भाग्यच आहे.
"
