eng_Latn,kan_Knda
"""""""Alright, my aunt, I was wrong.""
","""""""ಸರಿ ಅಣ್ಣ, ತಪ್ಪಾಯ್ತು.""
"
"""""""My aunt has three children.""
","""""""ಅಜ್ಜನಿಗೂ ಮೂರು ಮಕ್ಕಳಿದ್ದಾರೆ.""
"
"""My aunt said, """"Hm.""
","""ಅಮ್ಮ """"ಹಾ. ಹಾ. ಮಮ್. ಮಮ್. """" ಎಂದು ಹೇಳತೊಡಗಿದಳು.""
"
"(The picture is of my father and my aunt.
","(ಈ ಫೊಟೋ ನನ್ನ ತಂದೆ ಮತ್ತು ನನ್ನ ಮಗಳನ್ನು ತೋರಿಸುತ್ತದೆ.
"
"1958: Jayalalithaa shifted to Madras to live with her Mother after the marriage of her aunt.
","1958: ಜಯಲಲಿತಾ ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ಮದ್ರಾಸಿಗೆ ಪಯಣ ಬೆಳೆಸಿದರು.
"
"Abigail Johnson and her family may have been targeted because of her grandfather's criticism of the witchcraft trials, because of the wealth and property in the control of her aunt Abigail Faulkner Jr., or because of Abigail's mother, Elizabeth Johnson Sr., who had something of a reputation, and also controlled her husband's estate until she remarried (which she never did).
","ಅಬಿಗೈಲ್ ಜಾನ್ಸನ್ ಮತ್ತು ಅವರ ಕುಟುಂಬದವರು ತಮ್ಮ ಅಜ್ಜ ಅಬಿಗೈಲ್ ಫಾಕ್ನರ್ ಜೂನಿಯರ್ ನಿಯಂತ್ರಣದಲ್ಲಿ ಸಂಪತ್ತು ಮತ್ತು ಆಸ್ತಿಯ ಕಾರಣದಿಂದಾಗಿ, ತಾನು ಮಾಟಗಾತಿ ಪರೀಕ್ಷೆಗಳ ಬಗ್ಗೆ ಟೀಕೆಗೊಳಗಾದ ಕಾರಣದಿಂದಾಗಿರಬಹುದು, ಅಥವಾ ಅಬಿಗೈಲ್ನ ತಾಯಿ ಎಲಿಜಬೆತ್ ಜಾನ್ಸನ್ ಸೀನಿಯರ್ ಅವರ ಕಾರಣದಿಂದಾಗಿ ಖ್ಯಾತಿಗೆ ಒಳಗಾದಳು, ಮತ್ತು ಅವಳ ಪುತ್ರನ ಎಸ್ಟೇಟ್ ಅನ್ನು ಮರುಮದುವೆಯಾಗುವವರೆಗೂ (ಅವಳು ಎಂದಿಗೂ ಮಾಡಲಿಲ್ಲ).
"
"All of my aunt's friends are now deceased.
","ಈಗ ಅಜ್ಜನ ಆ ಸ್ನೇಹಿತರೆಲ್ಲರೂ ತೀರಿಕೊಂಡಿದ್ದಾರೆ.
"
"And sometimes it is difficult to imagine without grandparents, aunts and uncles, and sisters with brothers.
","ಮತ್ತು ಕೆಲವೊಮ್ಮೆ ಇದು ಅಜ್ಜಿ, aunts ಮತ್ತು ಚಿಕ್ಕಪ್ಪ, ಹಾಗೂ ಸಹೋದರಿಯರು, ಸಹೋದರರು ಇಲ್ಲದೆ ಕಲ್ಪಿಸುವುದು ಕಷ್ಟ.
"
"As a rule, these are people who have common grandparents, aunts, brothers and sisters.
","ನಿಯಮದಂತೆ, ಈ ಒಂದು ಸಾಮಾನ್ಯ ಅಜ್ಜಿ, aunts, ಚಿಕ್ಕಪ್ಪ, ಸಹೋದರರು ಮತ್ತು ಸಹೋದರಿಯರು ಹೊಂದಿರುವ ಜನರು.
"
"At last I had the opportunity to find out how my aunt's beliefs differed from church teachings.
","ನನ್ನ ಅಪ್ಪನ ಸಹೋದರಿಯ ನಂಬಿಕೆಗಳು ಚರ್ಚು ಬೋಧನೆಗಳಿಗಿಂತ ಹೇಗೆ ಭಿನ್ನವಾಗಿದ್ದವು ಅಂತ ತಿಳಿಯಲು ಈಗ ಅವಕಾಶ ಸಿಕ್ಕಿತು.
"
"At that time only aunt and her daughter were living in the house.
","ಈ ವೇಳೆ ನೊಂದ ಬಾಲಕಿಯ ತಾಯಿ, ತಮ್ಮ ಹಾಗೂ ಸಂಬಂಯೊಬ್ಬರು ಮಾತ್ರವೇ ಮನೆಯಲ್ಲಿ ವಾಸವಿದ್ದರು.
"
"At the age of 12 he began to earn his own money-he persuaded his aunts to take him as a postman at the post office, worked on weekdays after school, and on weekends from morning to evening.
","ಮತ್ತು 12 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತಮ್ಮ ಸ್ವಂತ ಹಣವನ್ನು ಗಳಿಸಲು ಪ್ರಾರಂಭಿಸಿದರು - ಪೋಸ್ಟ್ ಆಫೀಸ್ನಲ್ಲಿ ಪೋಸ್ಟ್ ಮೂಲಕ ಅವನನ್ನು ತೆಗೆದುಕೊಳ್ಳಲು ಆತ ತನ್ನ ಮನಸ್ಸನ್ನು ಮನವೊಲಿಸಿದನು, ಶಾಲೆಯ ನಂತರ ವಾರದ ದಿನಗಳಲ್ಲಿ ಮತ್ತು ವಾರಾಂತ್ಯದಲ್ಲಿ ಬೆಳಿಗ್ಗೆನಿಂದ ಸಂಜೆಯವರೆಗೆ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದನು.
"
"Bollywood actress Sunny Leone has now become an aunt.
","ಬಾಲಿವುಡ್ ಮಾದಕ ನಟಿ ಸನ್ನಿ ಲಿಯೋನ್ ಇದೀಗ ದುರ್ಗವತಿಯಾಗಿ ಬದಲಾಗಿದ್ದಾಳೆ.
"
"Consider planning a nice walk with your mom, volunteering with your dad, hanging out with your friend at their work one afternoon, or even babysitting for your aunt or uncle so they can get some time to themselves.
","ನಿಮ್ಮ ತಾಯಿಯೊಂದಿಗೆ ಉತ್ತಮ ನಡವಳಿಕೆಯನ್ನು ಯೋಜಿಸಿ, ನಿಮ್ಮ ತಂದೆಯೊಂದಿಗೆ ಸ್ವಯಂ ಸೇವಕರಾಗಿ , ನಿಮ್ಮ ಕೆಲಸದ ಒಂದು ಮಧ್ಯಾಹ್ನದಲ್ಲಿ ನಿಮ್ಮ ಸ್ನೇಹಿತನೊಂದಿಗೆ ಹ್ಯಾಂಗ್ಔಟ್ ಮಾಡುವುದು, ಅಥವಾ ನಿಮ್ಮ ಹೆತ್ತವರಿಗೆ ಶಿಶುಪಾಲನಾ ಕೇಂದ್ರ ಮಾಡುವುದನ್ನು ಯೋಚಿಸಿ.
"
"Dear Doctor: My husband's mother had breast cancer, and so did both of his aunts.
","ಆತ್ಮೀಯ ಡಾಕ್ಟರ್ಃ ನನ್ನ ಗಂಡನ ತಾಯಿ ಸ್ತನ ಕ್ಯಾನ್ಸರ್ ಹೊಂದಿದ್ದರು, ಮತ್ತು ಅವನ ಇಬ್ಬರೂ ಸಹೋದರಿಯರು ಮಾಡಿದರು.
"
"Deepa said that the landmark announcement will made on February 24th, which happens to be her aunt Jayalalithaa's birthday.
","ಜಯಲಲಿತಾ ಜನ್ಮದಿನವಾದ ಫೆಬ್ರವರಿ 24ರಂದು ತಮ್ಮ ನಿಲುವು ಪ್ರಕಟಿಸುವುದಾಗಿ ದೀಪಾ ತಿಳಿಸಿದ್ದರು.
"
"Dhinakaran said he had already moved the Madras high court challenging the validity of AIADMK general council meeting, which had annulled the appointment of his aunt VK Sasikala as party interim general secretary, and it was pending.
","ಪಕ್ಷದ ಮಧ್ಯಂತರ ಪ್ರಧಾನ ಕಾರ್ಯದರ್ಶಿಯಾಗಿ ವಿ ಕೆ ಶಶಿಕಲಾ ಅವರ ನೇಮಕಾತಿಯನ್ನು ರದ್ದು ಮಾಡಿರುವ ಎಐಎಡಿಎಂಕೆ ಜನರಲ್ ಕೌನ್ಸಿಲ್ ಸಭೆಯ ಸಿಂಧುತ್ವವನ್ನು ತಾನು ಈಗಾಗಲೇ ಮದ್ರಾಸ್ ಹೈಕೋರ್ಟ್ ನಲ್ಲಿ ಪ್ರಶ್ನಿಸಿದ್ದು ಅದೀಗ ಇತ್ಯರ್ಥಕ್ಕೆ ಬಾಕಿ ಇದೆ ಎಂದು ದಿನಕರನ್ ಹೇಳಿದರು.
"
"Dumbledore sends Harry's aunt, Petunia Dursley, a Howler in Harry Potter and the Order of the Phoenix to remind her of the agreement to allow Harry to live at Privet Drive when Harry's Uncle Vernon attempts to throw him out.
","ಹ್ಯಾರಿ ಪಾಟರ್ ಎಂಡ್ ಅದ ಆರ್ಡರ್ ಆಫ್ ದ ಫೀನಿಕ್ಸ್ ನಲ್ಲಿ ಡಂಬಲ್ಡೋರ್ ಪ್ರೈವೆಟ್ ಡ್ರೈವ್ನಲ್ಲಿ ಇರುವುದಕ್ಕೆ ಹ್ಯಾರಿಗೆ ಅನುಮತಿಯನ್ನು ನೀಡುವುದಕ್ಕೆ ಒಪ್ಪಂದವನ್ನು ಮಾಡಿಕೊಳ್ಳುವ ಬಗ್ಗೆ ನೆನಪಿಸುವುದಕ್ಕೆ ಪಿಟ್ಯುನಿಯಾ ಡರ್ಸ್ಲೇ ಎಂಬ ಒಂದು ಹೌವ್ಲರ್ ಅನ್ನು ಕಳಿಸುತ್ತಾಳೆ, ಆ ಸಂದರ್ಭದಲ್ಲಿ ಹ್ಯಾರಿಯ ಅಂಕಲ್ ವೆಮನ್ ಅವನನ್ನು ಕೆಳಕ್ಕೆ ಎಸೆಯುವುದಕ್ಕೆ ಪ್ರಯತ್ನಿಸುತ್ತಾನೆ.
"
"Elizabeth Johnson and her family may have been targeted because of her grandfather's criticism of the witchcraft trials, because of the wealth and property in the control of her aunt Abigail Faulkner Jr., or because of Elizabeth's mother, Elizabeth Johnson Sr., who had something of a reputation, and also controlled her husband's estate until she remarried (which she never did).
","ಎಲಿಜಬೆತ್ ಜಾನ್ಸನ್ ಮತ್ತು ಆಕೆಯ ಕುಟುಂಬದವರು ತಮ್ಮ ಅಜ್ಜ ಅಬಿಗೈಲ್ ಫಾಕ್ನರ್ ಜೂನಿಯರ್ ನಿಯಂತ್ರಣದಲ್ಲಿ ಸಂಪತ್ತು ಮತ್ತು ಆಸ್ತಿಯ ಕಾರಣದಿಂದಾಗಿ, ತಾನು ಮಾಟಗಾತಿ ಪ್ರಯೋಗಗಳ ಬಗ್ಗೆ ತಾವು ಟೀಕೆಗೊಳಗಾದ ಕಾರಣದಿಂದಾಗಿರಬಹುದು ಅಥವಾ ಎಲಿಜಬೆತ್ ತಾಯಿ ಎಲಿಜಬೆತ್ ಜಾನ್ಸನ್ ಸೀನಿಯವರ ಕಾರಣದಿಂದಾಗಿ ಖ್ಯಾತಿಗೆ ಒಳಗಾದಳು, ಮತ್ತು ಅವಳ ಪುತ್ರನ ಎಸ್ಟೇಟ್ ಅನ್ನು ಮರುಮದುವೆಯಾಗುವವರೆಗೂ (ಅವಳು ಎಂದಿಗೂ ಮಾಡಲಿಲ್ಲ).
"
"Every year in mid-summer, Lord Jagannath, with his elder brother Balabhadra and sister Subhadra, goes on vacation, travelling on grand chariots, from his temple in Puri, to his aunt's place in the countryside.
","ಪ್ರತಿ ವರ್ಷದ ಮಧ್ಯ ಬೇಸಿಗೆಯಲ್ಲಿ, ತಮ್ಮ ಹಿರಿಯ ಸಹೋದರ ಬಾಲಭದ್ರ ಮತ್ತು ಸಹೋದರಿ ಸುಭದ್ರಾ ಅವರೊಂದಿಗೆ ಲಾರ್ಡ್ ಜಗನ್ನಾಥ್, ಪುರಿದಲ್ಲಿನ ತನ್ನ ದೇವಸ್ಥಾನದಿಂದ ಗ್ರಾಮದ ತೋಟದ ಅರಮನೆಗೆ, ರಜೆಯ ಮೇಲೆ ಪ್ರಯಾಣ ಮಾಡುತ್ತಾನೆ.
"
"Every year you know you have several troublesome aunts (i.e. challenging annual stars) visiting and staying with you for a while.
","ಪ್ರತಿವರ್ಷವೂ ನಿಮಗೆ ಹಲವಾರು ತೊಂದರೆಯ ಅಂಟುಗಳು (ಅಂದರೆ ವಾರ್ಷಿಕ ನಕ್ಷತ್ರಗಳು ಸವಾಲು) ಭೇಟಿ ನೀಡುತ್ತಾರೆ ಮತ್ತು ಸ್ವಲ್ಪ ಸಮಯದವರೆಗೆ ನಿಮ್ಮೊಂದಿಗೆ ಉಳಿಯುತ್ತಿದ್ದಾರೆ ಎಂದು ನಿಮಗೆ ತಿಳಿದಿದೆ.
"
"He does not have parents and lives with his aunt.
","ಆತನಿಗೆ ತಂದೆ-ತಾಯಿ ಇಲ್ಲ, ತನ್ನ ಚಿಕ್ಕಪ್ಪನೊಂದಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದಾನೆ.
"
"He lives in his aunt's home.
","ಆಕೆ ತನ್ನ ಮಾಮನ ಮನೆಯಲ್ಲಿ ನೆಲೆ ನಿಂತಿರುತ್ತಾಳೆ.
"
"He went to Europe with his brother, mom and aunt.
","ತಮ್ಮ ತಾಯಿ, ಅಕ್ಕ ಮತ್ತು ಭಾವನೊಂದಿಗೆ ಯೂರೋಪ್ ಪ್ರವಾಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
"
"Her aunt, Elizabeth Garrett Anderson, was the first English female doctor.
","ಅವರ ಸಹೋದರಿ, ಎಲಿಜಬೆತ್ ಗ್ಯಾರೆಟ್ ಆಂಡರ್ಸನ್ , ಬ್ರಿಟನ್ನ ಮೊದಲ ಮಹಿಳಾ ವೈದ್ಯರಾಗಿದ್ದರು.
"
"Her grandmother and great aunt also died from breast cancer.
","ಅವರ ತಾಯಿ ಹಾಗೂ ಅಜ್ಜಿ (ತಾಯಿಯ ತಾಯಿ) ಸತ್ತದ್ದು ಕೂಡಾ ಕ್ಯಾನ್ಸರ್ನಿಂದಲೇ.
"
"His aunt wasn't speaking to him.
","ಆಂಟಿ ಅವರ ಜೊತೆ ಮಾತನಾಡಲೇ ಇಲ್ಲ.
"
"His aunt's husband
","ಗಂಡನ ಮನಿಯ ಅಕ್ಕಮ್ಮ
"
"His mother's aunt and cousins died in Auschwitz.
","ಅವಳ ತಂದೆಯ ಕಡೆಯ ಅಜ್ಜನ ಪೋಷಕರು ಔಷ್ವಿಟ್ಸ್ನಲ್ಲಿ ಮರಣಹೊಂದಿದರು.
"
"I am their aunt's son.
","ನಾನು ಅವರ ತಂಗಿಯ ಮೊಮ್ಮಗ.
"
"I came back from school and went directly to my aunt's house.
","ನಾನು ಶಾಲೆ ಮುಗಿಸಿ, ನೇರವಾಗಿ ಅಜ್ಜ-ಅಜ್ಜಿ ಮನೆಗೆ ಹೋಗ್ತಿàನಿ.
"
"I haven't seen the aunt since that day.
","ಅವತ್ತಿನಿಂದ ಅವತ್ತಿನವರೆಗೂ ನಾನು ಆಂಟಿಯನ್ನು ನೋಡಲೇ ಇಲ್ಲಾ. .
"
"I heard this song for the first time when my husband's aunt sang this song to my daughter.
","ಈ ಹಾಡನ್ನ ನನ್ನ ಗೆಳತಿಯ ತಾಯಿ ಅವರ ಮೊಮ್ಮಗನಿಗೆ ಎಣ್ಣೆ ಹಚ್ಚುತ್ತಾ ಹಾಡುತ್ತಿದ್ದಾಗ ಮೊದಲ ಬಾರಿ ಕೇಳಿಸಿಕೊಂಡಿದ್ದು.
"
"I know my aunt very well.
","ಅಜ್ಜಿ ಹೇಗೇಂತ ನನಗೆ ಚೆನ್ನಾಗಿ ಗೊತ್ತು.
"
"I left it at aunt's house.
","ಅವಳನ್ನು ಅಜ್ಜಿಯ ಮನೆಯಲ್ಲಿ ಬಿಟ್ಟಿದ್ದೇನೆ.
"
"I lost my aunt to cancer.
","ಸ್ತನ ಕ್ಯಾನ್ಸರ್ನಿಂದಾಗಿಯೇ ನನ್ನ ಆಂಟಿಯನ್ನು ಕಳೆದುಕೊಂಡೆ.
"
"I showed it to my aunt.
","ನಾನು ಆಂಟಿ ಗೆ ಅದನ್ನು ತೋರಿಸಿದೆ.
"
"If it is large (lots of kids, or grandparents, aunts, uncles), then the child grows with the collective Outlook.
","ಇದು (ಮಕ್ಕಳು, ಅಥವಾ ಅಜ್ಜಿ, aunts, ಚಿಕ್ಕಪ್ಪ ಬಹಳಷ್ಟು) ದೊಡ್ಡದಾಗಿದೆ ವೇಳೆ, ಮಕ್ಕಳ ಬೆಳೆಯುತ್ತಾನೆ ಸಾಮೂಹಿಕ ಸಮಾಜದ ದೃಷ್ಟಿಕೋನವನ್ನು ಹೊಂದಿದೆ.
"
"Ila eventually realizes the mistake and with the advice of her neighbor aunt (Bharti Achrekar - voice only) living in the apartment above her, writes a letter to Saajan about the mix up and places it in the lunchbox (along with her husband's favorite meal) the next day.
","ಈಲಾಗೆ ಅಂತಿಮವಾಗಿ ತಪ್ಪಿನ ಅರಿವಾಗುತ್ತದೆ ಮತ್ತು ಮೇಲಿನ ಅಪಾರ್ಟ್ಮಂಟನಲ್ಲಿರುವ ತನ್ನ ನೆರೆಯ ಆಂಟಿಯ (ಭಾರತಿ ಆಚ್ರೇಕರ್ - ಧ್ವನಿ ಮಾತ್ರ) ಸಲಹೆಯ ಮೇಲೆ ಮರುದಿನ ಸಾಜನ್ಗೆ ತಪ್ಪಿನ ಬಗ್ಗೆ ಪತ್ರ ಬರೆದು (ತನ್ನ ಗಂಡನ ಅಚ್ಚುಮೆಚ್ಚಿನ ಊಟದೊಂದಿಗೆ) ಡಬ್ಬಿಯಲ್ಲಿ ಇಡುತ್ತಾಳೆ.
"
"In 1928, with the help of a loan from his aunt, Prithviraj moved to the city of Bombay (present-day Mumbai) which is the hub of the Hindi film industry.
","1928ರಲ್ಲಿ, ತಮ್ಮ ಸಹೋದರಿ ಸಂಬಂಧಿಯಿಂದ ಸಾಲ ಪಡೆದು, ಪೃಥ್ವಿರಾಜ್ ಬಾಂಬೆ ನಗರಕ್ಕೆ (ಇಂದಿನ ಮುಂಬಯಿ) ಆಗಮಿಸಿದರು.
"
"In Italy he developed a confidence in his painting; importantly, it was in Italy that he began work on his first masterpiece, a painting of his aunt and her family.
","ಇಟಲಿಯಲ್ಲಿ ಅವರು ತಮ್ಮ ವರ್ಣಚಿತ್ರದಲ್ಲಿ ವಿಶ್ವಾಸವನ್ನು ಬೆಳೆಸಿದರು; ಮುಖ್ಯವಾಗಿ, ಇದು ಇಟಲಿಯಲ್ಲಿದೆ, ತನ್ನ ಮೊದಲ ಚಿಕ್ಕ ಮೇರುಕೃತಿ ಮತ್ತು ಅವರ ಕುಟುಂಬದ ಚಿತ್ರಕಲೆ ಕೆಲಸವನ್ನು ಪ್ರಾರಂಭಿಸಿದ.
"
"In my grandmother's house only my aunt and grandmother lived.
","ನನ್ನ ಅಜ್ಜನ ಮನೆಯಲ್ಲಿ ಅಜ್ಜ, ಅಜ್ಜಿ ಮತ್ತು ಚಿಕ್ಕ ಮಾವ ಮಾತ್ರ ಇರುವುದು.
"
"It could be mom's, dad's, aunt's, uncle's, cousin's, neighbor's or friend's.
","ಅದು ಅಮ್ಮನ ಅಪ್ಪುಗೆಯಾಗಿರಬಹುದು, ತಂದೆಯ ಆಲಿಂಗನವಾಗಿರಬಹುದು, ಗೆಳೆಯ, ಗೆಳತಿ, ಸಂಗಾತಿಯ ಬೆಸುಗೆಯಾಗಿರಬಹುದು.
"
"It was at this time that my aunt married.
","ಈ ಅವಧಿಯಲ್ಲಿ ನನ್ನ ಅಕ್ಕನ ಮದುವೆಯಾಯ್ತು.
"
"It was my grandmother and aunt's name.
","ನನ್ನ ಅಮ್ಮನ ಮತ್ತು ಅಜ್ಜಿಯ ಹೆಸರು ಹೇಳಿದೆ.
"
