eng_Latn,kan_Knda
""""""" The theme of incest runs occurs throughout the play and Hamlet and the ghost often allude to it in conversations about Gertrude and Claudius, the former brother-in-law and sister-in-law who are now married.""
","ಸಂಭೋಗದ ವಿಷಯವು ನಾಟಕ ಮತ್ತು ಹಾಮ್ಲೆಟ್ ಉದ್ದಕ್ಕೂ ಸಂಭವಿಸುತ್ತದೆ ಮತ್ತು ಪ್ರೇತವು ಸಾಮಾನ್ಯವಾಗಿ ಗೆರ್ಟ್ರೂಡ್ ಮತ್ತು ಕ್ಲಾಡಿಯಸ್, ಇವರನ್ನು ಮದುವೆಯಾದ ಮಾಜಿ ಅತ್ತಿಗೆ ಮತ್ತು ಸೋದರಿಗಳ ಬಗ್ಗೆ ಸಂಭಾಷಣೆಯಲ್ಲಿ ಹೇಳುತ್ತದೆ.
"
"""""""Albert J. Parkhouse was a born tinkerer and inventor,"""" his brother-in-law, Emmett Sargent, used to tell me when I was young.""
","""ಆಲ್ಬರ್ಟ್ ಜೆ. ಪಾರ್ಕ್ಹೌಸ್ ಜನಿಸಿದ ಟಿಂಕರ್ರೆರ್ ಮತ್ತು ಸಂಶೋಧಕರಾಗಿದ್ದರು, """"ಅವನ ಅಳಿಯ, ಎಮೆಟ್ ಸಾರ್ಜೆಂಟ್, ನಾನು ಚಿಕ್ಕವನಾಗಿದ್ದಾಗ ನನಗೆ ಹೇಳಲು ಬಳಸಲಾಗುತ್ತದೆ.""
"
"""""""Are you a brother-in-law?""""""
","""""""ನೀನು ನಂಗ ಅಣ್ಣಾನೆ ಅಲ್ವಾ ?""
"
"""""""Dilip Kumar's father gave the house to his brother-in-law Yusuf Qureshi in 1943 and Qureshi sold it the following year.""
","'ಈ ಮನೆಯನ್ನು ದಿಲೀಪ್ ಕುಮಾರ್ ಅವರ ತಂದೆ 1943ರಲ್ಲಿ ಯೂಸುಫ್ ಖುರೇಷಿ ಎಂಬ ನನ್ನ ಸಂಬಂಧಿಗೆ ಮಾರಿದ್ದರು.
"
"""""""He's much more than Obama's brother-in-law.""""""
","""""""ಅವರು ಒಬಾಮಾ ಅವರ ಸೋದರ ಸಂಬಂಧಿಗಿಂತ ಹೆಚ್ಚು.""
"
"""""""Since her marriage in May 2016, my sister was apprehensive of her brother-in-law's intentions and when she informed her husband, he rebuked her.""
","""""""ಮೇ 2016 ರಲ್ಲಿ ಮದುವೆಯಾದಾಗಿನಿಂದ, ನನ್ನ ತಂಗಿ ತನ್ನ ಸೋದರ ಮಾವನ ಕಿರುಕುಳಕ್ಕೆ ಹೆದರುತ್ತಿದ್ದಳು ಮತ್ತು ಅವಳು ತನ್ನ ಗಂಡನಿಗೆ ಈ ಬಗ್ಗೆ ಮಾಹಿತಿ ನೀಡಿದಾಗ ಅವನು ಈಕೆಯನ್ನೇ ದೂಷಿಸಿದ್ದನು, ಅವನ ಕುಟುಂಬ ಸದಸ್ಯರ ಬೆಂಬಲದೊಂದಿಗೆ, ಅವಳ ಸೋದರ ಮಾವ ಅವಳ ಮೇಲೆ ಸೀಮೆಎಣ್ಣೆ ಸುರಿದು ಅತ್ಯಾಚಾರ ವಿಫಲವಾದ ನಂತರ ಅವಳಿಗೆ ಬೆಂಕಿಯಿಟ್ಟನು """"ಎಂದು ಸಂತ್ರಸ್ತೆಯ ಸಹೋದರ ಹೇಳಿಕೆ ನೀಡಿದ್ದಾನೆ.""
"
"""""""When I made the first Juke 8s, a brother-in-law suggested I take out a patent.""
","""""""ನಾನು ಮೊದಲ ಜ್ಯೂಕ್ 8 ರನ್ನು ಮಾಡಿದಾಗ, ಒಂದು ಸೋದರಳಿಯ ನಾನು ಪೇಟೆಂಟ್ ತೆಗೆದುಕೊಳ್ಳುವಂತೆ ಸೂಚಿಸಿದೆ.""
"
"""29 Moses said to his brother-in-law Hobab son of Reuel the Midianite, Moses' father-in-law, """"We're marching to the place about which God promised, 'I'll give it to you.'""
","""೨೯ ಮೋಶೆಯು ತನ್ನ ಮಾವನಾಗಿದ್ದ ಮಿದ್ಯಾನ್ಯನಾದ ರೆಗೂವೇಲನ ಮಗನಾದ ಹೋಬಾಬನಿಗೆ, """"ಯೆಹೋವನು ನಮಗೆ ಕೊಡುತ್ತೇನೆಂದು ವಾಗ್ದಾನ ಮಾಡಿದ ದೇಶಕ್ಕೆ ನಾವು ಪ್ರಯಾಣಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.""
"
"""29 Moses said to his brother-in-law Hobab, son of Reuel the Midianite, """"We are going to the place the LORD promised to give us.""
","""10:29 ಮೋಶೆಯು Raguel Midianite ಮಗನಾದ Hobab ಹೇಳಲಾಗುತ್ತದೆ, ತನ್ನ ನಿಷ್ಟಾವಂತರಿಗೆಃ """"ನಾವು ಲಾರ್ಡ್ ನಮಗೆ ಕೊಡುವಂತಹ ಸ್ಥಳಕ್ಕೆ ಔಟ್ ಮಾಡುತ್ತಿದ್ದೀರಿ.""
"
"""29 Moses said to his brother-in-law Hobab, son of Reuel the Midianite, """"We are going to the place the Lord promised to give us.""
","""10:29 ಮೋಶೆಯು Raguel Midianite ಮಗನಾದ Hobab ಹೇಳಲಾಗುತ್ತದೆ, ತನ್ನ ನಿಷ್ಟಾವಂತರಿಗೆಃ """"ನಾವು ಲಾರ್ಡ್ ನಮಗೆ ಕೊಡುವಂತಹ ಸ್ಥಳಕ್ಕೆ ಔಟ್ ಮಾಡುತ್ತಿದ್ದೀರಿ.""
"
"""8 Then Judah said to Onan, """"Go in to your brother's wife and perform the duty of a brother-in-law to her, and raise up offspring for your brother.""""""
","8 ಆಗ ಯೆಹೂದನು ಓನಾನನಿಗೆ--ನಿನ್ನ ಸಹೋದರನ ಹೆಂಡತಿಯ ಬಳಿಗೆ ಹೋಗಿ ಅವಳನ್ನು ಮದುವೆಯಾಗಿ ನಿನ್ನ ಅಣ್ಣನಿಗೆ ಸಂತತಿಯನ್ನು ಉಂಟು ಮಾಡು ಅಂದನು.
"
"""A standard dining room table takes a snug turn as a breakfast nook, punctuated by sea-green chairs from Anthropologie, an antique bread bowl and """"Be Present"""" wall art made by the couple's brother-in-law.""
","""ಒಂದು ದೈನಂದಿನ ಊಟದ ಕೋಣೆ ಮೇಜಿನ ಒಂದು ಉಪಹಾರ ಮೂಲೆಯಾಗಿ ಸುಗಮ ತಿರುವು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ, ಅಂಥ್ರೊಪೊಲೊಜಿನಿಂದ ಸಮುದ್ರ-ಹಸಿರು ಕುರ್ಚಿಗಳ ಮೂಲಕ ಸ್ಥಗಿತಗೊಂಡಿತು, ಪುರಾತನ ಬ್ರೆಡ್ ಬೌಲ್ ಮತ್ತು ದಂಪತಿಯವರ ಸೋದರನಿಂದ ಮಾಡಲ್ಪಟ್ಟ """"ಬಿಲ್ ಪ್ರೆಸೆಂಟ್"""" ಗೋಡೆಯ ಕಲೆ.""
"
"""Elizabeth Lohner, a Traunstein resident whose brother-in-law was sent to Dachau as a conscientious objector, has been quoted as saying, """"It was possible to resist, and those people set an example for others.""
","""ಓರ್ವ ಟ್ರಾನ್ಸ್ಟೈನ್ ನಿವಾಸಿ ಎಲಿಸಬೇತ್ ಲೊಹ್ನರ್, ಡಚೌಗೆ ಆತ್ಮಸಾಕ್ಷಿಯ ಆಕ್ಷೇಪಕನಾಗಿ ಕಳುಹಿಸಲ್ಪಟ್ಟ ಯಾರ ಮಾತನ್ನು """"ಇದು ವಿರೋಧಿಸಲು ಸಾಧ್ಯ, ಮತ್ತು ಆ ಜನರು ಇತರರಿಗೆ ಒಂದು ಉದಾಹರಣೆಯಾಗಿದೆ.""
"
"""In addition to this damning testimony, and the accusations of the teenage girls, Bishop's own brother-in-law swore he'd seen her """"conversing with the Devil"""" who """"came bodily into her.""""""
","""ಈ ದುಷ್ಪರಿಣಾಮದ ಜೊತೆಗೆ, ಮತ್ತು ಹದಿಹರೆಯದ ಹುಡುಗಿಯರ ಆರೋಪಗಳು, ಬಿಷಪ್ ಅವರ ಸೋದರಳಿಯು ತನ್ನ """"ದೈಹಿಕವಾಗಿ ಅವಳೊಳಗೆ ಬಂದ"""" ದೆವ್ವದ ಜೊತೆ ಮಾತುಕತೆ ನಡೆಸಿದನು ಎಂದು ಹೇಳಿದನು.""
"
"""It's """"Mr. Smith,"""" not """"Jim,"""" even if he is your brother-in-law.""
","""ಸ್ಮಿತ್,"""" ಅಲ್ಲ """"ಜಿಮ್,"""" ಅವನು ನಿಮ್ಮ ಸೋದರನಾಗಿದ್ದರೂ ಸಹ.""
"
"""John's son James Egan, his wife Rebecca Egan, his widow Mary """"Polly"""" Lewis, and Mary's brother-in-law Jonathan Lewis all received 640-acre land grants from the U.S. in present-day Miami.""
","""ಜಾನ್ ಅವರ ಪತ್ನಿ ರೆಬೆಕಾ ಇಗಾನ್, ಮಗ ಜೇಮ್ಸ್ ಇಗಾನ್, ಅವರ ವಿಧವೆ ಮೇರಿ """"ಪೊಲ್ಲಿ"""" ಲೂಯಿಸ್, ಮತ್ತು ಮೇರಿಯ ಸೋದರ ಮಾವ ಜೊನಾಥನ್ ಲೂಯಿಸ್ ಎಲ್ಲರೂ ಇಂದಿನ ಮಿಯಾಮಿಯಲ್ಲಿ ಯುಎಸ್ ನಿಂದ 640 ಎಕರೆ ಭೂ ಅನುದಾನವನ್ನು ಪಡೆದರು.""
"
"""MESSAGE Moses said to his brother-in-law Hobab son of Reuel the Midianite, Moses' father-in-law, """"We're marching to the place about which GOD promised, 'I'll give it to you.'""
","""೨೯ ಮೋಶೆಯು ತನ್ನ ಮಾವನಾಗಿದ್ದ ಮಿದ್ಯಾನ್ಯನಾದ ರೆಗೂವೇಲನ ಮಗನಾದ ಹೋಬಾಬನಿಗೆ, """"ಯೆಹೋವನು ನಮಗೆ ಕೊಡುತ್ತೇನೆಂದು ವಾಗ್ದಾನ ಮಾಡಿದ ದೇಶಕ್ಕೆ ನಾವು ಪ್ರಯಾಣಮಾಡುತ್ತಾ ಇದ್ದೇವೆ.""
"
"""Naturally flirtatious, there are several instances in her writing that could be misconstrued by modern readers, and in the musical """"Hamilton,"""" Angelica is portrayed as secretly longing for a brother-in-law she loves.""
","""ನೈಸರ್ಗಿಕವಾಗಿ ನಿಕಟತೆಯೇ, ಆಧುನಿಕ ಬರಹಗಾರರಿಂದ ತಪ್ಪಾಗಿ ಅರ್ಥೈಸಲ್ಪಡುವ ತನ್ನ ಬರಹದಲ್ಲಿ ಹಲವಾರು ನಿದರ್ಶನಗಳಿವೆ, ಮತ್ತು """"ಹ್ಯಾಮಿಲ್ಟನ್"""" ಸಂಗೀತದಲ್ಲಿ ಆಂಜೆಲಿಕಾವನ್ನು ಅವಳು ಪ್ರೀತಿಸುವ ಸೋದರ ಸಂಬಂಧಿಗಾಗಿ ರಹಸ್ಯವಾಗಿ ಹಾತೊರೆಯುತ್ತಾನೆ ಎಂದು ಚಿತ್ರಿಸಲಾಗಿದೆ.""
"
"""On the right foot, the brother-in-law wears a moccasin-style """"halitzah shoe"""" made of two pieces of fabric made from the skin of a kosher animal sown together with leather.""
","""ಬಲ ಕಾಲುಭಾಗದಲ್ಲಿ ಸೋದರಳಿಯು ಚರ್ಮದ ಜೊತೆಯಲ್ಲಿ ಬಿತ್ತಿರುವ ಕೋಷರ್ ಪ್ರಾಣಿಯ ಚರ್ಮದಿಂದ ತಯಾರಿಸಿದ ಎರಡು ತುಂಡುಗಳಿಂದ ತಯಾರಿಸಿದ ಮೊಕಸಿನ್ ಶೈಲಿಯ """" ಹಾಲಿಟ್ಝಾ ಷೂ"""" ಧರಿಸುತ್ತಾನೆ.""
"
