eng_Latn,mar_Deva
"""I asked my niece """"who's your best friend?""""""
","""मी आईला विचारले, """"कोण आहे तुझी सर्वांत विश्वासू मैत्रिण?""
"
"""Trump tapes: President Trump's sister, Maryanne Trump Barry, describes him as a liar who has """"no principles"""" in a series of audio recordings manufactured by her niece Mary Trump.""
","ट्रम्प यांची बहीण मरयाने ट्रम्प बैरी (Maryanne Trump Barry) यांनी एका गुप्त पद्धतीने रिकॉर्ड करण्यात आलेल्या ऑडिओ क्लिपमध्ये ट्रम्प यांचा कोणताही सिद्धांत नसल्याचं म्हटलं आहे.
"
"Are you my dad's niece?
","माझ्या दाजीचा चेडू ना तू?
"
"He told them that he had killed his mother and niece.
","यांनीच आपल्या आई आणि आजीला मारल्याचे सांगितले.
"
"His 22-year-old niece has filed the complained.
","याप्रकरणी 22 वर्षीय युवतीने तक्रार दिली आहे.
"
"His older brother became King George IV, and his niece became Queen Victoria.
","चौथे जॉर्ज यांच्यानंतर त्यांचे बंधू चौथे विलियम ब्रिटनचे राजे बनले आणि त्यांच्यानंतर आली राणी व्हिक्टोरिया.
"
"I have two nieces who are both engineers.
","मला दोन भाऊ असून ते अभियंता आहेत.
"
"I'm going to buy 2 more one for my daughter and my niece.
","मी माझी मुलगी आणि नव husband्यासाठी आणखी दोन खरेदी करतो.
"
"In 1923, Einstein fell in love with a secretary named Betty Neumann, the niece of a close friend, Hans Mühsam.
","1923 मध्ये, आइन्स्टाईन हट्टी मुशामचा जवळचा मित्र असलेल्या बेट्टी न्यूमन नावाच्या सेक्रेटरीच्या प्रेमात पडली.
"
"My 6 year old niece couldn't fit.
","माझी सहा वर्षांची मुलगी पुरेसे नव्हते.
"
"My Dad, Sister, Brother-in-law, 2 nieces, and 1 nephew all live together in one house.
","आई, बाबा, १ बहीण, २ भाऊ आणि आमची आजी, आम्ही सगळे एकाच घरात राहतो.
"
"My niece and nephew are not even going to school.
","माझं पोरगं आणि पोरगीही शाळेत जात नाहीय.
"
"My niece is 33 years old, married with a four year old daughter.
","माझी मुलगी 33 वर्षांची असून तिचे चार वर्षांपूर्वी लग्न झाले आहे.
"
"My niece is 4 years old and she loves tomatoes.
","माझी मुलगी ४ वर्षाची आहे आणि तिला ओट्स खूपच आवडतात.
"
"My nieces weren't overly impressed with the relics of my childhood and were back downstairs and lost in cell phone games in no time.
","माझे nieces माझ्या बालपणातील अवशेष असलेल्या अती प्रभावित नाही आणि खाली परत आले आणि नाही वेळ सेल फोन गेम गमावले.
"
"My sister and niece both teach in the same school.
","माझे बाबा आणि आत्त्या एकाच शाळेत शिकवत.
"
"She was a good niece.
","त्या एक छान नटी होत्या.
"
"The woman claimed that her husband had an illicit relationship with his niece.
","पत्नीचे म्हणने असे की, तिच्या पतीचे चाचीसोबत अनैतिक संबंध आहेत.
"
"This book was read by my 9 year old niece.
","माझ्या ९ वर्षाच्या भाच्याने अगदी पारायणं केली होती त्या पुस्तकाची.
"
"Today is Aishi's (my niece) 5th birthday.
","५७१) आज माझ्या नातवाचा (आयुष) ९ वा वाढदिवस.
"
"The film also featured Sanjay Leela Bhansali 's niece Sharmin Segal.
","या सिनेमात त्याच्या सोबत संजय लीला भन्साळीच्या बहिणीची मुलगी शरमीन सहगल दिसणार आहे.
"
"Actor Nawazuddin Siddiqui’s niece has filed a sexual harassment case against his brother.
","नवाजुद्दीन सिद्दीकीच्या भावावर लैंगिक आरोप झाले आहेत; नवाजुद्दीनवर नाही.
"
