eng_Latn,tel_Telu
"""""""And his aunt!""""""
",""""""" మరి ఇతను ఆంటీ!""
"
"""""""Great aunt, are you happy now?""""""
","""""""ఏమ్మా రేఖ ఇప్పుడు నీకు సంతోషమేనా?""
"
"""""""How's my aunt?""
",""""""" ఎలా వుంది ఆంటీకి ?""
"
"""""""I went to my aunt's.""
","""""""వెళ్ళాను ఆంటీ.""
"
"""""""I went to my aunt.""
","""""""వెళ్ళాను ఆంటీ.""
"
"""""""My aunt murdered my mother.""
","""""""వాడు నా చెల్లిని హత్య చేసిండే అమ్మా.""
"
"""""""My aunt raised me since I was a baby.""
","""""""అమ్మమ్మా , తాతయ్యా నన్ను చిన్నప్పటి నుంచి పెంచారు.""
"
"""""""My aunt's cutting me off.""
","""""""ఆంటీ ఆంటీ నాకు కారి పోతోంది.""
"
"""""""My grandfather and an aunt are both doctors.""""""
",""" """"ఔనానాంటీ. నాన్న, అమ్మ ఇద్దరూ డాక్టర్లే""""""
"
"""""""The mother or the aunt?""""""
","""""""వాణి లేదా ఆంటీ?""
"
"""""""This is your aunt?""
","""""""ఈయనేనా మీ అంకుల్?""
"
"""""""Today I am going to the U.S. With my mum and grandmom to see my aunt.""""""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today I am going to the U.S. with my mom and grandmom to see my aunt.""""""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today I am going to the U.S. with my mum and grandmom to see my aunt.""""""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today I'm going to the U.S. with my mom and grandmom to see my aunt.""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today, I am going to the U.S. with my mom and grandma to see my aunt.""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today, I am going to the U.S. with my mom and grandmom to see my aunt.""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""Today, I am going to the US with my mom and grandmom to see my aunt.""
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"""""""What did the aunt say?""
","""""""ఏమిటి ఆంటీ చెబుతున్నారు?""
"
"""""""What will my aunt say?""""""
","""""""ఏమిటి ఆంటీ చెబుతున్నారు?""
"
"""""""What will your aunt say?""""""
","""""""ఏమిటి ఆంటీ చెబుతున్నారు?""
"
"""""""Who's the aunt?""
","""""""ఆంటీ ఎవరు?""
"
"""""""You are so good, aunt!""""""
","""""""మీరెంత మంచివారు ఆంటీ!""
"
"""""""You don't want to know, aunt!""""""
","""""""నీకు తెలియదులే ఆంటీ!""
"
"""""""Your aunt and uncle?""
","""""""ఆంటీ లేదా అంకుల్?""
"
"""David's aunt renames him 'Trotwood Copperfield', shortened to """"Trot,"""" and for the rest of the novel David is called by either name, depending on whether he is communicating with someone he has known for a long time or someone he has only recently met.""
","""డేవిడ్ యొక్క అతని పేరును 'ట్రోట్వుడ్ కాపర్ఫీల్డ్'గా మారుస్తుంది, తర్వాత అది """"ట్రాట్""""కు కుదించబడుతుంది మరియు నవలలోని మిగిలిన భాగంలో అతను ఈ రెండు పేర్లతో సూచించబడతాడు అంటే అతను చాలాకాలంగా తెలిసిన వ్యక్తులతో మాట్లాడుతున్నప్పుడు మొదటి పేరుతోను లేదా ఇటీవల అతని కలుసుకున్న వ్యక్తితో మాట్లాడుతున్నప్పుడు కుదించిన పేరుతోనూ సూచించబడతాడు.""
"
"""David's aunt renames him 'Trotwood Copperfield', soon shortened to """"Trot,"""" and for the rest of the novel he is called by either name, depending on whether he is communicating with someone he has known for a long time, or someone he has only recently met.""
","""డేవిడ్ యొక్క అతని పేరును 'ట్రోట్వుడ్ కాపర్ఫీల్డ్'గా మారుస్తుంది, తర్వాత అది """"ట్రాట్""""కు కుదించబడుతుంది మరియు నవలలోని మిగిలిన భాగంలో అతను ఈ రెండు పేర్లతో సూచించబడతాడు అంటే అతను చాలాకాలంగా తెలిసిన వ్యక్తులతో మాట్లాడుతున్నప్పుడు మొదటి పేరుతోను లేదా ఇటీవల అతని కలుసుకున్న వ్యక్తితో మాట్లాడుతున్నప్పుడు కుదించిన పేరుతోనూ సూచించబడతాడు.""
"
"""Eventually in October, after sending """" A Clergyman's Daughter """" to Moore, he left for London to take a job that had been found for him by his aunt Nellie Limouzin.""
","చివరకి అక్టోబర్ లో, ఎ క్లేర్జిమాన్స్ డాటర్ను మూరేకు పంపిన తర్వాత తన ఆంటీ నేల్లీ లిమౌజిన్, చూపించిన ఉద్యోగంలో చేరటానికి లండన్ వెళ్ళాడు.
"
"""He has many nicknames: James Steerforth nicknames him """"Daisy,"""" Dora calls him """"Doady,"""" and his aunt refers to him, as a reference to his would-be sister (if he had been born a girl), in and on """"Trot"""" - as in Betsey Trotwood Copperfield.""
","""అతనికి చాలా మారుపేర్లు ఉన్నాయిః జేమ్స్ స్టీర్ఫోర్త్ అతన్ని """"డైసీ"""" అని, డోరా అతన్ని """"డోడీ"""" మరియు అతని మేనత్త అతన్ని అతని సోదరి బెట్సే ట్రాట్వుట్ కాపర్ఫీల్డ్ను (అతను ఒక అమ్మాయిగా జన్మించినట్లయితే) సూచిస్తూ """"ట్రోట్"""" అని పిలిచేవారు.""
"
"""I don't have an aunt!""""""
","""""""నాకు ఫ్రెండ్స్ ఎవరూ లేరు ఆంటీ!""
"
"""In 1527, his army's """"sack"""" of Rome prevented Pope Clement VII from annulling the marriage of Henry VIII to Charles's aunt, Catherine of Aragon, with historic consequences.""
","1527 లో, పవిత్ర రోమన్ చక్రవర్తి చార్లెస్ V యొక్క దళాలు రోమ్ను తొలగించాయి, హెన్రీ VIII యొక్క ఆరగాన్ క్యాథరిన్ ఆఫ్ ఆరగాన్తో అతని వివాహం రద్దు చేయడాన్ని నిరోధిస్తుంది.
"
"""Moore has never clarified V's precise background, beyond stating """"that V isn't Evey's father, Whistler's mother, or Charley's aunt""""; he does point out that V's identity is never revealed in the book.""
","""మూర్ వి ఎవరు అనే అంశాన్ని స్పష్టం చేయలేదు, దాని గురించి ఇలా చెప్పాడు, """"వి ఈవే యొక్క తండ్రి, విజ్లెర్ యొక్క తల్లి లేదా చార్లే యొక్క మేనత్త"""" కాదు; అతను పుస్తకంలో వి యొక్క నిజ స్వరూపం గురించి ఎక్కడ వివరించలేదని సూచించాడు.""
"
"""Moore has never clarified who V supposedly was, beyond stating """"that V isn't Evey's father, Whistler's mother, or Charley's aunt""""; he does point out that V's identity is never revealed in the book.""
","""మూర్ వి ఎవరు అనే అంశాన్ని స్పష్టం చేయలేదు, దాని గురించి ఇలా చెప్పాడు, """"వి ఈవే యొక్క తండ్రి, విజ్లెర్ యొక్క తల్లి లేదా చార్లే యొక్క మేనత్త"""" కాదు; అతను పుస్తకంలో వి యొక్క నిజ స్వరూపం గురించి ఎక్కడ వివరించలేదని సూచించాడు.""
"
"""Mr Murdstone appears to show signs of repentance when confronted with Copperfield's aunt, but later in the book we hear he has married another young woman and applied his old principles of """"firmness.""""""
","""Mr ముర్డ్స్టోన్ కాపర్ఫీల్డ్ మేనత్తతో ప్రతిఘటించినప్పుడు పశ్చాత్తాప సూచనలు కనిపిస్తాయి, కాని తర్వాత మనం వినే పుస్తకంలో, అతను మరొక యువతిని పెళ్ళి చేసుకుని, అతని పాత """"పట్టుదల"""" సూత్రాలు అమలు చేస్తాడు.""
"
"""Or aunt and uncle?""""""
","""""""ఆంటీ లేదా అంకుల్?""
"
"'Today, I am going to the U.S. with my mom and grandma to see my aunt.
","ఈ రోజు నేను మా అమ్మ, నానమ్మతో కలిసి మా ఆంటీని చూడ్డానికి అమెరికా వెళ్తున్నాను.
"
"(November 20, 1917 - June 28, 2010) Born in 1917 in North Wilkesboro, North Carolina, Robert Byrd was brought to West Virginia by his aunt after his mother's death when he was one year old.
","నవంబరు 20, 1917 న ఉత్తర విల్కెస్బోరో, నార్త్ కరోలినాలో జన్మించారు, రాబర్ట్ కార్లైల్ బైర్డ్ అతని తల్లి మరణం తరువాత 1 ఏళ్ళ వయస్సులో అనాధకుడయ్యాడు.
"
"- I'm going to visit my aunt next week.
","వచ్చే వారం నా మామయ్యను సందర్శించబోతున్నాను.
"
"1. n. uncle (brother of someone's father or mother, or an aunt's husband)
","cousin (n): a child of one's uncle or aunt (మన తల్లిదండ్రుల యొక్క అన్నదమ్ములు, అక్కచెల్లళ్ళ పిల్లలు - ఆడ అయినా మగ అయినా కూడా)
"
"A woman who claimed to be the mother of a teenager complained to the police that her daughter was married to a 65 year old Oman national for five lakhs paid to an aunt.
","5 లక్షలకు తన కూతుర్ని 65 ఏళ్ల ఒమన్ దేశీయుడికి ఇచ్చి కట్టబెట్టారని బాలిక తల్లి పోలీసులకు ఫిర్యాదు చేసింది.
"
"An 8-year-old daughter was staying with her aunt.
","ఎనిమిదేళ్ల కుమార్తె ద్వారక తల్లిదండ్రులతోనే ఉండేది.
"
"At age nine, she was sent to stay at her aunt's, in a village in Karnal district for a while, where she studied in a local school.
","తొమ్మిది సంవత్సరాల వయసులో, ఆమె కొంతకాలం కర్నాల్ జిల్లాలోని తన మేనత్త వద్దకు పంపబడి, అక్కడ స్థానిక పాఠశాలలో విద్యాభ్యాసం చేసింది.
"
"Bhutto's aunt, Benazir Bhutto, was twice Pakistan's prime minister before her assassination in 2007.
","బెనజీర్ భుట్టో, పాకిస్తాన్ యొక్క మాజీ ప్రధాన మంత్రి, ఆమె 2007 హత్యకు ముందు చాలాకాలం ముందు.
"
"Both her mother and aunt died from breast cancer.
","ఆమె తల్లి, అలాగే అండాశయ క్యాన్సర్ మరణించాడు.
"
"Consider planning a nice walk with your mom, volunteering with your dad, hanging out with your friend at their work one afternoon, or even babysitting for your aunt or uncle so they can get some time to themselves.
","మీ తల్లితో ఒక మంచి నడక ప్రణాళికను ప్రణాళిక చేసుకోండి, మీ తండ్రితో స్వయంసేవకంగా , ఒక మధ్యాహ్నం పనిలో మీ స్నేహితుడితో సమావేశమవ్వడం లేదా మీ తల్లిదండ్రుల కోసం బేబీకి కూడా కొంత సమయం లభిస్తుంది.
"
"Do you know the names of your aunts and uncles?
","కానీ మీ ముత్తాత, ముత్తవ్వ పేర్లు తెలుసా?
"
"Eventually in October, after sending A Clergyman's Daughter to Moore, he left for London to take a job that had been found for him by his aunt Nellie Limouzin.
","చివరకి అక్టోబర్ లో, ఎ క్లేర్జిమాన్స్ డాటర్ ను మూరే కు పంపిన తర్వాత తన ఆంటీ నేల్లీ లిమౌజిన్, చూపించిన ఉద్యోగంలో చేరటానికి లండన్ వెళ్ళాడు.
"
"Every year in mid-summer, Lord Jagannath, with his elder brother Balabhadra and sister Subhadra, goes on vacation, travelling on grand chariots, from his temple in Puri, to his aunt's place in the countryside.
","ప్రతి సంవత్సరం మధ్య వేసవిలో లార్డ్ జగన్నాథ్, తన అన్నయ్య బాలభద్ర మరియు సోదరి సుభద్రాలతో కలిసి, పూరీలోని తన ఆలయం నుండి, గ్రామాలలోని తన తోట ప్యాలెస్ వరకు, గొప్ప రథాల మీద ప్రయాణిస్తూ సెలవులో వెళుతున్నాడు.
"
"He lives with his aunt and his sister.
","అతను ఒక అనాథ మరియు అతని అమ్మమ్మ తో నివసిస్తున్నారు.
"
"He lives with his mother and his aunt.
","అతను ఒక అనాథ మరియు అతని అమ్మమ్మ తో నివసిస్తున్నారు.
"
"Her aunt is a famous doctor.
","ఆమె అంకుల్ ఒక ప్రసిద్ధ కంటి వైద్యులు.
"
"Her maternal aunt and uncle in India are also doctors and run a nursing home, while her father's siblings are doctors in the United States.
","ఆమె మేనత్త మరియు మావయ్య కూడా భారతదేశంలో డాక్టర్లు మరియు ఒక నర్సింగ్ హోం నడుపుతున్నారు, కొంతకాలం ఆమె తండ్రి యొక్క తోబుట్టువులు యునైటెడ్ స్టేట్స్ లో వైద్యులుగా ఉన్నారు.
"
"Her maternal aunt was actress Nutan, and her maternal grandmother, Shobhna Samarth, and her great-grandmother, Rattan Bai, were both involved in Hindi cinema.
","ఆమె తల్లితండ్రులు నటి నూతన్ మరియు ఆమె అమ్మమ్మ శోభన సమర్త్, మరియు ముత్తాత రత్తన్ బాయి ఇద్దరూ హిందీ సినిమాల్లో పాల్గొన్నారు.
"
"Her mother and aunt were away at work when the incident happened.
","ఈ సంఘటన జరిగిన సమయంలో వారి తల్లి, పని మీద బయటికి వెళ్లడం విశేషం.
"
"Her mother and aunts raised her.
","ఆమె తల్లి మరియు నర్స్ ఆమెను పెంచింది.
"
"Her mother, grandmother and aunts raised her.
","తల్లి తండ్రులు, ఆస్తీ, పోయినా ఆమె దాదీ ఆమెని పెంచి పెద్ద చేసింది.
"
"How's your aunt?
","ఆంటీ ఎలా ఉన్నారు?
"
"I am the aunt..
","నేను. . ఆంటీ ని.
"
"I called her aunt.
","నేను ఆంటీ అని పిలిచాను.
"
"I don't know aunt.
","నాకతనెవరో తెలియదు ఆంటీ.
"
"I have an aunt who is only 2 years older than me.
","ఉంటున్నాను. వాళ్లకు ఒక్కటే కూతురు, నా కంటే 2 సంవత్సరాలు పెద్దది.
"
"I know, aunt.
","మ్మ్మ్ తెలుసు ఆంటీ.
"
"I look at her aunt.
","నేను ఆ ఆంటీ వంకే చూస్తూ ఉన్నాను.
"
"I love you so much, aunt.
","నిన్ను చాలా ప్రేమిస్తున్నాను ఆంటీ.
"
"I miss you a lot, aunt.
","మిమ్మల్ని ఎంతో మిస్ అవుతున్నాను అంకుల్.
"
"I never saw the aunt.
","నేను ఎప్పుడు చూడలేదు చేయలేదు ఆంటీ.
"
"I not only have my mother, but a stepmother, my sister, an aunt, and a step-grandmother.
","నాకు మా అమ్మా, నాన్న, బ్రదర్, సిస్టర్ మాత్రమే కాదు. . ఓ స్టెప్ మామ్ కూడా ఉంది.
"
"I said to my aunt.
","ఆంటీ తో అన్నాను.
"
"I see my mom's eyes in my aunts eyes.
","నేను తలెత్తి అమ్మ కళ్ళల్లోకి చూసేను.
"
"I told my aunt about this.
","ఈ విషయాన్ని మా పక్కింటి ఆంటీతో చెప్పాను.
"
"I was so happy with the results, that I even gave a small gift to my aunt for recommending such a wonderful solution.
","ఫలితాలు నాకు ఎంత సంతోషం కలిగించాయంటే, ఇలాంటి అద్భుతమైన పరిష్కారం అందించినందుకు నేను మా ఆంటీకి చిన్న గిఫ్టు కూడా ఇచ్చాను.
"
"If the mother of the child is not telling the story then neither should the aunt.
","తల్లి కథ అస్తమించక పోతే పిల్ల కథ ఉదయించదు.
"
"In 1979, at his father's funeral, his aunt noted that they had heard three loud knocks on their storm door about the time his father passed away.
","1979 లో, తన తండ్రి అంత్యక్రియల సందర్భంగా , తన తల్లితండ్రులు చనిపోయే సమయానికి వారి తుఫాను తలుపు మీద మూడు పెద్ద తలుపులు విన్నారని గుర్తించారు.
"
"In the picture, left to right (My mom, me, my nana, my sister, my papa, my aunt, and my dad).
","ఈ ఫోటోలో ఉన్నది (ఎడమ నుంచి కుడికి) మా నాన్న, అమ్మ, అన్నయ్య, వదిన, మామయ్య (వదిన తండ్. . .
"
"Later, on July 28 this year, a speeding truck rammed into the car in which the victim, her two aunts and their lawyer were travelling.
","ఈ ఏడాది జూలై 28న బాధితురాలు, ఆమె బంధువులు, న్యాయవాది ప్రయాణిస్తున్న కారును ఓ ట్రక్కు ఢీకొట్టింది.
"
"My aunt bought a _____ watch last week.
","నా తండ్రి గత వారం ఒక ______ కొనుగోలు.
"
"My aunt came into my room.
","ఆంటీ నా గదిలోకి వచ్చింది.
"
"My aunt came to my room.
","ఆంటీ నా గదిలోకి వచ్చింది.
"
"My aunt didn't say anything.
","ఆంటీ ఏమి మాట్లాడలేదు.
"
"My aunt is Susana, she is 40 years old.
","ఆంటీ పేరు సుకన్య, ఆంటీ వయస్సు 40 సంవత్సరాలు ఉంటది.
"
"My aunt laughed at me.
","ఆంటీ నన్ను చూసి నవ్వింది.
"
"My aunt looked at me.
","ఆంటీ నా వైపు చూసింది.
"
"My aunt loves me very much.
","మా ఆంటీ నన్ను చాలా ప్రేమించేది.
"
"My aunt said nothing.
","చెప్తున్నాను. ఆంటీ నన్ను ఏమీ అనలేదు.
"
"My aunt smiled at me.
","ఆంటీ నన్ను చూసి నవ్వింది.
"
"My aunt was watching TV.
","ఆంటీ టీవీ చూస్తోంది.
"
"My great aunt died in 2005 from the disease.
","నా పెద్ద కూతురు సరిత 2005లో అనారోగ్యంతో చనిపోయింది.
"
"My mom and aunt are an example of this.
","Mom మరియు తాత అది ఉదాహరణకు ఉన్నాయి.
"
"My mother and aunt were happy.
","మా అమ్మ, నాన్నలిద్దరూ ఆనందించారు.
"
"On July 28 this year, a speeding truck rammed into the car in which the victim, her two aunts and their lawyer were travelling.
","ఈ ఏడాది జూలై 28న బాధితురాలు, ఆమె బంధువులు, న్యాయవాది ప్రయాణిస్తున్న కారును ఓ ట్రక్కు ఢీకొట్టింది.
"
"On March 16, 1926 he successfully launched the first liquid-fueled rocket from a field belonging to his aunt in Auburn, MA.
","మార్చి 16, 1926 నాడు ఆబర్న్, మసాచుసెట్స్ లో ఉండే తన మేనత్త పొలం నుండి తన మొట్ట మొదటి రాకెట్ ని ప్రయోగించడానికి అంతా సిద్ధం చేశాడు.
"
"Or your mother's aunt's husband?
","లేక మీ అమ్మగారి అక్కయ్య భర్తనా?
"
