eng_Latn,hin_Deva
"""""""Come,"""" grandfather calls out to her.""
","""""""इधर आ"""" चाची ने उसको बुलाया""
"
"""""""Did my grandfather know?""
","""""""क्या दादी जानती है?""
"
"""""""Did my grandfather know?""""""
","""""""क्या दादी जानती है?""
"
"""""""My grandfather died of this disease.""
","""""""इसी बीमारी से मेरे चाचा मरे थे।""
"
"""""""My grandfather has found a husband for me.""
","""""""मेरे अंकल ने मेरे लिए लड़का ढूंढ.""
"
"""""""My grandfather is at home.""""""
","""""""मेरी दादी घर में हैं ।""
"
"""""""My grandfather served in Vietnam.""
","""""""मेरे पापा ने वियतनाम में सर्विस की है।""
"
"""""""No,"""" the grandfather said.""
","""""""न,"""" दादी ने कहा।""
"
"""""""Oh grandfather. for we are going to church!""""""
",""" (""""पिताजी हमको चर्च जाना है"""")""
"
"""""""Oh, my grandfather!""""""
","""""""अरे दादी जी!""
"
"""""""What is amiss, grandfather?""""""
","""""""खब्ती क्या होता है, दादी ?""
"
"""""""Who is your grandfather?""""""
","""""""कौन है तेरा दादु?""
"
"""""""Who's your grandfather?""
","""""""कौन है तेरा दादु?""
"
"""""""Who's your grandfather?""""""
","""""""कौन है तेरा दादु?""
"
"""""""Why was grandfather angry with you?""""""
","""दादी गुस्सा क्यों कर रही हैं""""""
"
"""""""Your grandfather is gone?""""""
","""""""तुम्हारे वालिद गुज़र गये हैं?""
"
"""A letter from Asner's children was posted on his official Twitter account: """"We regret to inform you that our dear grandfather died peacefully this morning.""
","असनर के आधिकारिक ट्विटर अकाउंट में उनके बच्चों का एक नोट शामिल थाः हमें यह कहते हुए खेद हो रहा है कि हमारे प्रिय कुलपति का आज सुबह शांतिपूर्वक निधन हो गया।
"
"""Exodus 10:6, ESV: """"and they shall fill your houses and the houses of all your servants and of all the Egyptians, as neither your fathers nor your grandfathers have seen, from the day they came on earth to this day.'""""""
","10:6 और वे अपने घरों को भरने जाएगा, और अपने सेवकों के उन लोगों और सभी मिस्रवासियों कीः तो अपने पिता और पूर्वजों के रूप में कई नहीं देखा है, समय है कि वे पृथ्वी पर से उठकर, यहां तक कि इस वर्तमान दिन तक।
"
"""I said, """"I'm your grandfather.""
","""मैंने कहा, """"मैं तुम्हारी भाभी हूँ।""
"
"(3x + 7) may show the age of his grandfather.
","(iii) (3x + 7) उसकी माँ की आयु दर्शाएगा।
"
"(My grandfather was among them.)
","(मेरे पापा कर्इ लोगों के बीच थे।
"
"(My grandfather was amongst the troops.
","(मेरे पापा कर्इ लोगों के बीच थे।
"
"80 year-old grandfather
","80 साल के बुजुर्ग पिता
"
"A few minutes later grandfather took me by the hand.
","कुछ सेकेण्ड बाद दादी ने मुझे कस कर पकड़ लिया।
"
"After arriving in Sakhalin, the family lived for a short time with the relatives of the grandfather in the city of Aleksandrovsk, and then moved to the village of Rykovskoye, lived there in the apartment of a peasant, and then moved to the People's House.
","सखालिन में पहुंचने के बाद, परिवार अपने पिता के रिश्तेदारों के साथ अलेक्सांद्रोवस्क शहर में थोड़े समय के लिए रहता था, और फिर रयकोव्स्कोय गांव में चला गया, जहां वे कुछ किसानों के एक अपार्टमेंट में रहते थे, और फिर पीपुल्स हाउस चले गए।
"
"Alfonso's son, Prince Hubertus von Hohenlohe, who has skied for Mexico at the Winter Olympics, had careers as a popstar and photographer and even posed for Andy Warhol, remains proud of his father's legacy and the way his hotel set the tone for an entire region's still booming tourism industry.This was the original house that my grandfather built Max von Hohenlohe.
","अल्फोन्सो के बेटे, प्रिंस ह्यूबर्टस वॉन होहेनलोहे, जिन्होंने शीतकालीन ओलंपिक में मेक्सिको के लिए स्की किया है, एक पॉपस्टार और फोटोग्राफर के रूप में करियर था और यहां तक कि एंडी वॉरहोल के लिए भी तैयार किया गया था, अपने पिता की विरासत पर गर्व है और जिस तरह से उनके होटल ने पूरे क्षेत्र के लिए स्वर सेट किया है अभी भी फलफूल रहा पर्यटन उद्योग।
"
"Another great grandfather.
","एक और बड़ी दादी।
"
"Asked my grandfather...
","पूछा था दादी से -
"
"At the end of the message, you need to congratulate the grandfather of Claus with the upcoming holidays, wish him something good, thank for gifts and say goodbye.
","संदेश के अंत में, आपको आगामी छुट्टियों पर सांता क्लॉस को बधाई देने की ज़रूरत है, उसे कुछ अच्छा करने की शुभकामनाएं, उपहार के लिए धन्यवाद और अलविदा कहें।
"
"Benjamin Graham is considered to be the grandfather of value investing.
","बेंजामिन ग्राहम को वैल्यू निवेश का जनक माना जाता है।
"
"Every Sunday I go to my grandfather's home.
","मैं हर सोमवार अपनी दादी के घर घूमने जाता हूँ।
"
"Girl having sex with her grandfather
","युवा लड़का अपने दादी के साथ सेक्स रहा है
"
"He accused the grandfather of rape.
","उसने चाचा पर मारपीट करने का आरोप लगाया है।
"
"He got inspiration from his grandfather who himself was a footballer.
","उन्हें अपने चाचा से प्रेरणा मिली जो खुद भी एक खिलाड़ी थे।
"
"He was not my grandfather...
","वह मेरा मायका नहीं रहा...।
"
"Hinduism is considered the grandfather religion, it goes back over 10,000 B.C.
","हिंदू धर्म को दुनिया का सबसे पुराना धर्म माना जाता है लगभग १० हज़ार ईसा पूर्व
"
"His grandfather did not own any land.
","उनके पिता के पास अपनी जमीन नहीं थी।
"
"His grandfather died of cancer earlier this year.
","मेरे पिता की इस साल के शुरू में कैंसर से मौत हो गई.
"
"His grandfather is Chinese.
","उनके पिता का ओरिजन चाइनीज है।
"
"His grandfather told the tale that night.
","भाई ने बताई उस रात की कहानी
"
"His grandfather was a POW during World War II, and
","पिताजी दूसरे विश्व युद्ध में थे और वह
"
"His grandfather's voice beckoned him.
","पिता जी की आवाज ने उसे झकझोर कर रख दिया था।
"
"Home News 6-year-old girl allegedly raped by grandfather
","Home समाचार ६ वर्षीया बालिका बलात्कृत
"
"How do I write a letter to my grandfather?
","मेरी दादी को कैसे एक पत्र लिखना है?
"
"I am writing a letter to my grandfather.
","मैं अपनी दादी को एक पत्र लिख रहा हूँ।
"
"I asked my grandfather how it happened.
","मैंने पूछा चाचा ये कैसे हो गया
"
"I haven't seen my grandfather
","मैंने अपनी दादी को नहीं देखा
"
"I never knew you, grandfather,
","तुझसे मैं अनजान था बाबा,
"
"I recall my grandfather's stories.
","मुझे दादी की कहानियाँ याद हैं ।
"
"I remember my grandfather's stories.
","मुझे दादी की कहानियाँ याद हैं ।
"
"I started helping my grandfather on his farm when I was 10 years old.
","मैं 10 साल की उम्र से पहले से ही खेतों में जाकर अपने पिता की मदद करने लगा था.
"
"I'm going to go to my grandfather
","मैं अपनी दादी के लिए जाता हूँ
"
"I'm writing a letter to my grandfather.
","मैं अपनी दादी को एक पत्र लिख रहा हूँ।
"
"In his childhood his grandfather had told him a story.
","बचपन में दादी एक कथा सुनाया करती थी।
"
"In the name of grandfather
","दादी के नाम से
"
"It's your grandfather's birthday today,
","आज जन्मदिन आपका दादी,
"
"Listen to my grandfather's story.
","दादी की कहानी सुन लेते,
"
"Me & my grandfather
","मुझे & मेरी दादी
"
"My best friend's grandfather passed away today.
","मेरे सबसे अच्छे दोस्त का आज निधन हो गया।
"
"My grandfather c.
","मेरे पिता जी c.
"
"My grandfather came home on Sunday.
","रविवार को दामाद घर आया था।
"
"My grandfather can understand me.
","मेरे पिताजी मुझे समझ सकते हैं।
"
"My grandfather died in 1990
","1990 में हुई थी पिता की मौत
"
"My grandfather died just three months after I was born.
","मेरे जन्म के तीन महीने बाद ही दादी गुजर गई।
"
"My grandfather left me a lot of money in his will.
","My father left me a lot of money in his will. मेरे पिता नें अपनी वसीयत में मुझे बहुत सारे पैसे छोड़े थे।
"
"My grandfather left me some money in his will.
","My father left me a lot of money in his will. मेरे पिता नें अपनी वसीयत में मुझे बहुत सारे पैसे छोड़े थे।
"
"My grandfather lives in Alabama.
","मेरे चाचाजी अंबाला में रहते है ।
"
"My grandfather passed away 40 years ago this year.
","मेरी बहन इस साल की बात के माध्यम से चला गया 40 साल पहले.
"
"My grandfather passed away in the hospital there.
","वहाँ मेरे बड़े भाई का अस्पताल में देहांत हो गया था।
"
"My grandfather resides there.
","मेरी चाची वहीं रहती हैं।
"
"My grandfather saved me.
","दादी मुझे बचाती.
"
"My grandfather served in World War Two, and he
","पिताजी दूसरे विश्व युद्ध में थे और वह
"
"My grandfather used it.
","मेरी दादीजी इसका प्रयोग करती है।
"
"My grandfather was Joseph Szymusiak.
","अपने पिता जोसेफ था Święcicki.
"
"My grandfather was a professor of Sanskrit.
","मेरे पिताजी संस्कृत के अध्यापक थे।
"
"My grandfather was black.
","मेरी परदादी काली थीं।
"
"My grandfather was hospitalized at the time.
","मेरे पिता उस समय अस्पताल में भर्ती थे।
"
"My grandfather was in World War II and
","पिताजी दूसरे विश्व युद्ध में थे और वह
"
"My grandfather was.
",". मेरी दादी थी.
"
