eng_Latn,tel_Telu
"""""""Are you my sister-in-law?""
","""""""నువ్వు నా కన్నతల్లివా?""
"
"""Jackie Joyner-Kersee, sister-in-law of Florence Griffith-Joyner, has been called the world""""s greatest woman athlete.""
","జాకీ జోయ్నర్-కీర్సే, ఫ్లోరెన్స్ గ్రిఫ్ఫిత్-జోయ్నర్ సోదరి అత్త, ప్రపంచంలోనే అత్యుత్తమ మహిళ అథ్లెట్గా పిలవబడ్డాడు.
"
"""My English sister-in-law summed it up like this: """"Here people really do not like to hear the crying of children, right?""""""
","""నా ఇంగ్లీష్ సోదరి లో చట్టం ఈ వంటి వాటిని సారాంశాన్నిః """"ఇక్కడ పిల్లలు నిజంగా పిల్లలు క్రయింగ్ వినడానికి ఇష్టం లేదు, కుడి?""
"
"""When we can earn a livelihood by showing people our handicrafts and making them taste our food, we will not have to go out in search of jobs,"""" says Naw Roselyn, John's sister-in-law and a founding member of AKC.""
","""మా హస్తకళలను ప్రజలకు చూపించి, మా ఆహారాన్ని రుచి చూపించటం ద్వారా మేము జీవనోపాధి సంపాదించగలిగినప్పుడు, మేము ఉద్యోగాల కోసం వెతకవలసిన అవసరం లేదు కదా """"అని జాన్కి వరుసకు బావ అయిన ఎకెసి వ్యవస్థాపక సభ్యుడు నవ్ రోస్లిన్ చెప్పారు.""
"
"""You will find, too, in English that your brother's wife's father (BrWiFa) cannot be referred to directly; brother's wife's father (or sister-in-law's father) is a circumlocution rather than the kind of term that is of interest in kinship terminology.""""""
","మీ సోదరుడు యొక్క భార్య తండ్రి (BrWiFa) ప్రత్యక్షంగా సూచించబడలేదని ఆంగ్లంలో మీరు కనుగొంటారు; సోదరుడు యొక్క భార్య యొక్క తండ్రి (లేదా చెల్లెలు యొక్క తండ్రి) అనేది దైవిక పదజాలంలో ఆసక్తినిచ్చే పదం కంటే ఒక స్వరూపం .
"
"A side story concerning staying true to marriage vows is about sister-in-law kate (bonnie hunt), who is having a crisis due to the lack of romance and caring in her own marriage.
","పెళ్లికి నిజాయితీగా ఉండటానికి సంబంధించిన ఒక కథ, సోదరి లో కేట్ (బోనీ హంట్), శృంగారం లేకపోవడం మరియు తన సొంత వివాహం లో శ్రద్ధ వహిస్తున్న కారణంగా సంక్షోభం కలిగి ఉంది.
"
"A sister-in-law needs money.
","ఒక నేస్తానికి చెల్లెలి పెళ్ళికి డబ్బు కావాలి.
"
"According to Hindustan Times, Nawazuddin travelled with his mother, brother and sister-in-law in his private vehicle, and that he told reporters that he underwent medical screenings at 25 points during his travel to Budhana.
","తల్లి, సోదరుడు, బావతో కలిసి చేసిన ప్రయాణంలో 25 పాయింట్ల వద్ద మెడికల్ స్క్రీనింగ్ చేయించుకున్నానని నవాజుద్దీన్ మీడియాతో చెప్పారు.
"
"After that, she appeared in two Bengali films: a 13-minute short film, Suman , and a Bengali comedy, Dhanyee Meye (1971), as Uttam Kumar's sister-in-law.
","ఆ తర్వాత ఆమె మరో రెండు బెంగాలీ చిత్రాలలో కనిపించిందిః 13 నిమిషాల షార్ట్ సుమన్, మరియు కామెడీ ధన్యే మేయ్ (1971), ఇక్కడ ఆమె ఉత్తమ్ కుమార్ యొక్క కోడలు పాత్రను పోషించింది.
"
"Also at that time, my sister-in-law was an admirer of Diego Maradona because of the 1986 World Cup.
","ఆ సమయంలో కూడా, నా సోదరి లో చట్టం యొక్క ఆరాధకుడు డియెగో మారడోనా ఎందుకంటే 1986 ప్రపంచ కప్.
"
