eng_Latn,pan_Guru
"""""""He ain't your nephew!""""""
",""""""" ਉਹ ਤੁਹਾਡਾ ਸਮੀਹਾ ਨਹੀਂ ਹੈ!""
"
"""""""I look like Morgan Freeman's nephew,"""" Kevin said.""
","'ਮੈਂ ਮੋਰਗਨ ਫ੍ਰੀਮੈਨ ਦੇ ਭਤੀਜੇ ਵਰਗਾ ਦਿਖਦਾ ਹਾਂ,' ਕੇਵਿਨ ਨੇ ਕਿਹਾ।
"
"""""""Then he brought back all the goods, and also brought back his nephew Lot with his goods, and the women and the people.""""""
","ਉਹ ਸਾਰੇ ਮਾਲ ਧਨ ਨੂੰ, ਅਤੇ ਆਪਣੇ ਭਤੀਜੇ ਲੂਤ ਅਤੇ ਉਸ ਦੇ ਸਾਰੇ ਮਾਲ-ਧਨ ਨੂੰ ਅਤੇ ਇਸਤਰੀਆਂ ਅਤੇ ਸਾਰੇ ਬੰਦੀਆਂ ਨੂੰ ਵੀ ਮੋੜ ਲੈ ਆਇਆ।
"
"""And Richard III actually usurped the throne from his nephews - the """"Princes in the Tower"""" - whether he had them murdered or not, so can hardly be """"the last line legitimate"""" monarch, as you state.""
","""ਅਤੇ ਰਿਚਰਡ III ਨੇ ਅਸਲ ਵਿੱਚ ਆਪਣੇ ਭਤੀਜਿਆਂ - """"ਪ੍ਰਿੰਸ ਇਨ ਟਾਵਰ"""" ਤੋਂ ਗੱਦੀ ਖੋਹ ਲਈ - ਚਾਹੇ ਉਸਨੇ ਉਨ੍ਹਾਂ ਦਾ ਕਤਲ ਕੀਤਾ ਹੋਵੇ ਜਾਂ ਨਾ, ਇਸ ਲਈ ਸ਼ਾਇਦ ਹੀ """"ਆਖਰੀ ਲਾਈਨ ਜਾਇਜ਼"""" ਰਾਜਾ ਹੋ ਸਕਦਾ ਹੈ, ਜਿਵੇਂ ਤੁਸੀਂ ਕਹਿੰਦੇ ਹੋ.""
"
"""Google derived its name from the word """"googol,"""" a term coined by Milton Sirotta, nephew of the American mathematician Edward Kasner.""
","""ਗੂਗਲ ਸ਼ਬਦ ਇੱਕ ਪਨ ਤੋਂ ਆਇਆ ਹੈਃ """"ਗੋਗੋਲ"""" ਇੱਕ ਸ਼ਬਦ ਹੈ ਜੋ ਗਣਿਤ ਸ਼ਾਸਤਰੀ ਮਿਲਟਨ ਸਿਰੋਟਾ ਦੁਆਰਾ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ.""
"
"""In 2016, Sisterman's nephew found out investigators were trying to identify victims of one of America's most notorious murderers: the """"Killer Clown"""" known as John Wayne Gacy.""
","""ਸੰਨ 2016 ਵਿੱਚ, ਸਿਸਟਰਮੈਨ ਦੇ ਭਤੀਜੇ ਨੇ ਪਾਇਆ ਕਿ ਜਾਂਚਕਰਤਾ ਅਮਰੀਕਾ ਦੇ ਸਭ ਤੋਂ ਬਦਨਾਮ ਹੱਤਿਆਵਾਂ ਵਿੱਚੋਂ ਇੱਕ ਦੀ ਪੀੜਤ ਦੀ ਪਛਾਣ ਕਰਨ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰ ਰਹੇ ਹਨਃ """"ਕਿੱਲਰ ਕਲੌਨ"""" ਜੋ ਜਾਨ ਵਾਹਨ ਗੈਸੀ ਦੇ ਤੌਰ ਤੇ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ.""
"
"""In the short """"Scrooge McDuck and Money,"""" he remarks to his nephews that this money is """"just petty cash.""""""
","""ਸੰਖੇਪ ਵਿੱਚ ਸਕਰੂਜ ਮੈਕਡਕ ਅਤੇ ਪੈਸਾ, ਉਸਨੇ ਆਪਣੇ ਭਤੀਜਿਆਂ ਨੂੰ ਟਿੱਪਣੀ ਕੀਤੀ ਕਿ ਇਹ ਪੈਸਾ """"ਸਿਰਫ ਮਾਮੂਲੀ ਨਕਦ"""" ਹੈ.""
"
"""In the short Scrooge McDuck and Money, he remarks to his nephews that this money is """"just petty cash.""""""
","""ਸੰਖੇਪ ਵਿੱਚ ਸਕਰੂਜ ਮੈਕਡਕ ਅਤੇ ਪੈਸਾ, ਉਸਨੇ ਆਪਣੇ ਭਤੀਜਿਆਂ ਨੂੰ ਟਿੱਪਣੀ ਕੀਤੀ ਕਿ ਇਹ ਪੈਸਾ """"ਸਿਰਫ ਮਾਮੂਲੀ ਨਕਦ"""" ਹੈ.""
"
"""In the short Scrooge McDuck and Money, he remarks to his nephews that this money is """"just petty money.""""""
","""ਸੰਖੇਪ ਵਿੱਚ ਸਕਰੂਜ ਮੈਕਡਕ ਅਤੇ ਪੈਸਾ, ਉਸਨੇ ਆਪਣੇ ਭਤੀਜਿਆਂ ਨੂੰ ਟਿੱਪਣੀ ਕੀਤੀ ਕਿ ਇਹ ਪੈਸਾ """"ਸਿਰਫ ਮਾਮੂਲੀ ਨਕਦ"""" ਹੈ.""
"
"""Pliny's dates are pinned to the """"eruption of Mount Vesuvius in AD 79 and a statement of his nephew that he died in his 56th year, which would put his birth in AD 23 or 24.""
","ਪਲੀਨੀ ਦੀਆਂ ਜਨਮ ਮਰਨ ਦੀਆਂ ਤਾਰੀਖ਼ਾਂ, 79 ਈ. ਵਿੱਚ ਵੇਸੂਵੀਅਸ ਪਹਾੜ ਦੇ ਫੱਟਣ ਤੋਂ ਅਤੇ ਆਪਣੇ ਨੈਫਿਊ ਦੇ ਇੱਕ ਬਿਆਨ ਤੋਂ ਅਨੁਮਾਨਿਤ ਹਨ ਜਿਸ ਵਿੱਚ ਉਸ ਨੇ ਕਿਹਾ ਸੀ ਕਿ ਉਹ ਆਪਣੇ 56 ਵੇਂ ਸਾਲ ਵਿੱਚ ਅਕਾਲ ਚਲਾਣਾ ਕਰ ਗਿਆ ਸੀ, ਜਿਸ ਤੋਂ ਉਸ ਦਾ ਜਨਮ 23 ਜਾਂ 24 ਈਸਵੀ ਬਣਦਾ ਹੈ।
"
"""Scrooge displays a strict code of honor, insisting that the only valid way to acquire wealth is to """"earn it square,"""" and he goes to great lengths to thwart those (sometimes even his own nephews) who gain money dishonestly.""
","""ਸਕਰੂਜ ਇੱਕ ਸਖਤ ਆਦਰਸ਼ ਜ਼ਾਬਤਾ ਪ੍ਰਦਰਸ਼ਤ ਕਰਦਾ ਹੈ, ਇਸ ਗੱਲ ਤੇ ਜ਼ੋਰ ਦਿੰਦਾ ਹੈ ਕਿ ਦੌਲਤ ਪ੍ਰਾਪਤ ਕਰਨ ਦਾ ਇੱਕੋ ਇੱਕ ਜਾਇਜ਼ ਤਰੀਕਾ """"ਇਸ ਨੂੰ ਵਰਗ ਕਮਾਉਣਾ"""" ਹੈ, ਅਤੇ ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ (ਕਈ ਵਾਰ ਆਪਣੇ ਭਤੀਜਿਆਂ ਨੂੰ) ਜੋ ਕਿ ਬੇਈਮਾਨੀ ਨਾਲ ਪੈਸਾ ਕਮਾਉਂਦੇ ਹਨ ਨੂੰ ਨਾਕਾਮ ਕਰਨ ਲਈ ਬਹੁਤ ਜ਼ਿਆਦਾ ਕੋਸ਼ਿਸ਼ ਕਰਦਾ ਹੈ.""
"
"+All children who live in your home, including foster children, grandchildren, nieces and nephews, and the children of friends (even if they are living with you temporarily).
","ਤੁਹਾਡੇ ਘਰ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਸਾਰੇ ਬੱਚੇ, ਫੋਸਟਰ ਬੱਚਿਆਂ, ਪੋਤੇ-ਪੋਤਿਆਂ/ਨਾਤੇ-ਨਾਤੀਆਂ, ਭਤੀਜੇ ਅਤੇ ਭਤੀਜਿਆਂ, ਅਤੇ ਦੋਸਤਾਂ ਦੇ ਬੱਚੇ (ਭਾਵੇਂ ਉਹ ਤੁਹਾਡੇ ਕੋਲ ਅਸਥਾਈ ਤੌਰ 'ਤੇ ਹੀ ਰਹੇ ਹੋਣ) ।
"
"1975 - King Faisal of Saudi Arabia is assassinated by his nephew.
","1975 - ਸਾਊਦੀ ਅਰਬ ਦੇ ਬਾਦਸ਼ਾਹ ਫ਼ੈਸਲ ਨੂੰ ਉਸ ਦੇ ਇੱਕ ਭਤੀਜੇ ਨੇ ਗੋਲੀ ਮਾਰ ਕੇ ਮਾਰ ਦਿਤਾ।
"
"5Abram took his wife Sarai, his nephew Lot, all the possessions they had accumulated, and the servants he had acquired while living in Haran.
","5 ਅਬਰਾਮ ਨੇ ਆਪਣੇ ਨਾਲ ਆਪਣੀ ਪਤਨੀ ਸਾਰਈ, ਆਪਣੇ ਭਤੀਜੇ ਲੂਤ, ਸਾਰੇ ਗੁਲਾਮਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਚੀਜ਼ਾਂ ਨੂੰ ਲੈ ਲਿਆ ਜਿਹੜੀਆਂ ਉਸਨੇ ਹਾਰਾਨ ਵਿੱਚ ਹਾਸਿਲ ਕੀਤੀਆਂ ਸਨ।
"
"5Abram took his wife Sarai, his nephew Lot, all the possessions they had amassed and the people they had acquired in Haran.
","5 ਅਬਰਾਮ ਨੇ ਆਪਣੇ ਨਾਲ ਆਪਣੀ ਪਤਨੀ ਸਾਰਈ, ਆਪਣੇ ਭਤੀਜੇ ਲੂਤ, ਸਾਰੇ ਗੁਲਾਮਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਸਾਰੀਆਂ ਚੀਜ਼ਾਂ ਨੂੰ ਲੈ ਲਿਆ ਜਿਹੜੀਆਂ ਉਸਨੇ ਹਾਰਾਨ ਵਿੱਚ ਹਾਸਿਲ ਕੀਤੀਆਂ ਸਨ।
"
