eng_Latn,mal_Mlym
"""""""I never thought I would bury my niece.""
",""""""" എന്റെ പൊന്നുമ്മാ ഇങ്ങളെ പണ്ണാൻ പറ്റുന്ന് ഞാൻ ഒരിക്കലും കരുതിയില്ല. . . '""
"
"""""""I was at a protest in Jamia Milia and I am not Atal Bihari Vajpayee's niece,"""" Alvi told Alt News.""
","'ജാമിയ മിലിയ സർവകലാശാലയിലെ പ്രതിഷേധത്തിലുണ്ടായിരുന്നു താൻ, അടൽ ബിഹാരി വാജ്പേയിയുടെ അനന്തരവളല്ല ഞാൻ'- ആൽവി ആൾട്ട് ന്യൂസിനോട് പറഞ്ഞു.
"
"""""""She... she is not my daughter, but my niece.""
",""" """"ഇവൾ. . ഇവൾ എന്റെ മരുമകളല്ല, മോളാണ്.""
"
"""""""Some of them though have passed on the work to their next generation, to their daughters, nieces or granddaughters - and still live in the house,"""" says Rahul.""
","""""""അവരിൽ ചിലർ അടുത്ത തലമുറയ്ക്ക്, അതായത് പുത്രിമാർക്കോ, മറ്റു ബന്ധുക്കൾക്കോ, ചെറുപുത്രിമാർക്കോ, തൊഴിൽ കൈമാറിയിട്ടുണ്ടെങ്കിലും ഇപ്പോഴും അതേ വീട്ടിൽത്തന്നെ ജീവിക്കുന്നു,"""" രാഹുൽ പറഞ്ഞു.""
"
"""""""Too Much and Never Enough: How My Family Created the World's Most Dangerous Man"""" is a new book by Mary L. Trump, who is President Trump's niece.""
","'Too Much and Never Enough-How my family created the world's most dangerous man' എന്ന പുസ്തകത്തിൽ തന്റെ ഇളയച്ഛൻ എന്ന അബദ്ധപ്പഞ്ചാംഗത്തിന്റെ യഥാർഥ മുഖം തുറന്നുകാട്ടുകയാണ് ട്രംപിന്റെ സഹോദരപുത്രിയായ മേരി എൽ. ട്രംപ്. തിരഞ്ഞെടുപ്പിനു മുന്നിൽനിൽക്കുന്ന അമേരിക്കയിൽ ഒരു തീബോംബുപോലെയാണ് മേരിയുടെ പുസ്തകം വന്നുവീണത്.
"
"""""""We have so many questions,"""" his niece, Chloe Arnold, told Fox News.""
","ഞങ്ങൾക്ക് നിരവധി ചോദ്യങ്ങളുണ്ട്'- വാലസിന്റെ ബന്ധു ക്ലോ അർനോൾഡ് ഫോക്സ് ന്യൂസിനോടു പറഞ്ഞു.
"
"""He unsuccessfully went to court to try to obtain a court order that prevented the publication of a book by the president's niece, Mary Trump, entitled """"Too Much and Never Enough: How My Family Created the Most Dangerous Man in the World.""""""
","""""""എത്ര കിട്ടിയിട്ടും മതിയാകാത്തവൻഃ ലോകത്തെ ഏറ്റവും ആപത്കാരിയായ മനുഷ്യനെ എൻറെ കുടുംബം സൃഷ്ടിച്ചതെങ്ങനെ"""" എന്ന പേരിലുള്ള മേരി ട്രംപിന്റെ പുസ്തകം പുറത്തിറങ്ങുന്നത് തടയാനായി കുടുംബം കോടതിയെ സമീപിച്ചുവെങ്കിലും അതു ഫലപ്രദമായില്ല.""
"
"""Mary Trump, the niece of President Donald Trump, has written a tell-all book, """"Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,"""" about what she calls a """"dysfunctional"""" and """"dangerous"""" Trump family.""
","മേരി ട്രംപിൻറെ 'Too Much and Never Enough: How My Family Created the World's Most Dangerous Man' എന്ന പുസ്തകം അത്യാഗ്രഹം, വിശ്വാസവഞ്ചന, ആന്തരിക പിരിമുറുക്കം എന്നിവയുടെ നീണ്ട ചരിത്രം തന്നെ രേഖപെടുത്തുന്നു.
"
"""Mary Trump, the president's niece, is scheduled to release """"Too Much and Never Enough: How My Family Created the World's Most Dangerous Man"""" next Tuesday.""
","ലോകത്തിലെ ഏറ്റവും അപകടകാരിയായ മനുഷ്യനെ എങ്ങനെ എന്റെ കുടുംബം സൃഷ്ടിച്ചു എന്ന കഥപറയുന്ന മേരി എൽ ട്രംപിന്റെ 'Too Much and Never Enough: How My Family Created the World's Most Dangerous Man' എന്ന പുസ്തകം ജൂലൈയിൽ റിലീസ് ചെയ്യാനാണ് ഉദ്ദേശിക്കുന്നത്.
"
"""The niece, Mary Trump, will release the book, """"Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,"""" on July .""
","ലോകത്തിലെ ഏറ്റവും അപകടകാരിയായ മനുഷ്യനെ എങ്ങനെ എന്റെ കുടുംബം സൃഷ്ടിച്ചു എന്ന കഥപറയുന്ന മേരി എൽ ട്രംപിന്റെ 'Too Much and Never Enough: How My Family Created the World's Most Dangerous Man' എന്ന പുസ്തകം ജൂലൈയിൽ റിലീസ് ചെയ്യാനാണ് ഉദ്ദേശിക്കുന്നത്.
"
"""Through her mother, she was a niece of tennis champions Valentine Gill """"Vallie"""" Hall III (1867-1934) and Edward Ludlow Hall (1872-1932).""
","അതുപോലെതന്നെ മാതാവു വഴി അവർ പ്രസിദ്ധ ടെന്നീസ് ചാമ്പ്യനായിരുന്ന വാലന്റൈൻ ഗിൽ ഹാൾ III (1867-1934), എഡ്വേർഡ് ലഡ്ലോ (1872-1932) എന്നിവരുടെയും അനന്തരവളായിരുന്നു.
"
"About 22 years ago, I lost my baby niece in an accident.
","22 വർഷങ്ങൾക്ക് മുൻപ് ഒരു അപകടത്തിൽ എനിക്ക് എന്റെ ഭാര്യയെ നഷ്ടപ്പെട്ടു. കുട്ടികളൊന്നുമായില്ലായിരുന്നു. അന്ന് എന്റെ ഈ കാലും നഷ്ടമായി.
"
"About Domenico Berardi's relatives: Away from Berardi's immediate family, not much is known about his maternal and paternal grandparents while his uncles, aunts, cousins, nephews and nieces are yet to be identified.
","ഡൊമെനിക്കോ ബെരാർഡിയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബെരാർഡിയുടെ അടുത്ത കുടുംബത്തിൽ നിന്ന് അകലെ, അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ ഇനിയും തിരിച്ചറിഞ്ഞിട്ടില്ലെങ്കിലും അദ്ദേഹത്തിന്റെ മാതൃ-പിതാമഹന്മാരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല.
"
"About Donyell Malen's relatives: Away from Malen's immediate family life, he has a grandfather and grandmother identified as Joop and Marian respectively while there are no existing records of his uncles, aunts, cousins, nieces and nephews at the time of writing.
","ഡോണെൽ മാലന്റെ ബന്ധുക്കളെക്കുറിച്ച്ഃ മാലന്റെ ഉടനടി കുടുംബജീവിതത്തിൽ നിന്ന് അകലെ, അദ്ദേഹത്തിന് ഒരു മുത്തച്ഛനും മുത്തശ്ശിയും യഥാക്രമം ജൂപ്പ്, മരിയൻ എന്ന് തിരിച്ചറിഞ്ഞിട്ടുണ്ട്, അതേസമയം എഴുതിയ സമയത്ത് അമ്മാവന്മാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും നിലവിലില്ല.
"
"About Emi Buendia's Relatives: Regarding Buendia's larger family tree, his paternal and maternal grandparents are one of football's unravelled mysteries while there are no available records of his uncles, aunts, nieces and nephews.
","ഭൂമി ബ്യൂണ്ടിയയുടെ ബന്ധുക്കളെക്കുറിച്ച്ഃ ബ്യൂണ്ടിയയുടെ വലിയ കുടുംബവീക്ഷണത്തെ സംബന്ധിച്ചിടത്തോളം, അദ്ദേഹത്തിന്റെ പിതൃ, മാതൃ മുത്തശ്ശിമാർ ഫുട്ബോളിന്റെ അനാവരണം ചെയ്യപ്പെടുന്ന രഹസ്യങ്ങളിലൊന്നാണ്, അതേസമയം അദ്ദേഹത്തിന്റെ അമ്മാവന്മാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നും ലഭ്യമല്ല.
"
"About Mario Balotelli Relatives: There is no denying the fact that Balotelli has uncles, aunts, cousins, nephews and nieces regardless of the fact that he doesn't identify with them.
","ബന്ധുക്കൾ ബോൾട്ടെല്ലിയെ കുറിച്ച് ബന്ധുക്കൾഃ ബാലോട്ടെല്ലിക്ക് അമ്മാവൻ, അമ്മായിയപ്പൻ, ബന്ധുക്കൾ, മരുമക്കളും മരുമക്കളും ഉണ്ട് എന്ന വസ്തുത നിരസിച്ചുമില്ല എന്ന വസ്തുത നിരസിക്കുന്നില്ല.
"
"According to witnesses, the 35-year-old rapper was defending his niece from unwanted advances when the January 6 altercation occurred at the intersection of Chippewa St. and South Broadway.
","സാക്ഷികൾ അനുസരിച്ച്, 35 വയസ്സായ റാപ്പർ ചിപ്വവേ സെന്റ്, സൌത്ത് ബ്രോഡ്വേ തുടങ്ങിയ സ്ഥലങ്ങളിൽ ജനുവരി ആറിനുണ്ടായ അബദ്ധങ്ങൾ സംഭവിച്ചപ്പോൾ അനാവശ്യമായ മുന്നേറ്റങ്ങളിൽ നിന്ന് തന്റെ അനന്തരവുകൾ പ്രതിരോധിക്കപ്പെട്ടു.
"
"Again, neither have his uncles, aunts, cousins, nieces and nephews been identified.
","വീണ്ടും, അദ്ദേഹത്തിന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
