eng_Latn,hin_Deva
"""""""Yes sister, and thank you brother-in-law.""""""
","""""""जी, सप्रेम आभार आपका बहन """"""
"
"""An official said in a statement to Mid-Day, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""हालांकि, एक पुलिस अधिकारी ने दैनिक को बताया, """"हमारे पास इस बात के पर्याप्त सबूत हैं कि वह (राज कुंद्रा) हर चीज से निपट रहे थे, उनके साले को सिर्फ नाम के लिए लंदन स्थित कंपनी का मालिक बनाया गया था।""
"
"""An official told the daily, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""हालांकि, एक पुलिस अधिकारी ने दैनिक को बताया, """"हमारे पास इस बात के पर्याप्त सबूत हैं कि वह (राज कुंद्रा) हर चीज से निपट रहे थे, उनके साले को सिर्फ नाम के लिए लंदन स्थित कंपनी का मालिक बनाया गया था।""
"
"""And when my large brother-in-law asked her """"how"""" she recruited him to move the furniture!""
",""""""" और जब मेरे बड़े भाभी ने पूछा कि """"उसने कैसे"""" फर्नीचर पर जाने के लिए उसे भर्ती कराया!""
"
"""Daniela Ruah once paid a visit to Queen Latifa on The Queen Latifah Show and discussed the """"awkward"""" fact that she has to kiss her brother-in-law on the show.""
","डेनिएला रुआह ने एक बार रानी लतीफा की यात्रा की रानी लतीफा शो और 'अजीब' तथ्य यह है कि वह इस शो पर उसके भाई जी को चूमने के लिए है पर चर्चा की।
"
"""Genesis 38:8: """"Then Judah said to Onan, """"Lie with your brother's wife and fulfill your duty to her as a brother-in-law to produce offspring for your brother.""""""""""
","""38:8 इसलिये, यहूदा अपने बेटे ओनान से कहाः """"अपने भाई की पत्नी दर्ज, और उसके साथ सहयोगी, ताकि आप अपने भाई को वंश बढ़ा सकता है।""
"
"""However, the police quoted as saying, """"We have enough evidence that he (Raj Kundra) was dealing with everything, his brother-in-law was made the owner of the London-based company just for namesake.""""""
","""हालांकि, एक पुलिस अधिकारी ने दैनिक को बताया, """"हमारे पास इस बात के पर्याप्त सबूत हैं कि वह (राज कुंद्रा) हर चीज से निपट रहे थे, उनके साले को सिर्फ नाम के लिए लंदन स्थित कंपनी का मालिक बनाया गया था।""
"
"""My brother-in-law is from Balti, I brought in just the last year exactly what you write about, so after the first test I quickly dropped out of the """"appeal"""" and hustled for a more solemn occasion.""
","""मेरा दामाद बलती से है, पिछले साल वह सिर्फ वही लिखता है जो आप लिखते हैं, इसलिए पहली कोशिश के बाद मैंने जल्दी से इसे """"सर्कुलेशन"""" से निकाल लिया और एक अधिक महत्वपूर्ण अवसर के लिए छिप गया।""
"
"(4) Either husband or brother-in-law
","(4) या तो पति या ब्रदर-इन-लॉ
"
"(Photo taken by my brother-in-law)
","(मेरे भाई द्वारा लिया गया फोटो)
"
"A brother-in-law and other friends of his were present too.
","उनके साथ उनके पति और अन्य दोस्त भी मौजूद थे।
"
"A&B- A is brother-in-law of B
","A&B- A ,B का ब्रदर-इन-लॉ है
"
"And a brother-in-law too!
","और एक विरक्त संन्यासी भी!
"
"Asim's brother-in-law Omar Riyaz's girlfriend additionally tossed Asim's title, saying that he was not simply Shruti's boyfriend, but in addition lived in a live-in relationship along with her.
","आसिम के भाई उमर रियाज की गर्लफ्रेंड ने भी आसिम का नाम उछालते हुए कहा कि वो श्रुति के सिर्फ बॉयफ्रेंड ही नहीं थे, बल्कि उसके साथ लिव-इन रिलेशन में भी रहे।
"
"Birthday wishes for brother-in-law and close friends
","दोस्त और भाई के लिए बर्थडे wishes
"
"But his brother-in-law Aayush Sharma came, he said.
","लेकिन उनके साले आयुष शर्मा आए, उन्होंने कहा।
"
"Cases have been registered on Thursday against Shahvaiz, his mother, brother, sister, brother-in-law under the Muslim Women (Protection of Rights on Marriage) Act and the Dowry Prohibition Act, the police said.
","पुलिस ने बताया कि बृहस्पतिवार को शाहवाज, उसकी मां, भाई, बहन और एक रिश्तेदार पर मुस्लिम महिला (विवाह अधिकार संरक्षण) अधिनियम-2०19 और दहेज निषेध अधिनियम की धाराओं के तहत मुकदमा दर्ज किया गया है।
"
"Christmas gift ideas for brother-in-law
","समलैंगिक भाई के लिए क्रिसमस उपहार विचारों
"
"Congratulations on your birthday, brother-in-law!
","बधाई हो आपको, भैया दूज का त्योहार!
"
"Does your brother-in-law speak English?
","क्या आपके भाई लोग अंग्रेजी जानते हैं ?
"
"During that time, Baradar set up a madrassa in Kandahar with his former commander and reputed brother-in-law, Mohammad Omar.
","उसी दौरान बरादर ने अपने प्रतिष्ठित पूर्व कमांडर एवं रिश्तेदार मोहम्मद उमर के साथ मिलकर कंधार में मदरसा स्थापित किया।
"
"Earlier, when Rathour had applied for NCA batting consultant and U-19 batting coach's position, his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of the U-19 selection committee.
","राठौड़ ने इससे पहले एनसीए बल्लेबाजी सलाहकार और अंडर-19 बल्लेबाजी कोच पद के लिए आवेदन किया था, लेकिन उनका आवेदन रोककर रखा गया था क्योंकि उनके रिश्तेदार आशीष कपूर अंडर-19 चयन समिति के अध्यक्ष हैं ।
"
"Eid is a festival of mutual union and brother-in-law.
","ईद आपसी मिलन और भाईचारे का त्योहार है।
"
"G Janardhana Reddy and his brother-in-law B V Srinivas Reddy, managing director of the Obalapuram Mining Company (OMC), were arrested by CBI on September 5, 2011 from Ballari and brought to Hyderabad.
","जी जनार्दन रेड्डी और ओबलापुरम माइनिंग कंपनी (ओएमसी) के प्रबंध निदेशक उनके संबंधी बी वी श्रीनिवास रेड्डी को सीबीआई ने पांच सितंबर 2011 को बेल्लारी से गिरफ्तार किया था।
"
"G Janardhana Reddy and his brother-in-law B V Srinivas Reddy, managing director of the Obalapuram Mining Company (OMC), were arrested by CBI on September 5, 2011, from Ballari and brought to Hyderabad.
","जी जनार्दन रेड्डी और ओबलापुरम माइनिंग कंपनी (ओएमसी) के प्रबंध निदेशक उनके संबंधी बी वी श्रीनिवास रेड्डी को सीबीआई ने पांच सितंबर 2011 को बेल्लारी से गिरफ्तार किया था।
"
"Getting my ass ready for my brother-in-law
","मेरी चुत भाई के लिए तैयार
"
"Go ahead she isn t looking real brother-in-law and sister-in-law 0525271192
","जाना आगे वह isn t तलाश में असली भाई और बहन 0525271192 भाई / पूर्व प्रेमिका
"
"Gopal Lal allegedly purchased the lady to marry his brother-in-law in Sikar.
","गोपाल लाल ने कथित तौर पर सीकर में अपने साले से शादी करने के लिए लड़की को खरीदा था।
"
"Gopal Lal had reportedly bought the girl to marry her to his brother-in-law in Sikar.
","गोपाल लाल ने कथित तौर पर सीकर में अपने साले से शादी करने के लिए लड़की को खरीदा था।
"
"He had earlier applied for NCA batting consultant and U-19 batting coach's position but his application was put on hold as his brother-in-law Ashish Kapoor is the chairman of the U-19 selection committee.
","उन्होंने पहले एनसीए के बल्लेबाजी सलाहकार और अंडर -19 बल्लेबाजी कोच के पद के लिए आवेदन किया था, लेकिन उनके भाई आशीष कपूर अंडर -19 चयन समिति के अध्यक्ष थे।
"
