eng_Latn,mar_Deva
"""""""I do not have any brother or paternal cousin brother in Nagpur,"""" Loya's father said.""
","""""""मला नागपुरात कुणीही भाऊ वा चुलतभाऊ नाही,"""" लोयांचे वडील सांगतात, """"या अहवालावर कुणी सही केला हा आणखी एक अनुत्तरित प्रश्न आहे.""
"
"""""""I do not have any brother or paternal cousin brother in Nagpur,"""" Loya's father told Caravan.""
","""""""मला नागपुरात कुणीही भाऊ वा चुलतभाऊ नाही,"""" लोयांचे वडील सांगतात, """"या अहवालावर कुणी सही केला हा आणखी एक अनुत्तरित प्रश्न आहे.""
"
"""""""I do not have any brother or paternal cousin brother in Nagpur,"""" Loya's father told the magazine.""
","""""""मला नागपुरात कुणीही भाऊ वा चुलतभाऊ नाही,"""" लोयांचे वडील सांगतात, """"या अहवालावर कुणी सही केला हा आणखी एक अनुत्तरित प्रश्न आहे.""
"
"""""""Mum panicked when my cousin told us my brother had been arrested.""
","""""""जेव्हा माझ्या चुलतभावाने आम्हाला सांगितले की माझ्या भावाला अटक केली गेली तर आई घाबरून गेली.""
"
"""""""My brother and male cousins were always allowed to go out and have lots of friends but for my sister and me, that just wasn't a normal thing for us.""""""
","""""""माझा भाऊ व पुरुष चुलतभावांना नेहमी बाहेर जाण्याची परवानगी होती आणि बरीच मैत्री होती पण माझ्या बहिणीची आणि माझ्यासाठी ती आमच्यासाठी सामान्य गोष्ट नव्हती.""
"
"""""""My cousin really loves you.""
","""""""चाची तुझ्यावर खरंच प्रेम करतात.""
"
"""""""Some of my cousins [in London and India], thanks to the surgery, were able to give the community what they expect.""
","""""""माझ्या काही चुलतभावांनी [लंडन आणि भारतात] शस्त्रक्रियेमुळे आभार मानले की त्यांनी समाजाला जे काही हवे होते ते दिले.""
"
"""Chances are you've already heard people say things like, """"Bob's cousin made a killing in XYZ company, and now he's got another hot tip..."""" or """"Watch out with stocks--you can lose your shirt in a matter of days!""""""
","""आपण यापूर्वी असे म्हटले आहे की लोक ऐकत आहेत, """"बॉबच्या चुलतभावाने XYZ कंपनीत हत्या केली होती आणि आता त्याला आणखी एक चांगले टिप मिळाले आहे . . . """" किंवा """"साठा घेऊन जा - आपण एखाद्या गोष्टीत आपला शर्ट गमावू शकता.""
"
"""Chances are you've already heard people say things like, """"Bob's cousin made a killing in XYZ company, and now he's got another hot tip..."""" or """"Watch out with stocks-you can lose your shirt in a matter of days!""""""
","""आपण यापूर्वी असे म्हटले आहे की लोक ऐकत आहेत, """"बॉबच्या चुलतभावाने XYZ कंपनीत हत्या केली होती आणि आता त्याला आणखी एक चांगले टिप मिळाले आहे . . . """" किंवा """"साठा घेऊन जा - आपण एखाद्या गोष्टीत आपला शर्ट गमावू शकता.""
"
"""Do you know my cousin in Chicago?""""""
","""""""अगं ती शिकागोची माझी मैत्रीण तुला माहिताय ना?""
"
"""Newly divorced Amirah, who is a 24-year-old professional, shares that: """"My father felt a pang of guilt ... On reflection, he felt that he should never have agreed to his brother's request of getting me married to my first cousin, who is uneducated.""""""
","""नव्याने घटस्फोटीत अमीरा, जो एक २ professional वर्षाचा व्यावसायिक आहे, तो म्हणतोः """"माझ्या वडिलांना अपराधीपणाची भावना वाटली. . . प्रतिबिंबित झाल्यावर, त्याला असे वाटले की माझ्या पहिल्या चुलतभावाशी लग्न करावे म्हणून माझ्या भावाच्या विनंतीवर त्याने कधीही सहमत होऊ नये, अशिक्षित कोण आहे.""
"
"""The bastion of mid-1990s so-called """"heroin chic"""" had become the face of its slightly older, more respectable cousin: mid-2000s festival chic.""
","""१ 1990 1990 ० च्या दशकाच्या मध्यभागी बुरुज त्याच्या किंचित जुने, अधिक सन्माननीय चुलतभावाः 2000 चे उत्सव असलेल्या तथाकथित """"हेरोइन चिक"""" चेहरा बनला.""
"
"'My cousin and his son died in front of me'
","'मेरे सामने मार डाला बेटे व बहू को'
"
"(d) Aunt and cousin.
","(D) भतीजी तथा चाचा
"
"1836 - Edgar Allan Poe marries his 13-year-old cousin Virginia.
","१८३६ - २७ वर्षाच्या एडगर ऍलन पोने त्याच्या १३ वर्षाच्या चुलत बहिणीशी लग्न केले.
"
"1840: Queen Victoria marries her cousin, Prince Albert of Saxe-Coburg and Gotha.
","१८४० - इंग्लंडची राणी व्हिक्टोरिया व सॅक्स-कोबर्ग-गोथाच्या राजकुमार आल्बर्टचे लग्न.
"
"Abhishek told that he had taken a lot of caps from Mumbai to London for him and his cousins.
","अभिषेकने सांगितले की तो मुंबई व लंडनला त्याच्यासाठी आणि त्याच्या चुलतभावांसाठी भरपूर कॅप्स घेऊन गेला होता.
"
"Actor Emraan Hashmi and director Mohit Suri are her maternal cousins.
","अभिनेता इमरान हाश्मी आणि डायटर मोहित सूरी हे तिचे आते भाऊ आहेत.
"
"Actor Emraan Hashmi and director Mohit Suri are her paternal cousins.
","अभिनेता इमरान हाश्मी आणि डायटर मोहित सूरी हे तिचे आते भाऊ आहेत.
"
"After receiving information about her husband's second marriage, the woman, when she arrived in her in-laws, revealed that her husband had married her cousin.
","पतीच्या दुसऱ्या लग्नाची माहिती मिळाल्यानंतर जेव्हा ती महिला तिच्या सासरच्या घरी पोहोचली तेव्हा तिच्या नवऱ्याने आपल्या एका नातेवाईकाच्या बहिणीशी लग्न केल्याचं समजलं.
"
"Ali had arrived in England after a perilous journey lasting more than a year, and went to live with a distant cousin in Oxford.
","जवळपास एक वर्षापेक्षा जास्त काळ खडतर प्रवास करून अली अखेरीस इंग्लंडमध्ये दाखल झाला होता आणि ऑक्सफर्डमध्ये त्याच्या दूरच्या नातेवाईकासोबत राहत होता.
"
"As soon as he reached the airport, Salman introduced him to his cousin brother.
","ते एअरपोर्टवर पोहोचताच, सलमानने आपल्या दूरच्या भावाशी तिची ओळख करुन दिली.
"
"As soon as they reached the airport, Salman apparently introduced her to his cousin brother.
","ते एअरपोर्टवर पोहोचताच, सलमानने आपल्या दूरच्या भावाशी तिची ओळख करुन दिली.
"
"Blueberries are a particularly rich source of pterostilbene; although it is found in grapes, pterostilbene (unlike its cousin resveratrol) doesn't survive the wine-making process.
","ब्लूबेरी हे विशेषतः टेरोस्टिलबेनचे समृद्ध स्त्रोत आहेत; जरी ते द्राक्षेमध्ये आढळले असले तरी टेरोस्टिलबेन (त्याच्या चुलतभावाच्या रेसवेराट्रॉलच्या विपरीत) वाइन बनविण्याच्या प्रक्रियेत टिकत नाही.
"
"Both are distant cousins.
","ते दोघेही दूरचे नातेवाईक आहेत.
"
"Both of them are his cousins.
","यापैकी दोघे त्यांचे नातू आहेत.
"
"Centered on the second generation of the Rajwade family, the story revolves around four young cousins who live in the same house but have different lives and career aspirations.
","राजवाडे परिवाराच्या दुस-या पिढीवर लक्ष केंद्रित करणारी, चित्रपटाची पटकथा चार युवा चुलत भावंडांच्या अवतीभोवती फिरते, जे एकाच घरात राहतात, पण त्यांचे जीवन व करिअर प्रेरणा वेगवेगळया आहेत.
"
"Edgar Allan Poe married his 13-year-old cousin.
","मे १६ - २७ वर्षाच्या एडगर ऍलन पोने त्याच्या १३ वर्षाच्या चुलत बहिणीशी लग्न केले.
"
"Einstein later married his second cousin, Elsa.
","यानंतर आईनस्टाईन यांनी आपला दुसरं विवाह एलिसा लोवेस बरोबर केला.
"
"Elon Musk is the largest SolarCity shareholder, owning 22 percent of the company run by his cousin, Lyndon Rive.
","एलन मस्क हा सर्वात मोठा सोलरसिटी भागधारक असून त्याचा चुलतभावा, लिंडन रिव्ह चालवणा 22्या XNUMX% कंपनीचा मालक आहे.
"
"Example: He is married to her cousin.
","उदाहरणे: तिने आपल्या मित्राशीच लग्न केले.
"
"Experts are still trying to figure out the exact source of the virus, but research indicates that it likely originated in bats and was transmitted to an intermediate host before jumping to people - just like its cousin that caused the 2003 SARS epidemic.
","तज्ञ अद्याप विषाणूचे अचूक स्त्रोत शोधण्याचा प्रयत्न करीत आहेत, परंतु संशोधनात असे दिसून आले आहे की याची उत्पत्ती बॅटमध्ये झाली आहे आणि लोकांकडे उडी मारण्यापूर्वी मध्यंतरी होस्टमध्ये प्रसारित केले गेले होते - जसे त्याच्या चुलतभावाप्रमाणेच 2003 च्या सार्स साथीच्या आजाराला कारणीभूत ठरले.
"
"Experts space still trying to figure out the exact source of the virus, but research indicates that it likely originated in bats and also was sent to an intermediary host prior to jumping to people -- just like its cousin that led to the 2003 SARS epidemic.
","तज्ञ अद्याप विषाणूचे अचूक स्त्रोत शोधण्याचा प्रयत्न करीत आहेत, परंतु संशोधनात असे दिसून आले आहे की याची उत्पत्ती बॅटमध्ये झाली आहे आणि लोकांकडे उडी मारण्यापूर्वी मध्यंतरी होस्टमध्ये प्रसारित केले गेले होते - जसे त्याच्या चुलतभावाप्रमाणेच 2003 च्या सार्स साथीच्या आजाराला कारणीभूत ठरले.
"
"February 10 - Queen Victoria of the United Kingdom marries her cousin Prince Albert of Saxe-Coburg and Gotha.
","फेब्रुवारी १० - ईंग्लंडची राणी व्हिक्टोरिया व सॅक्स-कोबर्ग-गोथाच्या राजकुमार आल्बर्टचे लग्न.
"
"February 10 - Queen Victoria of the United Kingdom of Great Britain and Ireland marries her cousin Prince Albert of Saxe-Coburg and Gotha.
","फेब्रुवारी १० - ईंग्लंडची राणी व्हिक्टोरिया व सॅक्स-कोबर्ग-गोथाच्या राजकुमार आल्बर्टचे लग्न.
"
"First cousins are close relatives.
","पहिला कप्पा जवळच्या नातेवाईकांचा असतो.
"
"For the past ten years my cousin
","माझा मामेभाऊ गेली दहा वर्षे
"
"Former Pakistani cricketer Saeed Anwar married his cousin, Lubna, a doctor by profession, in March 1996.
","माजी पाकिस्तानी क्रिकेटपटू सईद अन्वरने मार्च 1996 मध्ये आपली चुलतबहिण लुबनाशी लग्न केले जी पेशाने डॉक्टर आहे.
"
"He got married to a distant cousin.
","दूरच्या चुलत भावाशी तिचं लग्न लावून देण्यात आलं.
"
"He is a cousin of Ram Vilas Paswan.
","ते राम विलास पासवान यांचे बंधू आहेत.
"
"He is a cousin of former New Zealand cricket captains Martin Crowe and Jeff Crowe.
","मार्टिन क्रो आणि जेफ क्रो या न्यूझीलंडच्या माजी कर्णधारांचा तो चुलतबंधू.
"
"He is the cousin of Congress vice president Rahul Gandhi.
","कॉंग्रेसचे उपाध्यक्ष राहुल गांधी यांचे चूलत भाऊ आहेत.
"
"He provided the initial concept and financial capital for SolarCity, which his cousins Lyndon and Pete Rive co-founded in 2006.
","SolarCity साठी एलोन यांनी आरंभिक संकल्पना आणि आर्थिक भांडवल पुरवले, त्यांचे चुलतभाऊ लिंडन आणि पीटर रिव्ह यांनी सन 2006 मध्ये एकत्र येऊन SolarCity ची स्थापना केली.
"
"He was a cousin of Oliver Cromwell.
","तो ऑलिव्हर क्रॉमवेलाचा दुसरा मुलगा होता.
"
"He was also the first cousin of ex-prime minister Zulfiqar Ali Bhutto.
","माजी पंतप्रधान झुल्फिकार अली भुत्तो यांचे ते जवळचे मित्र होते.
"
"He was first cousin of Oliver Cromwell.
","तो ऑलिव्हर क्रॉमवेलाचा दुसरा मुलगा होता.
"
