eng_Latn,ory_Orya
"""""""Then Judah said to Onan, 'Join with your brother's wife and do your duty by her as a brother-in-law, and provide offspring for your brother.'""""""
","""""""ଏହାପରେ ଯିହୁଦା ଏରର ଭାଇ ଓନନକୁ କହିଲେ, ତୁମ୍ଭେ ତୁମ୍ଭର ଭାଇର ସ୍ତ୍ରୀ ସହିତ ସହବାସ କର ।""
"
"""""""Then they bought around an acre in the village and moved back,"""" says Mukesh Mohite, her brother-in-law.""
","""""""ତାପରେ ସେମାନେ ଗ୍ରାମରେ ଏକ ଏକର୍ ଜମି କିଣିଲେ ଓ ଗ୍ରାମକୁ ଫେରିଗଲେ,"""" ବୋଲି କହେ ମୁକେସ୍ ମୋହିତ୍, ତାଙ୍କର ଦେଢଶୁର।""
"
"""""""We adopted my brother-in-law's daughter, but my husband wants his own child, that too a son, so he refuses to use condoms as ASHA tai suggests, and refuses to stop drinking,"""" says Geeta.""
","""""""ଆମେ ମୋ ଭିଣୋଇଙ୍କ ଝିଅକୁ ପୋଷ୍ୟ ସନ୍ତାନ ରୂପେ ଗ୍ରହଣ କରିଥିଲୁ, କିନ୍ତୁ ମୋ ସ୍ୱାମୀ ନିଜର ପିଲା ଚାହିଁଲେ, ତାହା ପୁଣି ଗୋଟିଏ ପୁଅ, ତେଣୁ ସେ ଆଶା ତାଇଙ୍କ ପରାମର୍ଶ ଅନୁଯାୟୀ କଣ୍ଡୋମ ବ୍ୟବହାର କରିବାକୁ ମନା କରିଦେଲେ ଏବଂ ମଦ ପିଇବା ମଧ୍ୟ ଛାଡ଼ିଲେ ନାହିଁ,"""" ଗୀତା କୁହନ୍ତି ।""
"
"A few days later her brother-in-law had also fallen ill due to Covid.
","ପତିଙ୍କର ସଂକ୍ରମିତ ହେବାର କିଛି ଦିନ ପରେ ସେ ମଧ୍ୟ କୋଭିଡରେ ଆକ୍ରାନ୍ତ ହୋଇଥିଲେ।
"
"A few years ago my sister and brother-in-law faced similar situation.
","କିଛି ବର୍ଷ ତଳେ ମୁଁ ଆଉ ମୋ ଭାଇ ଭଉଣୀ ଏ ଦୁର୍ଦ୍ଦଶା ଭୋଗିଥିଲୁ ।
"
"Aayush Sharma is the brother-in-law of Salman Khan.
","ଆୟୁଷ ଶର୍ମା ସଲମାନ ଖାନଙ୍କ ଭିଣୋଇ ଅଟନ୍ତି ।
"
"Aayush' brother-in-law Salman Khan is producing this film.
","ସଲମାନଙ୍କ ଭାଇ ଅରବାଜ ଖାନ ଏହି ଚଳଚ୍ଚିତ୍ର ନିର୍ମାଣ କରୁଛନ୍ତି।
"
"Although both of them are rarely seen together, yet this brother-in-law pair is known by all in Bollywood.
","ଯଦିଓ ଦୁଇଜଣ ସାଥିରେ ବହୁତ କମ ହିଁ ନଜର ଆସନ୍ତି, କିନ୍ତୁ ଏହା ସତ୍ତ୍ୱେ ମଧ୍ୟ ବଲିଉଡ଼ର ଏହି ଶାଳୀ ଭିଣୋଇଙ୍କ ଯୋଡ଼ି ବହୁତ ପ୍ରସିଦ୍ଧ ଅଟନ୍ତି ।
"
"Arjun Rampal's brother-in-law charged for molesting an air hostess
","ଏୟାର୍ ହୋଷ୍ଟେସ୍ଙ୍କୁ ଅସଦାଚରଣ କଲେ ଅର୍ଜୁନ ରାମପାଲଙ୍କ ଭିଣୋଇ
"
"Ayush Sharma is Salman Khan's brother-in-law, husband of his sister Arpita Khan.
","ଆୟୁଷ ଶର୍ମାଃ ସଲମାନ ଖାନଙ୍କ ଭିଣୋଇ; ତାଙ୍କ ଭଗିନୀ ଅର୍ପିତାଙ୍କ ପତି।
"
"Famous actor Naseeruddin Shah is Sikri's former brother-in-law.
","ବିଶିଷ୍ଟ ଅଭିନେତା ନସିରୁଦ୍ଦିନ ଶାହ ହେଉଛନ୍ତି ସୁରେଖାଙ୍କର ପୂର୍ବତନ ଭିଣୋଇ ।
"
"Guru's brother-in-law, 35-year-old Vaman Digha, was taken to two small hospitals near their village on April 23 before the family came to ReVera.
","ପରିବାର ରେଭେରା ଆସିବା ପୂର୍ବରୁ ଗୁରୁଙ୍କ ଭିଣୋଇ, ୩୫ ବର୍ଷୀୟ ବାମନ ଦିଘାଙ୍କୁ ୨୩ ଏପ୍ରିଲରେ ସେମାନଙ୍କ ଗାଁ ପାଖରେ ଥିବା ଦୁଇଟି ଛୋଟ ଡାକ୍ତରଖାନାକୁ ନିଆଯାଇଥିଲା।
"
