eng_Latn,kan_Knda
"""""""A cousin of mine who was a casualty surgeon in Manhattan tells me that he and his colleagues had a one-word nickname for bikers: Donors.""
","ಮ್ಯಾನ್ಹ್ಯಾಟನ್ನಲ್ಲಿರುವ ಒಂದು ಅಪಘಾತ ಶಸ್ತ್ರಚಿಕಿತ್ಸಕರಾಗಿದ್ದ ನನ್ನ ಸೋದರಸಂಬಂಧಿ ನನಗೆ ಮತ್ತು ಅವನ ಸಹೋದ್ಯೋಗಿಗಳಿಗೆ ಬೈಕರ್ಗಳಿಗಾಗಿ ಒಂದು-ಪದದ ಉಪನಾಮವನ್ನು ಹೊಂದಿದ್ದಾನೆ ಎಂದು ಹೇಳುತ್ತಾನೆಃ ದಾನಿಗಳು.
"
"""""""A cousin of mine who was a casualty surgeon in Manhattan tells me that he and his colleagues had a one-word nickname for bikers: Donors.""""""
","ಮ್ಯಾನ್ಹ್ಯಾಟನ್ನಲ್ಲಿರುವ ಒಂದು ಅಪಘಾತ ಶಸ್ತ್ರಚಿಕಿತ್ಸಕರಾಗಿದ್ದ ನನ್ನ ಸೋದರಸಂಬಂಧಿ ನನಗೆ ಮತ್ತು ಅವನ ಸಹೋದ್ಯೋಗಿಗಳಿಗೆ ಬೈಕರ್ಗಳಿಗಾಗಿ ಒಂದು-ಪದದ ಉಪನಾಮವನ್ನು ಹೊಂದಿದ್ದಾನೆ ಎಂದು ಹೇಳುತ್ತಾನೆಃ ದಾನಿಗಳು.
"
"""""""According to Vanessa's cousin Laila Laine, there was no prenuptial agreement.""
","[೧೭೧] ವೆನೆಸ್ಸಳ ಚಿಕ್ಕಪ್ಪನ ಮಗಳು ಲೈಲಾ ಲೈನೆ ಪ್ರಕಾರ, ವಿವಾಹ ಪೂರ್ವ ಒಪ್ಪಂದ ಯಾವುದೂ ಇರಲಿಲ್ಲ.
"
"""""""According to the complainant, on December 1 last year, when the girl was returning home in Fareedpur, Abrar, along with his cousins Maisur and Irshad, tried to forcibly convert her religion for 'nikaah'.""
","'ದೂರಿನ ಪ್ರಕಾರ, 2019ರ ಡಿಸೆಂಬರ್ 1ರಂದು ಫರೀದ್ಪುರ್ನಲ್ಲಿರುವ ತನ್ನ ಮನೆಗೆ ಯುವತಿ ವಾಪಸ್ಸಾಗುವ ಸಂದರ್ಭದಲ್ಲಿ ಅಬ್ರಾರ್ ಖಾನ್ ಮತ್ತು ಆತನ ಸಂಬಂಧಿಗಳಾದ ಮೈಸುರ್, ಇರ್ಷಾರ್ ಮದುವೆಗಾಗಿ ಆಕೆಯನ್ನು ಇಸ್ಲಾಂಗೆ ಮತಾಂತರವಾಗಲು ಬಲವಂತ ಮಾಡಿದರು ಎಂದು ಆರೋಪಿಸಲಾಗಿದೆ.
"
"""""""How many cousins does he have?""""""
","""""""ಒಟ್ಟ ಎಷ್ಟ ಮಂದಿ ಮೊಮ್ಮಕ್ಕಳು ?""
"
"""""""However, less widely known is a pride of lions, a murder of crows (as well as their cousins the rooks and ravens), an exaltation of doves and, presumably because they look so wise, a parliament of owls.""
","""""""ಆದಾಗ್ಯೂ, ಕಡಿಮೆ ವ್ಯಾಪಕವಾಗಿ ತಿಳಿದಿರುವ ಸಿಂಹಗಳ ಒಂದು ಹೆಮ್ಮೆ, ಕಾಗೆಗಳ ಕೊಲೆ (ಹಾಗೆಯೇ ಅವರ ಸೋದರ ರಾಕ್ಷಿಗಳು ಮತ್ತು ರಾವೆನ್ಗಳು), ಪಾರಿವಾಳಗಳು ಒಂದು ಉದಾತ್ತತೆ ಮತ್ತು, ಅವು ಬುದ್ಧಿವಂತವಾಗಿ ಕಾಣುವ ಕಾರಣ, ಗೂಬೆಗಳ ಸಂಸತ್ತು.""
"
"""""""I left the house with my family members and my cousin ... they just haven't been doing the right thing.""
","""""""ನನ್ನ ಮನೆಯ ಸದಸ್ಯರು ಮತ್ತು ನನ್ನ ಸೋದರಸಂಬಂಧಿಗಳೊಂದಿಗೆ ನಾನು ಮನೆಯಿಂದ ಹೊರನಡೆದಿದ್ದೇನೆ ಅವರು ಸರಿಯಾದ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ.""""""
"
"""""""I was just thinking that since we're cousins, I'd try to get along with them like relatives normally would.""
","'ನಾವು ಸೋದರಸಂಬಂಧಿಗಳಾಗಿರುವುದರಿಂದ, ಸಂಬಂಧಿಕರಂತೆ ನಾನು ಅವರೊಂದಿಗೆ ಬೆರೆಯಲು ಪ್ರಯತ್ನಿಸುತ್ತೇನೆ ಎಂದು ನಾನು ಯೋಚಿಸುತ್ತಿದ್ದೆ.
"
"""""""I would never do something like this,"""" Gomez said, adding he did not try to kill his cousin, """"and least of all David, 'Big Papi.' """"""
","""""""ನಾನು ಈ ರೀತಿ ಏನನ್ನೂ ಮಾಡುವುದಿಲ್ಲ"""" ಎಂದು ಗೊಮೆಜ್ ಹೇಳಿದರು, ಅವನು ತನ್ನ ಸೋದರಸಂಬಂಧಿಯನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಲಿಲ್ಲ, ಮತ್ತು ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಡೇವಿಡ್, 'ಬಿಗ್ ಪಾಪಿ.""
"
"""""""I would never do something like this,"""" Gomez said, adding that he did not try to kill his cousin, """"and least of all David, 'Big Papi'.""""""
","""""""ನಾನು ಈ ರೀತಿ ಏನನ್ನೂ ಮಾಡುವುದಿಲ್ಲ"""" ಎಂದು ಗೊಮೆಜ್ ಹೇಳಿದರು, ಅವನು ತನ್ನ ಸೋದರಸಂಬಂಧಿಯನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಲಿಲ್ಲ, ಮತ್ತು ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಡೇವಿಡ್, 'ಬಿಗ್ ಪಾಪಿ.""
"
"""""""I would never do something like this,"""" Gomez said, adding that he did not try to kill his cousin, """"and least of all David, 'Big Papi.""""'""
","""""""ನಾನು ಈ ರೀತಿ ಏನನ್ನೂ ಮಾಡುವುದಿಲ್ಲ"""" ಎಂದು ಗೊಮೆಜ್ ಹೇಳಿದರು, ಅವನು ತನ್ನ ಸೋದರಸಂಬಂಧಿಯನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಲಿಲ್ಲ, ಮತ್ತು ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಡೇವಿಡ್, 'ಬಿಗ್ ಪಾಪಿ.""
"
"""""""I would never do something like this,"""" Gomez said, adding that he did not try to kill his cousin, """"and least of all David, 'Big Papi.'""""""
","""""""ನಾನು ಈ ರೀತಿ ಏನನ್ನೂ ಮಾಡುವುದಿಲ್ಲ"""" ಎಂದು ಗೊಮೆಜ್ ಹೇಳಿದರು, ಅವನು ತನ್ನ ಸೋದರಸಂಬಂಧಿಯನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಲಿಲ್ಲ, ಮತ್ತು ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಡೇವಿಡ್, 'ಬಿಗ್ ಪಾಪಿ.""
"
"""""""I would never do something like this,"""" Gómez said, adding that he did not try to kill his cousin, """"and least of all David, 'Big Papi.'""""""
","""""""ನಾನು ಈ ರೀತಿ ಏನನ್ನೂ ಮಾಡುವುದಿಲ್ಲ"""" ಎಂದು ಗೊಮೆಜ್ ಹೇಳಿದರು, ಅವನು ತನ್ನ ಸೋದರಸಂಬಂಧಿಯನ್ನು ಕೊಲ್ಲಲು ಪ್ರಯತ್ನಿಸಲಿಲ್ಲ, ಮತ್ತು ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಡೇವಿಡ್, 'ಬಿಗ್ ಪಾಪಿ.""
"
"""""""In 2011, a cousin's marriage fell apart within three months and his wife accused him and our entire family of beating her and demanding dowry from her.""
","""""""2011ರಲ್ಲಿ ನನ್ನ ಸೋದರ ಸಂಬಂಧಿಯೊಬ್ಬನ ವಿವಾಹ ಕೇವಲ ಮೂರು ತಿಂಗಳಲ್ಲಿ ಮುರಿದು ಬಿದ್ದಾಗ ಆತನ ಪತ್ನಿ ತನ್ನ ಪತಿ ಹಾಗೂ ಆತನ ಇಡೀ ಕುಟುಂಬದ ವಿರುದ್ಧ ದೂರು ದಾಖಲಿಸಿ ಆಕೆಗೆ ಹಿಂಸೆ ನೀಡಿದ ಆರೋಪ ಹೊರಿಸಿದ್ದಳು.""
"
"""""""In several cases, farmers don't buy these inputs, they borrow it,"""" says Badhe's 24-year-old cousin, Khandu Pote.""
","""""""ಹಲವಾರು ಸಂದರ್ಭಗಳಲ್ಲಿ, ರೈತರು ಈ ಕೃಷಿ ಸಂಬಂಧಿ ವಸ್ತುಗಳನ್ನು ಖರೀದಿಸುವುದಿಲ್ಲ, ಅವರು ಅದನ್ನು ಸಾಲವಾಗಿ ಪಡೆಯುತ್ತಾರೆ"""" ಎಂದು ಬಧೆ ಅವರ 24 ವರ್ಷದ ಸೋದರಸಂಬಂಧಿ ಖಂಡು ಪೋಟೆ ಹೇಳುತ್ತಾರೆ.""
"
"""""""In the mid-1970s, bin Laden was married to his first cousin (a normal convention among traditional Muslims), a Syrian woman from his mother's family.""
","1970 ರ ದಶಕದ ಮಧ್ಯಭಾಗದಲ್ಲಿ, ಬಿನ್ ಲಾಡೆನ್ ಅವರ ಮೊದಲ ಸೋದರಸಂಬಂಧಿ (ಸಾಂಪ್ರದಾಯಿಕ ಮುಸ್ಲಿಮರ ಸಾಮಾನ್ಯ ಸಭೆ) ವಿವಾಹವಾದರು, ಅವರ ತಾಯಿಯ ಕುಟುಂಬದಿಂದ ಸಿರಿಯಾದ ಮಹಿಳೆ.
"
