eng_Latn,tel_Telu
"""""""And she has to stay strong for SJ,"""" he added, referring to his 2-year-old nephew, Sutton Jr., whom Angela welcomed with Tennyson.""
","మరియు ఆమె SJ కోసం బలంగా ఉండాలి, అతను తన 2 సంవత్సరాల మేనల్లుడు సుట్టన్ జూనియర్ను ప్రస్తావిస్తూ, ఏంజెలా టెన్నిసన్తో స్వాగతం పలికాడు.
"
"""""""As for you, nephew, if you were in my will, I'd disinherit you!""""""
","""""""మీ కోసం, మేనల్లుడు, మీరు నా సంకల్పంలో ఉన్నట్లయితే, నేను నిన్ను తొలగిస్తాను!""
"
"""""""Had this outbreak occurred during the SP government, there would have been a competition between the uncle and nephew (SP president Akhilesh Yadav and his uncle Shivpal Singh Yadav) as to who should grab how much without caring for the poor and how to give contracts (for different works during the pandemic) to which mafia,"""" he said.""
","""ఎస్పి ప్రభుత్వ కాలంలో కరోనా వ్యాప్తి సంభవించి ఉంటే, పేదలను పట్టించుకోకుండా ఎవరికి కాంట్రాక్ట్లు ఎలా ఇవ్వాలి అనే విషయంలో మామ, మేనల్లుడు (ఎస్పి అధ్యక్షుడు అఖిలేష్ యాదవ్, అతని మామ శివపాల్ సింగ్ యాదవ్) మధ్య ఏ మాఫియాకు ఇవ్వాలనే దానిపై పోటీ ఉండేది (మహమ్మారి సమయంలో వివిధ పనుల కోసం) """" అంటూ పేర్కొన్నారు.""
"
"""""""He has been fortunate to have my nephew or one of my children on his shoulders in every game he has played,"""" the 28-year-old added.""
",""""""" అతను ప్రతి ఆటలాగే అదృష్టవంతుడు అతను నా మేనల్లుడు లేదా నా పిల్లలలో ఒకరిని అతని భుజాలపై వేసుకున్నాడు, """"28 ఏళ్ల ఆటగాడు జోడించాడు.""
"
"""""""He was fortunate as every game he has been to he has had my nephew or one of my kids on his shoulders,"""" the 28-year-old player added.""
",""""""" అతను ప్రతి ఆటలాగే అదృష్టవంతుడు అతను నా మేనల్లుడు లేదా నా పిల్లలలో ఒకరిని అతని భుజాలపై వేసుకున్నాడు, """"28 ఏళ్ల ఆటగాడు జోడించాడు.""
"
"""""""He was lucky because in every game he played he had my nephew or one of my children on his shoulders,"""" added the 28-year-old.""
",""""""" అతను ప్రతి ఆటలాగే అదృష్టవంతుడు అతను నా మేనల్లుడు లేదా నా పిల్లలలో ఒకరిని అతని భుజాలపై వేసుకున్నాడు, """"28 ఏళ్ల ఆటగాడు జోడించాడు.""
"
"""""""He's our nephew.""
","""""""ఇతను మా దాయాది విన్సెంట్.""
"
"""""""I haven't gotten to see my niece and my nephew either, so, we're really looking forward to [Easter] weekend so we can spend time with the whole entire family,"""" Mowry-Hardrict said.""
","నేను నా మేనకోడలు మరియు నా మేనల్లుడిని చూడటానికి సంపాదించలేదు, కాబట్టి, మేము నిజంగా [ఈస్టర్] వారాంతం కోసం ఎదురు చూస్తున్నాము, కాబట్టి మేము మొత్తం కుటుంబంతో సమయాన్ని గడపవచ్చు, మౌరీ-హార్డ్రిక్ట్ చెప్పారు.
"
"""""""My nephew died at the hands of the police.""
","""""""పోలీసులు జరిపిన కాల్పుల్లోనే నా తమ్ముడు చనిపోయాడు.""
"
"""""""Obviously my nieces and nephew, they didn't ask for this ,"""" he said in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
"""""""Obviously my nieces and nephew, they didn't ask for this,"""" he pronounced in 2015.""
","'సహజంగానే నా మేనకోడళ్ళు, మేనల్లుడు, వారు దీనిని అడగలేదు , 'అతను 2015 లో చెప్పాడు.
"
