eng_Latn,ory_Orya
"""""""Wasn't your cousin married?""""""
","""ତୋ' ସ୍ବାମୀ ବରଜୁ ନାହିଁ """"?""
"
"""Divya 'S sister wrote on Facebook, """"I have to tell with great sadness that my cousin sister Divya Chaukse has died of cancer at a very young age.""
","ସେହିଭଳି ଦିବ୍ୟାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ସୋମ୍ୟା ନିଜର ଫେସବୁକ୍ ପେଜ୍ ରେ ଲେଖିଛନ୍ତି, 'ମତେ ଅତ୍ୟନ୍ତ ଦୁଃଖର ସହ ଜଣାଇବାକୁ ପଡୁଛି କି, ମୋ ଭଉଣୀ ଦିବ୍ୟା ଚୌକସେ୍ଙ୍କର କ୍ୟାନସର କାରଣରୁ ଖୁବ୍ କମ ବୟସରେ ଦେହାନ୍ତ ହୋଇଛି।
"
"""Divya's sister Soumya wrote on Facebook: """"I have to say with great sadness that my cousin Divya Choksey died today at a very young age due to cancer.""
","ସେହିଭଳି ଦିବ୍ୟାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ସୋମ୍ୟା ନିଜର ଫେସବୁକ୍ ପେଜ୍ ରେ ଲେଖିଛନ୍ତି, 'ମତେ ଅତ୍ୟନ୍ତ ଦୁଃଖର ସହ ଜଣାଇବାକୁ ପଡୁଛି କି, ମୋ ଭଉଣୀ ଦିବ୍ୟା ଚୌକସେ୍ଙ୍କର କ୍ୟାନସର କାରଣରୁ ଖୁବ୍ କମ ବୟସରେ ଦେହାନ୍ତ ହୋଇଛି।
"
"""Her cousin sister Soumya wrote on Facebook, """"I have to tell with great sadness that my cousin Divya has died today at a very young age due to cancer.""
","ସେହିଭଳି ଦିବ୍ୟାଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ସୋମ୍ୟା ନିଜର ଫେସବୁକ୍ ପେଜ୍ ରେ ଲେଖିଛନ୍ତି, 'ମତେ ଅତ୍ୟନ୍ତ ଦୁଃଖର ସହ ଜଣାଇବାକୁ ପଡୁଛି କି, ମୋ ଭଉଣୀ ଦିବ୍ୟା ଚୌକସେ୍ଙ୍କର କ୍ୟାନସର କାରଣରୁ ଖୁବ୍ କମ ବୟସରେ ଦେହାନ୍ତ ହୋଇଛି।
"
"A Pakistani man married two cousins of his own.
","ପାକିସ୍ତାନର ଜଣେ ବ୍ୟକ୍ତି ନିଜ ଦାଦାଙ୍କ ଦୁଇ ଝିଅଙ୍କୁ ବିବାହ କରିଛନ୍ତି।
"
"According to the police, Harika was married to her cousin Rishi Kumar, 26, who worked in a private company and they lived in Rock Town Colony in LB Nagar.
","ପୁଲିସ୍ ସୂତ୍ରରୁ ପ୍ରକାଶ, ଏଲ୍ବି ନଗରରର ଟାଉନ୍ କଲୋନିରେ ରହୁଥିବା ଜଣେ ବେସରକାରୀ ଚାକିରିଆ ରିଶି କୁମାର (୨୬) କୁ ହରିକା ବିବାହ କରିଥିଲେ।
"
"Ananya Panday's cousin Alanna Panday is a social media influencer
","ଅନନ୍ୟା ପାଣ୍ଡେଙ୍କ ସମ୍ପର୍କୀୟା ଭଉଣୀ ଆଲାନା ପାଣ୍ଡେ ଜଣେ ସୋସିଆଲ୍ ମିଡି଼ଆ ପ୍ରଭାବକାରୀ (ଇନଫ୍ଲୁଏନ୍ସର୍) ।
"
"Another of his cousins, North Korea's most powerful, Zhang Jong Thi-chi, was sentenced to death in 2013 on charges of sedition.
","ତାଙ୍କର ଆଉ ଜଣେ କକା ଏବଂ ଉତ୍ତର କୋରିଆର ସବୁଠାରୁ ଶକ୍ତିଶାଳୀ ଥିବା ଜାଙ୍ଗ ଜୋଙ୍ଗ ଥାଏକ୍ଙ୍କୁ ଦେଶଦ୍ରୋହ ଅଭିଯୋଗରେ ୨୦୧୩ ମସିହାରେ ମୃତ୍ୟୁ ଦଣ୍ଡ ଦିଆଯାଇଛି ।
"
"As per the reports of police, Harika was married to her cousin, Rishi Kumar, 26, a private employee and they were living in Rock Town Colony in LB Nagar.
","ପୁଲିସ୍ ସୂତ୍ରରୁ ପ୍ରକାଶ, ଏଲ୍ବି ନଗରରର ଟାଉନ୍ କଲୋନିରେ ରହୁଥିବା ଜଣେ ବେସରକାରୀ ଚାକିରିଆ ରିଶି କୁମାର (୨୬) କୁ ହରିକା ବିବାହ କରିଥିଲେ।
"
"Bollywood star Shah Rukh Khan's cousin Nurjahan is contesting for Pakistan's upcoming parliamentary election.
","ବଲିଉଡ୍ ତାରକା ଶାହରୁଖ ଖାଁଙ୍କ ସମ୍ପର୍କୀୟ ଭଉଣୀ ନୁର୍ ଜେହାନ୍ ପାକିସ୍ତାନ ସାଧାରଣ ନିର୍ବାଚନରେ ପ୍ରତିଦ୍ୱନ୍ଦ୍ୱିତା କରୁଛନ୍ତି।
"
