eng_Latn,hin_Deva
"""""""He isn't even my cousin.""
","""""""वो मेरे चाचा भी नहीं हैं।""
"
"""""""I don't understand how anyone in Washington cannot know normal people, their friends, families, cousins who are going through this,"""" Kathleen Fox, a New York-based producer who's been out of work during the pandemic, told the Post.""
","""""""मुझे समझ में नहीं आता कि वाशिंगटन में कोई भी सामान्य लोगों, उनके दोस्तों, परिवारों, चचेरे भाइयों को कैसे नहीं जान सकता है, जो इससे गुजर रहे हैं,"""" कैथलीन फॉक्स, एक न्यूयॉर्क स्थित निर्माता, जो महामारी के दौरान काम से बाहर है, ने पोस्ट को बताया ।""
"
"""""""I don't understand how anyone in Washington cannot know normal people, their friends, families, cousins who are going through this,"""" Kathleen Fox, a producer in New York who has struggled to find work, told the Washington Post.""
","""""""मुझे समझ में नहीं आता कि वाशिंगटन में कोई भी सामान्य लोगों, उनके दोस्तों, परिवारों, चचेरे भाइयों को कैसे नहीं जान सकता है, जो इससे गुजर रहे हैं,"""" कैथलीन फॉक्स, एक न्यूयॉर्क स्थित निर्माता, जो महामारी के दौरान काम से बाहर है, ने पोस्ट को बताया ।""
"
"""""""I don't understand how anyone in Washington cannot know normal people, their friends, families, cousins who are going through this,"""" said Kathleen Fox, a producer in New York whose past work has been recognized with a prestigious Peabody Award but who has struggled to find work after the pandemic upended her industry. [...]""
","""""""मुझे समझ में नहीं आता कि वाशिंगटन में कोई भी सामान्य लोगों, उनके दोस्तों, परिवारों, चचेरे भाइयों को कैसे नहीं जान सकता है, जो इससे गुजर रहे हैं,"""" कैथलीन फॉक्स, एक न्यूयॉर्क स्थित निर्माता, जो महामारी के दौरान काम से बाहर है, ने पोस्ट को बताया ।""
"
"""""""I don't understand how anyone in Washington cannot know normal people, their friends, families, cousins who are going through this,"""" said Kathleen Fox, a producer in New York whose past work has been recognized with a prestigious Peabody Award but who has struggled to find work after the pandemic upended her industry.""
","""""""मुझे समझ में नहीं आता कि वाशिंगटन में कोई भी सामान्य लोगों, उनके दोस्तों, परिवारों, चचेरे भाइयों को कैसे नहीं जान सकता है, जो इससे गुजर रहे हैं,"""" कैथलीन फॉक्स, एक न्यूयॉर्क स्थित निर्माता, जो महामारी के दौरान काम से बाहर है, ने पोस्ट को बताया ।""
"
"""""""I'm getting there, cousin.""
","""""""मैं आ रहा हूं, भइया।""
"
"""""""In a raid on Monday night, we picked up Deb's cousin from the Naktala area and another 52-year-old man from the northern part of the city.""
","""अधिकारी ने बताया, """"सोमवार रात की छापेमारी में, हमने नकताला इलाके से देब के रिश्तेदार और शहर के उत्तरी हिस्से से एक और 52 वर्षीय व्यक्ति को पकड़ा।""
"
"""""""Let me tell you something, cousin.""
","""""""एक बात बताऊं चाचा.""
"
"""""""My cousin called me.""
","""""""मेरे पूर्व ने मुझे बुलाया।""
"
"""""""My cousin works there, he will get me a job there.""""""
","""""""मेरे जीजा वहाँ मुझे काम दिला देंगे।""
"
"""""""No cousin.""
","""""""नहीं चाची।""
"
"""""""So what'd your cousin say?""""""
","""""""आपके चाचा जी क्या कहते हैं?""
"
"""""""What shall I do, cousin, now?"""" she asked.""
","""""""अब मुझे क्या करना चाहिए चाचा जी,"""" मैंने पूछा_""
"
"""""""When I was 13 my cousin got married and my.""
","""""""जब मैं 13 वर्ष की थी तब मेरे घरवालों ने मेरी शादी कर दी थी।""
"
"""""""With my cousin.""""""
","""""""मेरे मामाजी के पास.""
"
"""""""Yeah, he was my cousin.""
","""""""जी हाँ वो मेरे शौहर थे।""
"
"""Although in saying that the advent of the lithium-ion battery has transformed these 18V saws into something a lot more powerful than previous versions and some of them are genuine full-bore 6.5"""" beasts what can compete with their cousins.""
","हालांकि यह कहते हुए कि लिथियम-आयन बैटरी के आगमन ने इन 18V आरी को पिछले संस्करणों की तुलना में बहुत अधिक शक्तिशाली बना दिया है और उनमें से कुछ वास्तविक पूर्ण-बोर 6.5 'जानवर हैं जो अपने चचेरे भाइयों के साथ प्रतिस्पर्धा कर सकते हैं।
"
"""And we'll adopt a child with a disability, like Down syndrome; my cousin has that,"""" Max said.""
","""और हम एक अक्षम बच्चा गोद लेंगे, जैसे डाउन सिंड्रोम से पीड़ित कोई बच्चा; मेरे कजिन को डाउन सिंड्रोम है,"""" मैक्स ने कहा।""
"
"""CORVALLIS, Ore. - For a half-million years, Mount Hood has towered over the landscape, but unlike some of its cousins in Oregon's Cascade Mountains and many other volcanoes around the Pacific """"Rim of Fire,"""" it doesn't have a history of large, explosive eruptions.""
","""डेढ़ मिलियन वर्षों के लिए, माउंट हूड परिदृश्य पर हावी हो गया है, लेकिन ओरेगन के कैस्केड पर्वत और प्रशांत के अन्य कई ज्वालामुखी के आसपास के अपने चचेरे भाइयों के विपरीत """"रिम ऑफ फायर,"""" इसमें बड़े, विस्फोटक विस्फोटों का इतिहास नहीं है।""
"
"""For a half-million years, Mount Hood has towered over the landscape, but unlike some of its cousins in Oregon's Cascade Mountains and many other volcanoes around the Pacific """"Rim of Fire,"""" it doesn't have a history of large, explosive eruptions.""
","""डेढ़ मिलियन वर्षों के लिए, माउंट हूड परिदृश्य पर हावी हो गया है, लेकिन ओरेगन के कैस्केड पर्वत और प्रशांत के अन्य कई ज्वालामुखी के आसपास के अपने चचेरे भाइयों के विपरीत """"रिम ऑफ फायर,"""" इसमें बड़े, विस्फोटक विस्फोटों का इतिहास नहीं है।""
"
"""My cousin is gonna go home.""""""
","""मेरा नाती भी घर आ जायेगा फिर.""""""
"
"""They're distant cousins of mine.""""""
","""""""ये मेरे दूर का रिश्तेदार हैं""
"
"""We're friends, not cousins.""""""
","'हम दोस्त हैं, पति-पत्नी नहीं'
"
"""uncles and two cousins.""""""
","""रिश्तेदार और दो स्टुटर्स""""""
"
"(From my cousin brother).
","(मेरे भैया की कलम से .
"
"13-year-old cousin
","13 साल का नायाब साथी
"
"36 And behold: your cousin Elizabeth, she has also conceived a son in her old age.
","36 और यह भी सुनिएः आपकी परिजन एलिज़ाबेथ ने अपनी वृद्धावस्था में एक पुत्र गर्भधारण किया है.
"
"A night out with my cousin
","मेरी चाची के साथ रात
"
"A smaller cousin to modern man, Neanderthals died out around 40,000 years ago.
","निएंडरथल, आधुनिक मनुष्यों का एक करीबी रिश्तेदार, 40,000 साल पहले विलुप्त हो गया था
"
"Aamir Khan is a second cousin to Dr Najma Heptulla, past Chairperson of Rajya Sabha.
","आमिर खान, राज्यसभा की पूर्व अध्यक्ष डॉ. नजमा हेपतुल्ला के दूसरे भतीजे हैं।
"
"Aamir Khan is a second cousin to Dr Najma Heptulla, previous Chairperson of Rajya Sabha.
","आमिर खान, राज्यसभा की पूर्व अध्यक्ष डॉ. नजमा हेपतुल्ला के दूसरे भतीजे हैं।
"
"Aamir Khan is also the second cousin of the former Chairman of Rajya Sabha, Dr. Najma Heptullah.
","आमिर खान, राज्यसभा की पूर्व अध्यक्ष डॉ. नजमा हेपतुल्ला के दूसरे भतीजे हैं।
"
"After the incident, the cousin informed the police.
","वारदात के बाद दंपती ने पुलिस को सूचना दी।
"
"After two years, Sahni married his cousin, Santosh - later known as an author and television writer.
","दो साल बाद, उन्होंने अपने पहले रिश्तेदार संतोष चंदोक से विवाह किया, जिन्हें बाद में लेखक और टेलीविजन लेखक के रूप में जाना जाता है।
"
"Aljabari was the right-hand man of Saudi Arabia's former Crown Prince and Interior Minister, Prince Muhammad bin Nayef, an older cousin and former rival of the current Crown Prince, also known as MBS.
","सऊदी अरब के पूर्व क्राउन प्रिंस और आंतरिक मंत्री, प्रिंस मोहम्मद बिन नायेफ के पूर्व दाहिने हाथ वाले अलजाबरी को एमबीएस के रूप में भी जाना जाता है, जो क्राउन प्रिंस के एक वरिष्ठ रिश्तेदार और वर्तमान प्रतिद्वंद्वी हैं।
"
"Aljabri was the right-hand man of Saudi Arabia's former crown prince and interior minister, Prince Muhammad bin Nayef, an elder cousin and former rival of the current crown prince, who's also known as MBS.
","सऊदी अरब के पूर्व क्राउन प्रिंस और आंतरिक मंत्री, प्रिंस मोहम्मद बिन नायेफ के पूर्व दाहिने हाथ वाले अलजाबरी को एमबीएस के रूप में भी जाना जाता है, जो क्राउन प्रिंस के एक वरिष्ठ रिश्तेदार और वर्तमान प्रतिद्वंद्वी हैं।
"
"Although in saying that the advent of the lithium-ion battery has transformed these 18V saws into something a lot more powerful than previous versions and some of them are genuine full-bore 6.5′′ beasts what can compete with their cousins.
","हालांकि यह कहते हुए कि लिथियम-आयन बैटरी के आगमन ने इन 18V आरी को पिछले संस्करणों की तुलना में बहुत अधिक शक्तिशाली बना दिया है और उनमें से कुछ वास्तविक पूर्ण-बोर 6.5 'जानवर हैं जो अपने चचेरे भाइयों के साथ प्रतिस्पर्धा कर सकते हैं।
"
"As far as the motive is concerned, Jolly wanted to marry her former husband's cousin Shaju and they both eyed the property of the Thomas family.
","जहां तक घटना के उद्देश्य का सवाल है, जॉली, शाजू से शादी करना चाहती थी और उनकी नजरें थॉमस परिवार की संपत्ति पर थीं।
"
"At the age of 12, his parents enrolled him in Sonnet Club in which his cousin also plays cricket under the mentorship of Tarak Sinha.
","उन्हें खेलते हुए देखकर, उन्होंने क्रिकेट में अपनी रुचि विकसित की, जिसके बाद उनके माता-पिता ने उन्हें तारक सिन्हा की कोचिंग में 12 साल की उम्र में सॉनेट क्लब में दाखिला दिलाया था।
"
